experiment_id,claim_ids,candidate_line,status,kind,lane,protocol_path,result_path,code_identity,data_identity,config_identity,decision_gate,failure_class,started_at,completed_at
EXP-000,C-000,L-000,completed,confirmatory,prove,.research-control/experiments/protocols/EXP-000.md,.research-control/results/RESULT-EXP-000.md,"runtime:e4274fb4;capture:75e048f9;evaluator:1b92d3cb","f17:5c8c4e90;f81:be8fa1f5",fd2fbab15869d2698aea7ff097bf460f86d21dacdf5c139be72a3e2512226835,G-000,null,2026-08-07,2026-08-07
EXP-001,C-001,L-001,completed,audit,explore,.research-control/experiments/protocols/EXP-001.md,.research-control/results/RESULT-EXP-001.md,5076405568a4c2ba93881057c6bed1223784f92ac23b6bf32cd17e5a276bdc84,be8fa1f525b66cf791fcef5efacf6928402a9be5bfcffa5961118361887f3d35,EXP-001-frozen-granularities,G-001,null,2026-08-07,2026-08-07
EXP-002,C-002,L-002,completed,audit,explore,.research-control/experiments/protocols/EXP-002.md,.research-control/results/RESULT-EXP-002.md,"analyzer:4e7570f660e010cd;capture:6e660a486eefde50;runtime:34c405273a44c6ed","p00:ce689c0e62933e5a;p01:c826af13503544db",0c17b32eef20f457,G-002,null,2026-08-09,2026-08-09
EXP-003,C-003,L-003,completed,exploratory,explore,.research-control/experiments/protocols/EXP-003.md,.research-control/results/RESULT-EXP-003.md,"capture:4ca3cb4ddb0058a1;analyzer:19ef2d00daef8b85;runtime:34c405273a44c6ed","p00:e584a3f604177ebd;p01:11f73afc597d189e9;p02:b0eb096e72f0344b;p03:3010b52e9266ac08",6265dc08ded1bc2d,G-003,null,2026-08-10,2026-08-10
EXP-004,C-004,L-004,completed,exploratory,explore,.research-control/experiments/protocols/EXP-004.md,.research-control/results/RESULT-EXP-004.md,"probe:1c0de874b87def6a;core:f16e8d4170b14c7b","index:d8bc6f7fbb0accf4;manifest:f959929ba46773b6;worker:3487b193f7128b72",98bd3a4eee2b93cc,G-004,null,2026-08-11,2026-08-11
EXP-005,C-005,L-005,completed,exploratory,explore,.research-control/experiments/protocols/EXP-005.md,.research-control/results/RESULT-EXP-005.md,"probe:6ebc19a35f7e281f;test:c73da09aa003d82f","qkv-index:attention_head_factorial_f81_v1;split:s00-s01-calibration_s02-s03-heldout",b2dc623cd99b743c,G-005,adverse,2026-08-11,2026-08-11
EXP-006,C-006,L-006,completed,exploratory,explore,.research-control/experiments/protocols/EXP-006.md,.research-control/results/RESULT-EXP-006.md,"probe:6f6fcd22083ce7fd;test:738dcaea0bbc6a58","qkv-index:attention_head_factorial_f81_v1;heldout:s02-s03",39687dcae03098f0,G-006,null,2026-08-11,2026-08-11
EXP-007,C-007,L-007,completed,exploratory,explore,.research-control/experiments/protocols/EXP-007.md,.research-control/results/RESULT-EXP-007.md,"probe:03299a6a55c75633;core:09d727668762d8e5;test:58f77bdda8562af4","qkv-index:attention_head_factorial_f81_v1;split:s00-s01-calibration_s02-validation_s03-test",1e066df364f9052d,G-007,null,2026-08-11,2026-08-11
EXP-008,C-008,L-008,completed,exploratory,explore,.research-control/experiments/protocols/EXP-008.md,.research-control/results/RESULT-EXP-008.md,"probe:fb281059f7008c8f;core:29616f2cfd409269;test:e07eb835e2597a88","qkv-index:attention_head_factorial_f81_v1;positive-checkpoint:3a3dd6d3a91bf182",1869cf10989dc5de,G-008,boundary,2026-08-11,2026-08-11
EXP-009,C-009,L-009,completed,exploratory,explore,.research-control/experiments/protocols/EXP-009.md,.research-control/results/RESULT-EXP-009.md,"probe:5368acd51421eda4;core:a4f8900fe69c3769;test:8f05fc1041c9ceda","qkv-index:attention_head_factorial_f81_v1;target:sparse25-proxy-support",3ecf79321edc51f6,G-009,boundary,2026-08-11,2026-08-11
EXP-010,C-010,L-010,completed,exploratory,explore,.research-control/experiments/protocols/EXP-010.md,.research-control/results/RESULT-EXP-010.md,"probe:fa640878d6ab9143;core:d4a1aa5b6988b67a;test:c3a5ed1c05bb9505","qkv-index:attention_head_factorial_f81_v1;target:regular-support-post-rank16",65ee49ba2d9099ef,G-010,null,2026-08-11,2026-08-12
EXP-011,C-011,L-011,completed,exploratory,explore,.research-control/experiments/protocols/EXP-011.md,.research-control/results/RESULT-EXP-011.md,"probe:83ec00615e73ac45;core:cfa9d8296e6972fb;test:65384dcea65bdef5","qkv-index:attention_head_factorial_f81_v1;target:additive-block-innovation-post-rank16",72385a98bab2d895,G-011,boundary,2026-08-12,2026-08-12
EXP-012,C-012,L-012,completed,exploratory,explore,.research-control/experiments/protocols/EXP-012.md,.research-control/results/RESULT-EXP-012.md,"probe:df1917900afa2797;core:e1504e865ad7424d;test:ea73a24d30bbdf74","qkv-index:attention_head_factorial_f81_v1;target:heterogeneous-rank-expanded-support",781888ef64a4fd27,G-012,boundary,2026-08-12,2026-08-12
EXP-013,C-013,L-013,completed,exploratory,explore,.research-control/experiments/protocols/EXP-013.md,.research-control/results/RESULT-EXP-013.md,"probe:568bcd64602bd283;rank-core:d4a1aa5b6988b67a;alloc-core:e1504e865ad7424d;test:b1dbbf17b95a211f","qkv-index:attention_head_factorial_f81_v1;target:rank-conditioned-support-cost",0ee0da415c26ce55,G-013,boundary,2026-08-12,2026-08-12
EXP-014,C-014,L-014,completed,exploratory,explore,.research-control/experiments/protocols/EXP-014.md,.research-control/results/RESULT-EXP-014.md,"probe:39caf95990f552f1;core:59ac72def314a0b8;test:d895b94b0e55e56b","qkv-index:attention_head_factorial_f81_v1;target:shared-centered-latent-tail",0b633d9e79de08c1,G-014,valid-positive,2026-08-12,2026-08-12
EXP-015,C-015,L-015,completed,exploratory,explore,.research-control/experiments/protocols/EXP-015.md,.research-control/results/RESULT-EXP-015.md,"probe:c14498cb6cceecfe;core:ab0deb39d8044167;test:e2e627fd186e3b57","qkv-index:attention_head_factorial_f81_v1;target:dense-anchor-residual-lifting",bd2a608d86738f86,G-015,null,2026-08-12,2026-08-12
EXP-016,C-016,L-016,completed,exploratory,explore,.research-control/experiments/protocols/EXP-016.md,.research-control/results/RESULT-EXP-016.md,"probe:943a0b899d050782;core:eebafa1b0f6a6c4a;test:580c5a66e47953d1","qkv-index:attention_head_factorial_f81_v1;target:distributed-micro-anchor-basis",59e0176c8be460e5,G-016,null,2026-08-12,2026-08-12
EXP-038,C-017,L-017,completed,exploratory,explore,.research-control/experiments/protocols/EXP-038.md,.research-control/results/RESULT-EXP-038.md,"probe:470d6e39d1f89501;core:87c26894d1dcd7e3;test:50afbd0f0577d34e","qkv-index:attention_head_factorial_f81_v1;split:s00-s01-calibration_s02-validation_s03-test;target:progressive-heterogeneous-transfer",d3fabe3b3bbaf0d8,G-017,boundary,2026-08-12,2026-08-12
