weight_file,layer_key,method,trainable_params,stored_params,estimated_bits_fp16,estimated_bits_int8,estimated_bits_int4_delta,bcm_direct_ops,bcm_fft_ops,lowrank_ops,total_ops,activation_memory,extra_latency_proxy,block_size,rank,num_bcm_basis,sparse_ratio,delta_mode,objective,relative_fro_error,spectral_error,activation_error
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,22528,22528,360448,180224,90112,0,0,22528,22528,5632,0.0035807291666666665,32,4,1,0.0,horizontal,0.0,0.962598979473114,0.2816506624221802,0.9644672274589539
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,45056,45056,720896,360448,180224,0,0,45056,45056,5632,0.007161458333333333,32,8,1,0.0,horizontal,0.0,0.9572067856788635,0.2442236691713333,0.9591819047927856
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,22528,22528,360448,180224,90112,0,0,22528,22528,5632,0.0035807291666666665,64,4,1,0.0,horizontal,0.0,0.9632817506790161,0.2830439507961273,0.9652965664863586
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,45056,45056,720896,360448,180224,0,0,45056,45056,5632,0.007161458333333333,64,8,1,0.0,horizontal,0.0,0.957260251045227,0.2632577419281006,0.9586980938911438
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_only,196608,196608,3145728,1572864,786432,6291456,7864320,0,6291456,5632,1.0,32,0,1,0.0,horizontal,0.008094409480690956,0.9874567985534668,0.9682405591011047,0.9871994256973267
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_only,98304,98304,1572864,786432,393216,6291456,4718592,0,6291456,5632,1.0,64,0,1,0.0,horizontal,0.008195401169359684,0.993623673915863,0.9841600656509399,0.9935218095779419
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_plus_lowrank,219136,219136,3506176,1753088,876544,6291456,7864320,22528,6313984,5632,1.0035807291666667,32,4,1,0.0,horizontal,0.007590221706777811,0.9561945796012878,0.4015295207500458,0.9577702283859253
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_plus_lowrank,241664,241664,3866624,1933312,966656,6291456,7864320,45056,6336512,5632,1.0071614583333333,32,8,1,0.0,horizontal,0.007472766563296318,0.9487605690956116,0.3046931028366089,0.9505762457847595
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_plus_lowrank,120832,120832,1933312,966656,483328,6291456,4718592,22528,6313984,5632,1.0035807291666667,64,4,1,0.0,horizontal,0.007690819445997477,0.9625266790390015,0.42015689611434937,0.9642033576965332
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_plus_lowrank,143360,143360,2293760,1146880,573440,6291456,4718592,45056,6336512,5632,1.0071614583333333,64,8,1,0.0,horizontal,0.007561552803963423,0.9543927311897278,0.28755471110343933,0.9561026096343994
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,generator_delta_bcm,393216,393216,6291456,3145728,3932160,6291456,7864320,0,6291456,5632,1.0,32,0,1,0.0,horizontal,0.009291120804846287,1.0579220056533813,1.0021133422851562,1.0563273429870605
results/matrix_fit/subsets/bitnet_downproj_retry/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,generator_delta_bcm,196608,196608,3145728,1572864,1966080,6291456,4718592,0,6291456,5632,1.0,64,0,1,0.0,horizontal,0.008544918149709702,1.0145760774612427,1.000386357307434,1.0148749351501465
