weight_file,layer_key,method,trainable_params,stored_params,estimated_bits_fp16,estimated_bits_int8,estimated_bits_int4_delta,bcm_direct_ops,bcm_fft_ops,lowrank_ops,total_ops,activation_memory,extra_latency_proxy,block_size,rank,num_bcm_basis,sparse_ratio,delta_mode,objective,relative_fro_error,spectral_error,activation_error
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,8192,0.001953125,16,4,1,0.0,horizontal,0.0,0.8245810866355896,0.532497227191925,0.8295192122459412
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,8192,0.00390625,16,8,1,0.0,horizontal,0.0,0.7361974120140076,0.42581796646118164,0.7475835084915161
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,131072,131072,2097152,1048576,524288,0,0,131072,131072,8192,0.0078125,16,16,1,0.0,horizontal,0.0,0.6321438550949097,0.30392977595329285,0.6456505656242371
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,8192,0.001953125,32,4,1,0.0,horizontal,0.0,0.8264912366867065,0.5692369937896729,0.8317705392837524
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,8192,0.00390625,32,8,1,0.0,horizontal,0.0,0.7438784837722778,0.4954131245613098,0.7531960606575012
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,131072,131072,2097152,1048576,524288,0,0,131072,131072,8192,0.0078125,32,16,1,0.0,horizontal,0.0,0.6344022750854492,0.33132287859916687,0.6501178741455078
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,8192,0.001953125,64,4,1,0.0,horizontal,0.0,0.8283485174179077,0.570489764213562,0.8320828080177307
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,65536,65536,1048576,524288,262144,0,0,65536,65536,8192,0.00390625,64,8,1,0.0,horizontal,0.0,0.7414636611938477,0.47038349509239197,0.750443696975708
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,131072,131072,2097152,1048576,524288,0,0,131072,131072,8192,0.0078125,64,16,1,0.0,horizontal,0.0,0.6336116790771484,0.31903165578842163,0.6476024389266968
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_only,1048576,1048576,16777216,8388608,4194304,16777216,33554432,0,16777216,8192,1.0,16,0,1,0.0,horizontal,0.0003001140139531344,1.2852177619934082,0.943985641002655,1.3020234107971191
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_only,524288,524288,8388608,4194304,2097152,16777216,20971520,0,16777216,8192,1.0,32,0,1,0.0,horizontal,0.00021247018594294786,1.0813905000686646,0.9676596522331238,1.0880756378173828
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_only,262144,262144,4194304,2097152,1048576,16777216,12582912,0,16777216,8192,1.0,64,0,1,0.0,horizontal,0.00019616415374912322,1.0390665531158447,0.9840990304946899,1.0431104898452759
results/matrix_fit/subsets/llama2_qproj_retry/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_plus_lowrank,1081344,1081344,17301504,8650752,4325376,16777216,33554432,32768,16809984,8192,1.001953125,16,4,1,0.0,horizontal,0.0002514487423468381,1.1764088869094849,0.5518568754196167,1.1999726295471191
