weight_file,layer_key,method,trainable_params,stored_params,estimated_bits_fp16,estimated_bits_int8,estimated_bits_int4_delta,bcm_direct_ops,bcm_fft_ops,lowrank_ops,total_ops,activation_memory,extra_latency_proxy,block_size,rank,num_bcm_basis,sparse_ratio,delta_mode,objective,relative_fro_error,spectral_error,activation_error
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,16384,16384,262144,131072,65536,0,0,16384,16384,4096,0.005208333333333333,32,4,1,0.0,horizontal,0.0,0.9909679889678955,0.7913778424263,0.9911303520202637
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,lowrank_svd,32768,32768,524288,262144,131072,0,0,32768,32768,4096,0.010416666666666666,32,8,1,0.0,horizontal,0.0,0.9851032495498657,0.6862053275108337,0.9853601455688477
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_only,98304,98304,1572864,786432,393216,3145728,3932160,0,3145728,4096,1.0,32,0,1,0.0,horizontal,0.0006676539196632802,0.9846070408821106,0.969936192035675,0.984709620475769
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_plus_lowrank,114688,114688,1835008,917504,458752,3145728,3932160,16384,3162112,4096,1.0052083333333333,32,4,1,0.0,horizontal,0.0006522662006318569,0.9732006788253784,0.667479932308197,0.9739676713943481
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,bcm_plus_lowrank,131072,131072,2097152,1048576,524288,3145728,3932160,32768,3178496,4096,1.0104166666666667,32,8,1,0.0,horizontal,0.0006431156652979553,0.9663461446762085,0.6247419714927673,0.9673274159431458
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__mlp__down_proj__weight.pt,model.layers.0.mlp.down_proj.weight,generator_delta_bcm,196608,196608,3145728,1572864,1966080,3145728,3932160,0,3145728,4096,1.0,32,0,1,0.0,horizontal,0.0009769391035661101,1.190972089767456,1.5583858489990234,1.1887401342391968
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,12288,12288,196608,98304,49152,0,0,12288,12288,3072,0.005859375,32,4,1,0.0,horizontal,0.0,0.9556776881217957,0.4551387131214142,0.957038164138794
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,lowrank_svd,24576,24576,393216,196608,98304,0,0,24576,24576,3072,0.01171875,32,8,1,0.0,horizontal,0.0,0.9437864422798157,0.36638128757476807,0.9464408159255981
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_only,65536,65536,1048576,524288,262144,2097152,2621440,0,2097152,3072,1.0,32,0,1,0.0,horizontal,0.000952485017478466,0.9846430420875549,0.9698506593704224,0.9850615859031677
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_plus_lowrank,77824,77824,1245184,622592,311296,2097152,2621440,12288,2109440,3072,1.005859375,32,4,1,0.0,horizontal,0.0008688598754815757,0.9404229521751404,0.4582470655441284,0.9427504539489746
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,bcm_plus_lowrank,90112,90112,1441792,720896,360448,2097152,2621440,24576,2121728,3072,1.01171875,32,8,1,0.0,horizontal,0.0008421397069469094,0.925849437713623,0.33352959156036377,0.9291462302207947
results/matrix_fit/subsets/qwen3_two_layers/model__layers__0__self_attn__q_proj__weight.pt,model.layers.0.self_attn.q_proj.weight,generator_delta_bcm,131072,131072,2097152,1048576,1310720,2097152,2621440,0,2097152,3072,1.0,32,0,1,0.0,horizontal,0.0011738063767552376,1.092962622642517,0.9932344555854797,1.0914607048034668
