run_name,generator_entropy,delta_entropy,delta_std,threshold_0.01,int4_mse,compressed_bits_entropy_delta,compressed_bits_fp16_base_int4_delta,source_file,plot_label
bitnet_downproj_retry_generator_delta_bcm__bs32__r0__basis1,6.91093762902805,3.4328041517599006,0.00827200710773468,0.9504801630973816,4.468289625947364e-05,3820644.7586692106,3932160,results/peft/bitnet_downproj_retry_generator_delta_bcm__bs32__r0__basis1/generator_delta_stats.json,bitnet_downproj bs32 r0 b1
bitnet_downproj_retry_generator_delta_bcm__bs64__r0__basis1,6.852380942710325,4.348665161559179,0.0090443454682827,0.91534423828125,1.1970833838859107e-05,2000355.1800419134,1966080,results/peft/bitnet_downproj_retry_generator_delta_bcm__bs64__r0__basis1/generator_delta_stats.json,bitnet_downproj bs64 r0 b1
mistral_qproj_retry_generator_delta_bcm__bs16__r0__basis1,6.78013223462324,2.0579969046592472,0.02976687066257,0.000682830810546875,1.1474747907413985e-07,18935182.162299976,20971520,results/peft/mistral_qproj_retry_generator_delta_bcm__bs16__r0__basis1/generator_delta_stats.json,mistral_qproj bs16 r0 b1
mistral_qproj_retry_generator_delta_bcm__bs32__r0__basis1,6.882232578461375,2.6059006855003837,0.029614446684718132,0.0014553070068359375,2.0225164121256967e-07,9754850.458599625,10485760,results/peft/mistral_qproj_retry_generator_delta_bcm__bs32__r0__basis1/generator_delta_stats.json,mistral_qproj bs32 r0 b1
qwen2_5_qproj_retry_generator_delta_bcm__bs16__r0__basis1,6.883856392219229,1.5220352982214767,0.029889235273003578,0.00032552084303461015,4.4832958678853174e-08,2583729.236934546,2949120,results/peft/qwen2_5_qproj_retry_generator_delta_bcm__bs16__r0__basis1/generator_delta_stats.json,qwen2_5_qproj bs16 r0 b1
qwen2_5_qproj_retry_generator_delta_bcm__bs32__r0__basis1,6.862481464132984,1.7650970015484166,0.029852239415049553,0.00048828125,7.453716222016737e-08,1309785.0717301616,1474560,results/peft/qwen2_5_qproj_retry_generator_delta_bcm__bs32__r0__basis1/generator_delta_stats.json,qwen2_5_qproj bs32 r0 b1
qwen3_downproj_delta,6.91211264704638,3.6473039548299546,0.00185453612357378,0.9952494502067566,1.0188173291680869e-06,1931408.567975604,1966080,results/peft/qwen3_downproj_delta/generator_delta_stats.json,qwen3 down delta
qwen3_downproj_retry_generator_delta_bcm__bs16__r0__basis1,6.898871156651216,1.338810559458298,0.029936905950307846,0.0001220703125,2.5440073159188614e-08,3408948.866473977,3932160,results/peft/qwen3_downproj_retry_generator_delta_bcm__bs16__r0__basis1/generator_delta_stats.json,qwen3_downproj bs16 r0 b1
qwen3_downproj_retry_generator_delta_bcm__bs32__r0__basis1,6.892046825598571,1.6964825048918504,0.02983299270272255,0.000579833984375,6.503152150116875e-08,1739635.0161608884,1966080,results/peft/qwen3_downproj_retry_generator_delta_bcm__bs32__r0__basis1/generator_delta_stats.json,qwen3_downproj bs32 r0 b1
qwen3_downproj_retry_generator_delta_bcm__bs64__r0__basis1,6.83778483863337,1.9269796297086024,0.029806045815348625,0.0005900065298192203,8.912788729276144e-08,881146.9027594372,983040,results/peft/qwen3_downproj_retry_generator_delta_bcm__bs64__r0__basis1/generator_delta_stats.json,qwen3_downproj bs64 r0 b1
qwen3_qproj_delta,6.967180911024231,5.322050406051535,0.003862893208861351,0.9682464599609375,2.4673713596712332e-06,1397361.8954109934,1310720,results/peft/qwen3_qproj_delta/generator_delta_stats.json,qwen3 q delta
