method,component,seconds
teacher20,text,0.06848263647407293
teacher20,denoiser,32.296014634659514
teacher20,vae,4.376956237014383
teacher20,transfer,0.23613074095919728
teacher20,serialization,1.7750516904052347
teacher20,other,0.09371851338073611
native4,text,0.06641611456871033
native4,denoiser,6.400646393653005
native4,vae,4.298324600560591
native4,transfer,0.25680834404192865
native4,serialization,1.9465438772458583
native4,other,0.006502128904685378
rcm4,text,0.06442023487761617
rcm4,denoiser,3.20536530460231
rcm4,vae,4.308299851138145
rcm4,transfer,0.2537410487420857
rcm4,serialization,1.7960819059517235
rcm4,other,0.01008668658323586
