endpoint,scheduler_index,timestep,method,activation_relative_l2,velocity_relative_l2,velocity_p95_relative_l2,coefficient_r2
0,11,88,raw_reuse,0.2720152115819884,0.08707591700500296,0.12936512440210207,nan
0,11,88,shift_reuse,0.32348440927192534,0.08563337988770865,0.1352061752404552,nan
0,11,88,shift_local_r2,0.22868255991227374,0.045835620909898935,0.08578678238554857,nan
0,11,88,shift_rank8_oracle,0.11585248401013176,0.008080200095980664,0.01474683905544225,nan
0,11,88,state_skip1,0.11604117917505387,0.008090528344173925,0.01479272804863285,0.9987032782830945
0,11,88,state_skip2,0.11663771672039666,0.008149050156295879,0.01483572762517724,0.9943653725339611
0,11,88,state_skip4,0.11899141408416092,0.008401780677088546,0.014977386780083177,0.9762523631845608
0,11,88,state_noise_skip1,0.11603887527236793,0.008094400676152597,0.014764718239894134,0.9987349426631591
0,11,88,state_noise_skip2,0.11662364070469204,0.0081568172778303,0.014801264542620625,0.9945068507269621
0,11,88,state_noise_skip4,0.11892012936879563,0.008417081140461595,0.014909823448397216,0.9768103248776825
1,22,77,raw_reuse,0.28665034365803793,0.08771075655676185,0.1312450318422634,nan
1,22,77,shift_reuse,0.34327103538641024,0.08679151023722778,0.13568218401633203,nan
1,22,77,shift_local_r2,0.2500250556068327,0.047633346845530194,0.090326041408116,nan
1,22,77,shift_rank8_oracle,0.1405071857212254,0.009542070975665989,0.018122010939987374,nan
1,22,77,state_skip1,0.1405866925062721,0.009566990983010408,0.01831765473471023,0.9994354890317589
1,22,77,state_skip2,0.14085321884924656,0.00962170882289246,0.01843780007329769,0.9975000713565654
1,22,77,state_skip4,0.1417910824288498,0.009773749369006686,0.01855062820250168,0.9904000446872181
1,22,77,state_noise_skip1,0.14058100107029753,0.009576043661167936,0.018330501898890357,0.9994766282590168
1,22,77,state_noise_skip2,0.1408299333968569,0.009637663240992248,0.018440293049206954,0.9976704023821927
1,22,77,state_noise_skip4,0.14171413396844207,0.009798859460312545,0.018622449482791122,0.9909967647444398
2,33,66,raw_reuse,0.30143957346063666,0.0886547190281945,0.13263282352127137,nan
2,33,66,shift_reuse,0.36218048578660067,0.08796334820773541,0.13702813778072595,nan
2,33,66,shift_local_r2,0.2701692642414304,0.04810996064835915,0.09051682500867173,nan
2,33,66,shift_rank8_oracle,0.1594782848424679,0.010345193810204458,0.01922070731525309,nan
2,33,66,state_skip1,0.15953013910819627,0.0103555426650995,0.01925094087491743,0.9996402450498538
2,33,66,state_skip2,0.1596852946718954,0.010379080478610107,0.01936228360282257,0.9985480080978011
2,33,66,state_skip4,0.16028244618199644,0.010471371885565534,0.01979675688780844,0.9942790571947615
2,33,66,state_noise_skip1,0.15952832844395184,0.010364565406345356,0.019247327354969458,0.9996434994173455
2,33,66,state_noise_skip2,0.15967758578671468,0.010394974700061852,0.019365453149657694,0.9985677219329471
2,33,66,state_noise_skip4,0.16025882483340526,0.010501017174772413,0.019692329323152076,0.9943428123477955
3,44,55,raw_reuse,0.31603924728553756,0.09001087043997727,0.1349940858199261,nan
3,44,55,shift_reuse,0.3818878342561086,0.0896537352921126,0.1394587138784118,nan
3,44,55,shift_local_r2,0.2911342444849381,0.05245105293553272,0.09853592303115874,nan
3,44,55,shift_rank8_oracle,0.18190526452157835,0.012746833232213345,0.02375831875251606,nan
3,44,55,state_skip1,0.18194610497758643,0.012784720257444537,0.023822317487793038,0.9997314840848985
3,44,55,state_skip2,0.18207133888188443,0.01283838311831301,0.023924073157832022,0.9988972848705109
3,44,55,state_skip4,0.18258203760664404,0.0129877519784015,0.02426123097538948,0.9954320631980891
3,44,55,state_noise_skip1,0.18194163680424108,0.012774810515352947,0.023798629443626845,0.9997537574904655
3,44,55,state_noise_skip2,0.18205299559392354,0.012814387385676945,0.02385957007645629,0.9989880444719499
3,44,55,state_noise_skip4,0.18251082218895331,0.012925240005492842,0.024037025455618276,0.9957716237742961
4,55,44,raw_reuse,0.3258874550651097,0.09199603796643992,0.13870179902296512,nan
4,55,44,shift_reuse,0.3993173828396711,0.09215107198906425,0.14310058359988034,nan
4,55,44,shift_local_r2,0.3099491654408484,0.052598057495462036,0.09712109511019659,nan
4,55,44,shift_rank8_oracle,0.19753129478050246,0.01411871887343288,0.025153332942863926,nan
4,55,44,state_skip1,0.19757859755864543,0.014130745304223629,0.025157531042350453,0.9997103566055336
4,55,44,state_skip2,0.19771312015089837,0.014162275939810648,0.025186861044494434,0.9988883654295053
4,55,44,state_skip4,0.19819112801829572,0.014262547133930511,0.025348316610325123,0.9959565202460368
4,55,44,state_noise_skip1,0.19757341366189604,0.01413745502092016,0.025268669513752683,0.9997360174797256
4,55,44,state_noise_skip2,0.19769308434200925,0.014169608433436627,0.02538239601999521,0.9989878619866752
4,55,44,state_noise_skip4,0.19811771253466395,0.014260369525979115,0.02545304964878596,0.9963322740613256
5,66,33,raw_reuse,0.3350936995963022,0.09562349263020843,0.14607743996893985,nan
5,66,33,shift_reuse,0.4154389889559903,0.09698251708314556,0.15256853582104668,nan
