layer,endpoint,scheduler_index,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,coefficient_r2
0,0,11,88,raw_reuse,0.5797078712030127,0.5555872321128845,0.8505595982074737,0.5472767240233013,0.9389687454551137,nan
0,0,11,88,shift_reuse,0.5569308960653965,0.5356171727180481,0.8632024109363555,0.5417470831502063,0.9389687454551137,nan
0,0,11,88,shift_local_r2,0.2998731274334067,0.2756119668483734,0.5702276647090911,0.4065411039162977,0.9389687454551137,nan
0,0,11,88,shift_rank8_oracle,0.0263703433418139,0.0231992956250906,0.05050830822438001,0.1338359328488657,0.9389687454551137,nan
0,0,11,88,state_skip1,0.026446189574583154,0.023290103301405907,0.05071138925850391,0.13384731896155078,0.9389687454551137,0.9999882371388793
0,0,11,88,state_skip2,0.02663027804376631,0.023508762940764427,0.05087469052523374,0.1338846827378511,0.9389687454551137,0.9999496366124109
0,0,11,88,state_skip4,0.02718713805069136,0.024201570078730583,0.05104379300028085,0.13405000414355484,0.9389687454551137,0.9997786773768087
0,0,11,88,state_noise_skip1,0.026452921070473062,0.02329782210290432,0.05063175205141305,0.13384780163371895,0.9389687454551137,0.999987740767241
0,0,11,88,state_noise_skip2,0.02664400384300548,0.023523202165961266,0.0507251814007759,0.13388653916926713,0.9389687454551137,0.9999477197875124
0,0,11,88,state_noise_skip4,0.027215475944670553,0.024227460846304893,0.050782784074544896,0.13405719472123964,0.9389687454551137,0.9997712294041455
1,0,11,88,raw_reuse,0.04190229318901536,0.041265349835157394,0.0668348629027605,0.4346028458113359,0.7898908704783225,nan
1,0,11,88,shift_reuse,0.033533361830119075,0.03224005550146103,0.05898627378046512,0.43529362634742247,0.7898908704783225,nan
1,0,11,88,shift_local_r2,0.013102457101122402,0.012156054377555847,0.023151229321956634,0.2920548931833036,0.7898908704783225,nan
1,0,11,88,shift_rank8_oracle,0.006062438847422722,0.00558647932484746,0.010695571405813096,0.19952842293755155,0.7898908704783225,nan
1,0,11,88,state_skip1,0.006056538819960248,0.005576851312071085,0.010694592958316205,0.19954399647340526,0.7898908704783225,0.9999491711933791
1,0,11,88,state_skip2,0.006072882272117836,0.005591286811977625,0.010708647267892954,0.19959353288021667,0.7898908704783225,0.9997872540661308
1,0,11,88,state_skip4,0.0061223684635976815,0.005640784744173288,0.010632244730368254,0.1998222407593255,0.7898908704783225,0.9990394556219532
1,0,11,88,state_noise_skip1,0.006044567033954105,0.005565617233514786,0.010645937221124765,0.19954442967328992,0.7898908704783225,0.9999477413857171
1,0,11,88,state_noise_skip2,0.006048987183550635,0.005568767432123423,0.010610887967050073,0.19959483247987067,0.7898908704783225,0.9997830639800505
1,0,11,88,state_noise_skip4,0.006074624504326822,0.005595723632723093,0.01043312158435583,0.19982962681735902,0.7898908704783225,0.9990152901635306
2,0,11,88,raw_reuse,0.016187092594063552,0.013030623085796833,0.028422511648386717,0.3516774887900727,0.7576326454566922,nan
2,0,11,88,shift_reuse,0.016103982000624736,0.012215130031108856,0.03615364972501993,0.3582581640941128,0.7576326454566922,nan
2,0,11,88,shift_local_r2,0.01405217891670795,0.012428187765181065,0.02742704562842846,0.29877621746173233,0.7576326454566922,nan
