method,action_relative_l2,p95_sample_relative_l2,velocity_relative_l2,acceleration_relative_l2,mean_endpoint_l2,executed_action_mae_raw_units
full_precision,0.0,0.0,0.0,0.0,0.0,0.0
w4_plain,0.02774170820515901,0.05796133633702993,0.060539640714299965,0.06137914094780604,0.012341352179646492,1.463384985923767
w8_plain,0.00132018440307151,0.0031625047093257284,0.0036478013382310556,0.003965254347610735,0.000678903074003756,0.07537086308002472
bucket_mean,0.026228985816219918,0.05069057773798701,0.05855238705839298,0.0597258609428289,0.011339858174324036,1.4261027574539185
channel_affine,0.02626586898654042,0.05005189813673494,0.05961958478395901,0.06162542074671939,0.011317264288663864,1.4287382364273071
circulant_r2,0.02649999623833682,0.052781769260764125,0.06260990371775806,0.06598345152424476,0.012270786799490452,1.434478998184204
toeplitz_r2,0.026414386290729376,0.054216502048075196,0.06268656712047543,0.06694075419169278,0.011875627562403679,1.4351708889007568
reduced_rank_r4,0.025735484777519142,0.06280177086591719,0.060370776402436606,0.06454037685193664,0.011142449453473091,1.4590141773223877
toeplitz_r2_rank4,0.025714186781211488,0.060938521102070806,0.060172215994835535,0.06411710951617232,0.010900162160396576,1.46197509765625
dense_ridge_ceiling,0.02598401364640555,0.06288706064224242,0.061816510651734984,0.06604618424686193,0.01123399380594492,1.4633314609527588
