layer,frame,method,scope,relative_error,pixel_change_score,pixel_dy,pixel_dx,hidden_dy,hidden_dx
0,1,identity,fixed,1.381188837252579,0.37245597846981926,1,-1,1,-1
0,1,pixel_shift_zero,pixel_pair,0.6151679268639397,0.37245597846981926,1,-1,1,-1
0,1,pixel_shift_cyclic,pixel_pair,0.03320580179483322,0.37245597846981926,1,-1,1,-1
0,1,hidden_shift_cyclic,hidden_pair,0.03320580179483322,0.37245597846981926,1,-1,1,-1
0,1,local_bccb_pair,pair_oracle,0.032888234476829495,0.37245597846981926,1,-1,1,-1
0,1,local_bttb_pair,pair_oracle,0.6052832097787424,0.37245597846981926,1,-1,1,-1
0,1,global_bccb_pair,pair_oracle,0.031184278871462377,0.37245597846981926,1,-1,1,-1
0,2,identity,fixed,1.3827360844846992,0.36839446366782014,0,1,1,-1
0,2,pixel_shift_zero,pixel_pair,1.3790511913766421,0.36839446366782014,0,1,1,-1
0,2,pixel_shift_cyclic,pixel_pair,1.431104528744357,0.36839446366782014,0,1,1,-1
0,2,hidden_shift_cyclic,hidden_pair,0.07471742422538225,0.36839446366782014,0,1,1,-1
0,2,local_bccb_pair,pair_oracle,0.07358790523117294,0.36839446366782014,0,1,1,-1
0,2,local_bttb_pair,pair_oracle,0.6171527720384742,0.36839446366782014,0,1,1,-1
0,2,global_bccb_pair,pair_oracle,0.07199411108565838,0.36839446366782014,0,1,1,-1
0,2,local_bccb_causal,previous_transition,0.07497602420408024,0.36839446366782014,0,1,1,-1
0,2,local_bttb_causal,previous_transition,0.6393698240414065,0.36839446366782014,0,1,1,-1
0,2,global_bccb_causal,previous_transition,0.07666288848716477,0.36839446366782014,0,1,1,-1
0,3,identity,fixed,1.3754547681389626,0.3047128027681661,1,-1,1,-1
0,3,pixel_shift_zero,pixel_pair,0.6514141373876167,0.3047128027681661,1,-1,1,-1
0,3,pixel_shift_cyclic,pixel_pair,0.12084058956507052,0.3047128027681661,1,-1,1,-1
0,3,hidden_shift_cyclic,hidden_pair,0.12084058956507052,0.3047128027681661,1,-1,1,-1
0,3,local_bccb_pair,pair_oracle,0.12020120127969665,0.3047128027681661,1,-1,1,-1
0,3,local_bttb_pair,pair_oracle,0.6379582524556495,0.3047128027681661,1,-1,1,-1
0,3,global_bccb_pair,pair_oracle,0.11680810381589968,0.3047128027681661,1,-1,1,-1
0,3,local_bccb_causal,previous_transition,0.12162436366976193,0.3047128027681661,1,-1,1,-1
0,3,local_bttb_causal,previous_transition,0.6499395666326556,0.3047128027681661,1,-1,1,-1
0,3,global_bccb_causal,previous_transition,0.1232524502669765,0.3047128027681661,1,-1,1,-1
2,1,identity,fixed,1.3812166087644153,0.37245597846981926,1,-1,1,-1
2,1,pixel_shift_zero,pixel_pair,0.6151723888920378,0.37245597846981926,1,-1,1,-1
2,1,pixel_shift_cyclic,pixel_pair,0.03322389376694339,0.37245597846981926,1,-1,1,-1
2,1,hidden_shift_cyclic,hidden_pair,0.03322389376694339,0.37245597846981926,1,-1,1,-1
2,1,local_bccb_pair,pair_oracle,0.03290474762756989,0.37245597846981926,1,-1,1,-1
2,1,local_bttb_pair,pair_oracle,0.6052881781382566,0.37245597846981926,1,-1,1,-1
2,1,global_bccb_pair,pair_oracle,0.031209953329197106,0.37245597846981926,1,-1,1,-1
2,2,identity,fixed,1.3827153190989554,0.36839446366782014,0,1,1,-1
2,2,pixel_shift_zero,pixel_pair,1.3790731348708571,0.36839446366782014,0,1,1,-1
2,2,pixel_shift_cyclic,pixel_pair,1.43112800986234,0.36839446366782014,0,1,1,-1
2,2,hidden_shift_cyclic,hidden_pair,0.07469797508575445,0.36839446366782014,0,1,1,-1
2,2,local_bccb_pair,pair_oracle,0.0735684474947791,0.36839446366782014,0,1,1,-1
2,2,local_bttb_pair,pair_oracle,0.6171640669562316,0.36839446366782014,0,1,1,-1
2,2,global_bccb_pair,pair_oracle,0.071964995660479,0.36839446366782014,0,1,1,-1
2,2,local_bccb_causal,previous_transition,0.07496122034778571,0.36839446366782014,0,1,1,-1
2,2,local_bttb_causal,previous_transition,0.6393812839013523,0.36839446366782014,0,1,1,-1
2,2,global_bccb_causal,previous_transition,0.07664680766800913,0.36839446366782014,0,1,1,-1
2,3,identity,fixed,1.3754347694792606,0.3047128027681661,1,-1,1,-1
2,3,pixel_shift_zero,pixel_pair,0.6514311044228318,0.3047128027681661,1,-1,1,-1
2,3,pixel_shift_cyclic,pixel_pair,0.12084874392575008,0.3047128027681661,1,-1,1,-1
2,3,hidden_shift_cyclic,hidden_pair,0.12084874392575008,0.3047128027681661,1,-1,1,-1
2,3,local_bccb_pair,pair_oracle,0.12021193014496462,0.3047128027681661,1,-1,1,-1
2,3,local_bttb_pair,pair_oracle,0.6379763299432317,0.3047128027681661,1,-1,1,-1
2,3,global_bccb_pair,pair_oracle,0.11681645860634944,0.3047128027681661,1,-1,1,-1
2,3,local_bccb_causal,previous_transition,0.12162792354111467,0.3047128027681661,1,-1,1,-1
2,3,local_bttb_causal,previous_transition,0.6499515621101721,0.3047128027681661,1,-1,1,-1
2,3,global_bccb_causal,previous_transition,0.12326898280235664,0.3047128027681661,1,-1,1,-1
