layer,frame,method,fraction,energy_ratio,pixel_change_recall,gini,pixel_change_score
0,1,identity,0.05,0.24332402210054513,0.5,0.1521958259951172,0.37245597846981926
0,1,identity,0.1,0.24332402210054513,0.5,0.1521958259951172,0.37245597846981926
0,1,identity,0.2,0.4256206902764889,0.5,0.1521958259951172,0.37245597846981926
0,1,pixel_shift_zero,0.05,0.3361570885512964,0.5,0.41397360882414375,0.37245597846981926
0,1,pixel_shift_zero,0.1,0.3361570885512964,0.5,0.41397360882414375,0.37245597846981926
0,1,pixel_shift_zero,0.2,0.5904212338547936,0.5,0.41397360882414375,0.37245597846981926
0,2,identity,0.05,0.2522119713448373,0.0,0.20557232807366907,0.36839446366782014
0,2,identity,0.1,0.2522119713448373,0.0,0.20557232807366907,0.36839446366782014
0,2,identity,0.2,0.46628548840460776,0.0,0.20557232807366907,0.36839446366782014
0,2,pixel_shift_zero,0.05,0.25376867336441755,0.0,0.12739120818029473,0.36839446366782014
0,2,pixel_shift_zero,0.1,0.25376867336441755,0.0,0.12739120818029473,0.36839446366782014
0,2,pixel_shift_zero,0.2,0.424188079575702,1.0,0.12739120818029473,0.36839446366782014
0,2,local_bccb_causal,0.05,0.23491243324167518,1.0,0.1426345633863549,0.36839446366782014
0,2,local_bccb_causal,0.1,0.23491243324167518,1.0,0.1426345633863549,0.36839446366782014
0,2,local_bccb_causal,0.2,0.4243705286377374,1.0,0.1426345633863549,0.36839446366782014
0,2,local_bttb_causal,0.05,0.3012346482667531,1.0,0.3960076973627184,0.36839446366782014
0,2,local_bttb_causal,0.1,0.3012346482667531,1.0,0.3960076973627184,0.36839446366782014
0,2,local_bttb_causal,0.2,0.5878917608366525,1.0,0.3960076973627184,0.36839446366782014
0,3,identity,0.05,0.2514174478432699,0.0,0.21122483034352513,0.3047128027681661
0,3,identity,0.1,0.2514174478432699,0.0,0.21122483034352513,0.3047128027681661
0,3,identity,0.2,0.4913269984728697,0.0,0.21122483034352513,0.3047128027681661
0,3,pixel_shift_zero,0.05,0.3322212355124968,0.0,0.41171532609716205,0.3047128027681661
0,3,pixel_shift_zero,0.1,0.3322212355124968,0.0,0.41171532609716205,0.3047128027681661
0,3,pixel_shift_zero,0.2,0.610571704839044,0.0,0.41171532609716205,0.3047128027681661
0,3,local_bccb_causal,0.05,0.2090592039329712,0.0,0.11083419657515818,0.3047128027681661
0,3,local_bccb_causal,0.1,0.2090592039329712,0.0,0.11083419657515818,0.3047128027681661
0,3,local_bccb_causal,0.2,0.4053804417759068,0.0,0.11083419657515818,0.3047128027681661
0,3,local_bttb_causal,0.05,0.3204773598070459,0.0,0.39610429306379596,0.3047128027681661
0,3,local_bttb_causal,0.1,0.3204773598070459,0.0,0.39610429306379596,0.3047128027681661
0,3,local_bttb_causal,0.2,0.5922836048909492,0.0,0.39610429306379596,0.3047128027681661
2,1,identity,0.05,0.2433149666582943,0.5,0.15218889860705062,0.37245597846981926
2,1,identity,0.1,0.2433149666582943,0.5,0.15218889860705062,0.37245597846981926
2,1,identity,0.2,0.4256313069531897,0.5,0.15218889860705062,0.37245597846981926
2,1,pixel_shift_zero,0.05,0.336163197779472,0.5,0.4139588896004088,0.37245597846981926
2,1,pixel_shift_zero,0.1,0.336163197779472,0.5,0.4139588896004088,0.37245597846981926
2,1,pixel_shift_zero,0.2,0.5903986652130279,0.5,0.4139588896004088,0.37245597846981926
2,2,identity,0.05,0.25218508454134925,0.0,0.20552929498891595,0.36839446366782014
2,2,identity,0.1,0.25218508454134925,0.0,0.20552929498891595,0.36839446366782014
2,2,identity,0.2,0.4662577582228671,0.0,0.20552929498891595,0.36839446366782014
2,2,pixel_shift_zero,0.05,0.2538042270730689,0.0,0.12743071784935145,0.36839446366782014
2,2,pixel_shift_zero,0.1,0.2538042270730689,0.0,0.12743071784935145,0.36839446366782014
2,2,pixel_shift_zero,0.2,0.42421791859982083,1.0,0.12743071784935145,0.36839446366782014
2,2,local_bccb_causal,0.05,0.23524897508233664,1.0,0.14273387706685936,0.36839446366782014
2,2,local_bccb_causal,0.1,0.23524897508233664,1.0,0.14273387706685936,0.36839446366782014
2,2,local_bccb_causal,0.2,0.42460608013004764,1.0,0.14273387706685936,0.36839446366782014
2,2,local_bttb_causal,0.05,0.30128819615050495,1.0,0.3960541307587171,0.36839446366782014
2,2,local_bttb_causal,0.1,0.30128819615050495,1.0,0.3960541307587171,0.36839446366782014
2,2,local_bttb_causal,0.2,0.587925814198879,1.0,0.3960541307587171,0.36839446366782014
2,3,identity,0.05,0.25140594152235507,0.0,0.21119269310343855,0.3047128027681661
2,3,identity,0.1,0.25140594152235507,0.0,0.21119269310343855,0.3047128027681661
2,3,identity,0.2,0.49130898010447543,0.0,0.21119269310343855,0.3047128027681661
2,3,pixel_shift_zero,0.05,0.3323080500805678,0.0,0.4117680206486846,0.3047128027681661
2,3,pixel_shift_zero,0.1,0.3323080500805678,0.0,0.4117680206486846,0.3047128027681661
2,3,pixel_shift_zero,0.2,0.6106162122501753,0.0,0.4117680206486846,0.3047128027681661
2,3,local_bccb_causal,0.05,0.20909336999618333,0.0,0.11081835243667963,0.3047128027681661
2,3,local_bccb_causal,0.1,0.20909336999618333,0.0,0.11081835243667963,0.3047128027681661
2,3,local_bccb_causal,0.2,0.4054472808521089,0.0,0.11081835243667963,0.3047128027681661
2,3,local_bttb_causal,0.05,0.3205669582754158,0.0,0.3961581795054678,0.3047128027681661
2,3,local_bttb_causal,0.1,0.3205669582754158,0.0,0.3961581795054678,0.3047128027681661
2,3,local_bttb_causal,0.2,0.5923271265505561,0.0,0.3961581795054678,0.3047128027681661
