layer,method,fraction,count,energy_ratio_mean,energy_ratio_std,pixel_change_recall_mean,pixel_change_recall_std,gini_mean,gini_std
0,identity,0.05,450,0.270466124023318,0.24963097008987642,0.14883500251521425,0.09156329105095579,0.50382811786435,0.2753502643175273
0,identity,0.1,450,0.3852120047791853,0.276081708025776,0.2879619947239832,0.15057355881128695,0.50382811786435,0.2753502643175273
0,identity,0.2,450,0.5389887531917245,0.2814927372522169,0.5071189055709399,0.2272713149335971,0.50382811786435,0.2753502643175273
0,local_bccb_causal,0.05,420,0.2707783794392761,0.2440341184703753,0.14885820743911093,0.09296490223628123,0.4852352666533699,0.26543729440799957
0,local_bccb_causal,0.1,420,0.3872432596710073,0.26709759223095386,0.2700431411740236,0.1590148497552675,0.4852352666533699,0.26543729440799957
0,local_bccb_causal,0.2,420,0.5431225553656033,0.25667493199945185,0.4816978873189934,0.23686166333296785,0.4852352666533699,0.26543729440799957
0,local_bttb_causal,0.05,420,0.276729711132722,0.24179736045110675,0.14996303801249178,0.09331783568028564,0.49064170137825,0.2583835460920171
0,local_bttb_causal,0.1,420,0.39234462146489285,0.2634310647644417,0.2723000007459681,0.15859166824435703,0.49064170137825,0.2583835460920171
0,local_bttb_causal,0.2,420,0.5469926541949716,0.251307345752836,0.48623477598686177,0.23619339851019183,0.49064170137825,0.2583835460920171
0,optical_flow_warp,0.05,450,0.2492042096079026,0.1917216156951684,0.10326860013030559,0.08003625770889188,0.5103705518201874,0.2631259497916964
0,optical_flow_warp,0.1,450,0.3876255155712196,0.25307749176078376,0.19604698470593873,0.13062149473436047,0.5103705518201874,0.2631259497916964
0,optical_flow_warp,0.2,450,0.5665759522144634,0.281751584595701,0.3725121008411928,0.18663641767602715,0.5103705518201874,0.2631259497916964
0,pixel_shift_zero,0.05,450,0.279627403074419,0.24399708812947826,0.1519551582488475,0.08966409888069608,0.5189799920585398,0.2586173476078073
0,pixel_shift_zero,0.1,450,0.40039496560436494,0.2656089281746897,0.28712810135414935,0.150672316091085,0.5189799920585398,0.2586173476078073
0,pixel_shift_zero,0.2,450,0.5613389174399845,0.2623095179504969,0.5078756107628687,0.227316257096257,0.5189799920585398,0.2586173476078073
15,identity,0.05,450,0.6910332255101442,0.2636642601189982,0.0765527651132118,0.058188413434161076,0.7571122535456352,0.2387142377463481
15,identity,0.1,450,0.7354066381226615,0.25250772061863996,0.17537670563615343,0.093506975815948,0.7571122535456352,0.2387142377463481
15,identity,0.2,450,0.7893297338779437,0.24596192477207135,0.334192813025859,0.1470298596650108,0.7571122535456352,0.2387142377463481
15,local_bccb_causal,0.05,420,0.7421642387055857,0.1481072429009832,0.07031471916196427,0.0606728505746562,0.7957406588074251,0.09406692841254247
15,local_bccb_causal,0.1,420,0.7851104146423306,0.1212769302447983,0.1503749613465866,0.09272170551610405,0.7957406588074251,0.09406692841254247
15,local_bccb_causal,0.2,420,0.8368164071547654,0.09100852211955757,0.29758477027736163,0.13674255216229667,0.7957406588074251,0.09406692841254247
15,local_bttb_causal,0.05,420,0.7419952990984606,0.14779705625671727,0.07069794993842297,0.06100115001589997,0.7954985484864197,0.09371215703369119
15,local_bttb_causal,0.1,420,0.7849491084214727,0.12098080171454588,0.15007013573607297,0.09274930993944157,0.7954985484864197,0.09371215703369119
15,local_bttb_causal,0.2,420,0.8366459041686953,0.09072922837328876,0.29873452386257743,0.13831974975176278,0.7954985484864197,0.09371215703369119
15,optical_flow_warp,0.05,450,0.6746602802471178,0.24107737873498478,0.05472466818134987,0.0486995322563376,0.7814348798176673,0.1884857887085951
15,optical_flow_warp,0.1,450,0.7470986138553443,0.21371992803537726,0.12411482803806571,0.08258029168890393,0.7814348798176673,0.1884857887085951
15,optical_flow_warp,0.2,450,0.8263408422060559,0.20016643282819435,0.2563382252808104,0.13262796290724832,0.7814348798176673,0.1884857887085951
15,pixel_shift_zero,0.05,450,0.7206825163178,0.22978556776005904,0.07682634149390101,0.058093058943728196,0.7877193724450792,0.19229642104431852
15,pixel_shift_zero,0.1,450,0.7681882907759531,0.21299555412677518,0.17333766140642304,0.09150084030169008,0.7877193724450792,0.19229642104431852
15,pixel_shift_zero,0.2,450,0.8221021472830561,0.19757973008644117,0.3306789672045655,0.1432451229763404,0.7877193724450792,0.19229642104431852
22,identity,0.05,450,0.3974372914713548,0.22175802807071346,0.056314112841166754,0.0489395089780481,0.5711763225893244,0.22889711478603553
22,identity,0.1,450,0.4882942221491971,0.23138624702362026,0.1310222475805592,0.0874039410251419,0.5711763225893244,0.22889711478603553
22,identity,0.2,450,0.6100752597695047,0.23548798797032183,0.25297462343818905,0.13235917916992931,0.5711763225893244,0.22889711478603553
22,local_bccb_causal,0.05,420,0.40417050220583667,0.19028828899875921,0.061589841847451636,0.05264543173225258,0.5566885986926486,0.17060214378180727
22,local_bccb_causal,0.1,420,0.49256602300826313,0.18584805535398363,0.12031016491423839,0.08239543202701231,0.5566885986926486,0.17060214378180727
22,local_bccb_causal,0.2,420,0.6148433699061797,0.16165367087476087,0.22395717351481972,0.12017788867674914,0.5566885986926486,0.17060214378180727
22,local_bttb_causal,0.05,420,0.4039349453839187,0.19024093777035708,0.0634168427621626,0.05454734941930574,0.5574339580538126,0.1699663981297325
22,local_bttb_causal,0.1,420,0.49277881226101344,0.1856968913289677,0.12188027759363519,0.08303357471347902,0.5574339580538126,0.1699663981297325
22,local_bttb_causal,0.2,420,0.6153927966069548,0.16130076681213285,0.22394994733959475,0.11930244615815855,0.5574339580538126,0.1699663981297325
22,optical_flow_warp,0.05,450,0.38084530861433796,0.15986702946433123,0.04442907208870215,0.043391111195484826,0.5945715387504943,0.1979826221135965
22,optical_flow_warp,0.1,450,0.4993909032701725,0.20030991089850347,0.09335359120842984,0.07627716354521868,0.5945715387504943,0.1979826221135965
22,optical_flow_warp,0.2,450,0.6451359119303447,0.21372569860825952,0.1895962472928972,0.11780099575074736,0.5945715387504943,0.1979826221135965
22,pixel_shift_zero,0.05,450,0.41291565094446014,0.20878409007861573,0.05815752769971929,0.0492112342543908,0.5888727957341383,0.20366873797641386
22,pixel_shift_zero,0.1,450,0.506323861396682,0.2127712394364873,0.12899836084888905,0.08279657910168431,0.5888727957341383,0.20366873797641386
22,pixel_shift_zero,0.2,450,0.6306589080978144,0.20661292838105194,0.24885740423565697,0.12694397321327758,0.5888727957341383,0.20366873797641386
23,identity,0.05,450,0.3986233956713404,0.21981073048482122,0.05599500076602363,0.048654832898951464,0.5693604018591492,0.2280777856475975
23,identity,0.1,450,0.48842449570139695,0.229771309410127,0.1308494592330051,0.0874038616895348,0.5693604018591492,0.2280777856475975
23,identity,0.2,450,0.6091177140970503,0.23442713139448984,0.2531076790634977,0.1321446836561145,0.5693604018591492,0.2280777856475975
23,local_bccb_causal,0.05,420,0.4061789193604759,0.18810309159620303,0.06168670224656766,0.05285476834739866,0.555243397207653,0.17062205936611222
23,local_bccb_causal,0.1,420,0.49355706082498235,0.1842256401899947,0.12074321202036138,0.0821976328139693,0.555243397207653,0.17062205936611222
23,local_bccb_causal,0.2,420,0.6144466144817535,0.16097498545538624,0.22407501701792967,0.12012680756565301,0.555243397207653,0.17062205936611222
23,local_bttb_causal,0.05,420,0.40560294630308336,0.1881567414228549,0.06336002666607987,0.05454447553996281,0.5556190472442416,0.17016779390315015
23,local_bttb_causal,0.1,420,0.4934617399969427,0.18418793444253892,0.1222307466162087,0.08224163039985373,0.5556190472442416,0.17016779390315015
23,local_bttb_causal,0.2,420,0.6147526889491235,0.16072579108702942,0.22414537001290244,0.11952634127267366,0.5556190472442416,0.17016779390315015
23,optical_flow_warp,0.05,450,0.37885827201741046,0.15628949701305397,0.04381926299766379,0.043097357064624926,0.5909486450880771,0.1976986699883742
23,optical_flow_warp,0.1,450,0.49697927491989374,0.19754685418904713,0.09253917366070141,0.07517758412549233,0.5909486450880771,0.1976986699883742
23,optical_flow_warp,0.2,450,0.6426511579453323,0.21331407788632728,0.18930268544684603,0.11785122010665146,0.5909486450880771,0.1976986699883742
23,pixel_shift_zero,0.05,450,0.41368845191766906,0.20667776991770334,0.05790316661764258,0.04882650374016078,0.5865227893714737,0.2031814643211508
23,pixel_shift_zero,0.1,450,0.5059876950391101,0.21106741848561922,0.12884307525703803,0.08295456979418224,0.5865227893714737,0.2031814643211508
23,pixel_shift_zero,0.2,450,0.6293279176888331,0.20561023981020018,0.24909744819536822,0.12666386508808433,0.5865227893714737,0.2031814643211508
7,identity,0.05,450,0.2166896894468542,0.20909475308041106,0.15962765821143035,0.08468678870796935,0.3813623057952019,0.26658065685672777
7,identity,0.1,450,0.3109676757274587,0.23640373121197136,0.297544158421143,0.13098395357268175,0.3813623057952019,0.26658065685672777
7,identity,0.2,450,0.4478203130003965,0.252771947411597,0.5038372233430716,0.19421085012119452,0.3813623057952019,0.26658065685672777
7,local_bccb_causal,0.05,420,0.21581899004859856,0.2013835011635858,0.1617370283568998,0.08234146527028167,0.3526237730722762,0.2572480625252064
7,local_bccb_causal,0.1,420,0.31057316214802816,0.22197457556382164,0.28183870279744844,0.13977088865481768,0.3526237730722762,0.2572480625252064
7,local_bccb_causal,0.2,420,0.44851737046175033,0.2237085544922766,0.4822547774938522,0.2028714319713529,0.3526237730722762,0.2572480625252064
7,local_bttb_causal,0.05,420,0.21585976168045162,0.20131132588832298,0.1622198434796618,0.08136896850525722,0.3534153792492644,0.2567666960910012
7,local_bttb_causal,0.1,420,0.3106863820682466,0.22177892982881237,0.2831161949883934,0.13861947602502542,0.3534153792492644,0.2567666960910012
7,local_bttb_causal,0.2,420,0.4488169019676112,0.22332674039393807,0.48527405561132525,0.20029823123856094,0.3534153792492644,0.2567666960910012
7,optical_flow_warp,0.05,450,0.21179809895082863,0.17616043161348174,0.10338691225031114,0.07832566765240753,0.4187740841480973,0.2835927578510333
7,optical_flow_warp,0.1,450,0.34041852982356835,0.24689939994296034,0.18630166119579855,0.12360590273359574,0.4187740841480973,0.2835927578510333
7,optical_flow_warp,0.2,450,0.507675385979615,0.2860041695154368,0.3499232106218805,0.1707681853603768,0.4187740841480973,0.2835927578510333
7,pixel_shift_zero,0.05,450,0.2204072568542686,0.20619014265181987,0.16530146343297333,0.08012250531812647,0.385995052320253,0.26036444762697075
7,pixel_shift_zero,0.1,450,0.3176256539453439,0.23031621791850318,0.3007503863455328,0.12648845977113124,0.385995052320253,0.26036444762697075
7,pixel_shift_zero,0.2,450,0.45932758260994067,0.2397218231290793,0.5091432362470578,0.18907773929004806,0.385995052320253,0.26036444762697075
