layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
0,1,history_centered,210,0.9156739187556076,0.04068264834714052,0.7337538557620474,0.15396874017676646
0,1,raw,210,0.7780216854911804,0.1565625268254225,0.7780216854911804,0.1565625268254225
0,16,history_centered,210,0.5697464423035193,0.15929616664909751,0.4782127569514472,0.17012625528192582
0,16,raw,210,0.48413259479065673,0.167832296433357,0.48413259479065673,0.167832296433357
0,2,history_centered,210,0.8684111481749816,0.04779208068971311,0.6975436874224873,0.1529902256864666
0,2,raw,210,0.7222131539837969,0.15080731477886408,0.7222131539837969,0.15080731477886408
0,32,history_centered,210,0.4415622519087067,0.1387887386162021,0.37221251508551284,0.14815598748370645
0,32,raw,210,0.3752861602171229,0.14667967264372136,0.3752861602171229,0.14667967264372136
0,4,history_centered,210,0.7959299518503875,0.06707337082922252,0.6435191841728551,0.1555130377343037
0,4,raw,210,0.6610299326172383,0.15054734828699307,0.6610299326172383,0.15054734828699307
0,64,history_centered,210,0.31400267753529754,0.11349212029062089,0.2659701089030896,0.12105327658483055
0,64,raw,210,0.2668317287038986,0.11921761697750466,0.2668317287038986,0.11921761697750466
0,8,history_centered,210,0.6851430508849232,0.14788573388568282,0.5684998471541776,0.17559813565263266
0,8,raw,210,0.5815357747575726,0.16547956578950584,0.5815357747575726,0.16547956578950584
15,1,history_centered,210,0.47349237926139875,0.07616175667792803,0.45983845051894734,0.07575936422885649
15,1,raw,210,0.5190560363482277,0.05652839145198063,0.5190560363482277,0.05652839145198063
15,16,history_centered,210,0.3129691824314276,0.08743425012921191,0.30426761322815926,0.08627380757836103
15,16,raw,210,0.30648384942408585,0.08581517608710193,0.30648384942408585,0.08581517608710193
15,2,history_centered,210,0.43593766885782675,0.08515579644691933,0.4234936329000815,0.0844271590766498
15,2,raw,210,0.4524380560636504,0.07658763580063205,0.4524380560636504,0.07658763580063205
15,32,history_centered,210,0.26840912233098524,0.08504196620266358,0.2610335083460251,0.08387343398259728
15,32,raw,210,0.262080819224864,0.08341913831984259,0.262080819224864,0.08341913831984259
15,4,history_centered,210,0.3974452082524649,0.08641884115959741,0.38617827423630924,0.08555230746995107
15,4,raw,210,0.3977679944112985,0.08502425309260397,0.3977679944112985,0.08502425309260397
15,64,history_centered,210,0.22572183963781928,0.08302888916319782,0.21960035286833196,0.08184235517487087
15,64,raw,210,0.21995702412604937,0.08127690407285909,0.21995702412604937,0.08127690407285909
15,8,history_centered,210,0.35762979637558867,0.0877665407397214,0.347578135797287,0.08671139460820008
15,8,raw,210,0.3528286667949649,0.08673147721278279,0.3528286667949649,0.08673147721278279
22,1,history_centered,210,0.7111664687219508,0.057052466119408875,0.5842893789720133,0.08759196949182493
22,1,raw,210,0.6281761550228036,0.0910850710369515,0.6281761550228036,0.0910850710369515
22,16,history_centered,210,0.35609057821271145,0.09415324396514287,0.2961711294378311,0.0935723100481243
22,16,raw,210,0.29870648453673504,0.09331832523538197,0.29870648453673504,0.09331832523538197
22,2,history_centered,210,0.5245354176290933,0.08612632238778459,0.43347980461924146,0.09806958327915412
22,2,raw,210,0.48006075061731046,0.10527267199884,0.48006075061731046,0.10527267199884
22,32,history_centered,210,0.30886604990810157,0.09562179052876921,0.25761045482919526,0.0922520066690095
22,32,raw,210,0.25855741639875646,0.09183797550812987,0.25855741639875646,0.09183797550812987
22,4,history_centered,210,0.46509452309181837,0.09063510046849411,0.3852146202805164,0.09770258648350832
22,4,raw,210,0.3987530493864713,0.09584686494967283,0.3987530493864713,0.09584686494967283
22,64,history_centered,210,0.2650030676179689,0.09693890153133823,0.2216836266483331,0.09086419119354552
22,64,raw,210,0.2219648350807667,0.09045896664933821,0.2219648350807667,0.09045896664933821
22,8,history_centered,210,0.4077770592204021,0.09358473373348429,0.3384145621145333,0.09600836579022273
22,8,raw,210,0.34426625868051763,0.09582925418295117,0.34426625868051763,0.09582925418295117
23,1,history_centered,210,0.7182612913798735,0.05534398980583628,0.5592821369270066,0.07902175290680796
23,1,raw,210,0.6269049648252607,0.08152348987536538,0.6269049648252607,0.08152348987536538
23,16,history_centered,210,0.3690826634657705,0.09501074229822248,0.29095154851066235,0.089093288658352
23,16,raw,210,0.29345624167961065,0.08892780955238087,0.29345624167961065,0.08892780955238087
23,2,history_centered,210,0.5293409238404788,0.08439165832535286,0.4145948082197242,0.09035265393773974
23,2,raw,210,0.4881762091928411,0.09593576688980919,0.4881762091928411,0.09593576688980919
23,32,history_centered,210,0.32165196509302113,0.09698877161861723,0.25420482656071014,0.08823527280878389
23,32,raw,210,0.2551520073882376,0.08780055811681368,0.2551520073882376,0.08780055811681368
