total_rank_budget,method,seed,scenario,event_frame,detected,detection_delay
16,causalmem_residual_proxy,1001,brief_action,32,1,0
16,causalmem_residual_proxy,1001,object_disappear,32,0,
16,causalmem_residual_proxy,1001,object_enter,32,1,0
16,causalmem_residual_proxy,1001,one_frame_ocr,32,1,0
16,causalmem_residual_proxy,1001,scene_cut,32,1,0
16,causalmem_residual_proxy,1009,brief_action,32,1,0
16,causalmem_residual_proxy,1009,object_disappear,32,0,
16,causalmem_residual_proxy,1009,object_enter,32,1,0
16,causalmem_residual_proxy,1009,one_frame_ocr,32,1,0
16,causalmem_residual_proxy,1009,scene_cut,32,1,0
16,causalmem_residual_proxy,2026,brief_action,32,1,0
16,causalmem_residual_proxy,2026,object_disappear,32,0,
16,causalmem_residual_proxy,2026,object_enter,32,1,0
16,causalmem_residual_proxy,2026,one_frame_ocr,32,1,0
16,causalmem_residual_proxy,2026,scene_cut,32,1,0
16,causalmem_residual_proxy,4093,brief_action,32,1,0
16,causalmem_residual_proxy,4093,object_disappear,32,0,
16,causalmem_residual_proxy,4093,object_enter,32,1,0
16,causalmem_residual_proxy,4093,one_frame_ocr,32,1,0
16,causalmem_residual_proxy,4093,scene_cut,32,1,0
16,causalmem_residual_proxy,8191,brief_action,32,1,0
16,causalmem_residual_proxy,8191,object_disappear,32,0,
16,causalmem_residual_proxy,8191,object_enter,32,1,0
16,causalmem_residual_proxy,8191,one_frame_ocr,32,1,0
16,causalmem_residual_proxy,8191,scene_cut,32,1,0
16,causalmem_residual_proxy,12289,brief_action,32,1,0
16,causalmem_residual_proxy,12289,object_disappear,32,0,
16,causalmem_residual_proxy,12289,object_enter,32,1,0
16,causalmem_residual_proxy,12289,one_frame_ocr,32,1,0
16,causalmem_residual_proxy,12289,scene_cut,32,1,0
16,causalmem_residual_proxy,16381,brief_action,32,1,0
16,causalmem_residual_proxy,16381,object_disappear,32,0,
16,causalmem_residual_proxy,16381,object_enter,32,1,0
16,causalmem_residual_proxy,16381,one_frame_ocr,32,1,0
16,causalmem_residual_proxy,16381,scene_cut,32,1,0
16,causalmem_residual_proxy,32749,brief_action,32,1,0
16,causalmem_residual_proxy,32749,object_disappear,32,0,
16,causalmem_residual_proxy,32749,object_enter,32,1,0
16,causalmem_residual_proxy,32749,one_frame_ocr,32,1,0
16,causalmem_residual_proxy,32749,scene_cut,32,1,0
16,dual_slow_residual,1001,brief_action,32,1,0
16,dual_slow_residual,1001,object_disappear,32,0,
16,dual_slow_residual,1001,object_enter,32,1,0
16,dual_slow_residual,1001,one_frame_ocr,32,1,0
16,dual_slow_residual,1001,scene_cut,32,1,0
16,dual_slow_residual,1009,brief_action,32,1,0
16,dual_slow_residual,1009,object_disappear,32,0,
16,dual_slow_residual,1009,object_enter,32,1,0
16,dual_slow_residual,1009,one_frame_ocr,32,1,0
16,dual_slow_residual,1009,scene_cut,32,1,0
16,dual_slow_residual,2026,brief_action,32,1,0
16,dual_slow_residual,2026,object_disappear,32,0,
16,dual_slow_residual,2026,object_enter,32,1,0
16,dual_slow_residual,2026,one_frame_ocr,32,1,0
16,dual_slow_residual,2026,scene_cut,32,1,0
16,dual_slow_residual,4093,brief_action,32,1,0
16,dual_slow_residual,4093,object_disappear,32,0,
16,dual_slow_residual,4093,object_enter,32,1,0
