category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
__all__,0,frame_centered_unit,adaptive_slots,16,0,30,480,0.8991118460711782,0.09444134060677278,0.9197542777313306,0.11019373419581317,0.2951929799718655,0.22185441514385143,0.7266927083333333,0.2505568004651472,-0.10088815392882178
__all__,0,frame_centered_unit,adaptive_slots,16,1,30,450,0.8804472260369389,0.1012214267133238,0.8998056222067948,0.11458451191537465,0.3567339644995967,0.24134231757109295,0.6640277777777778,0.2854627564841098,-0.001364044486633631
__all__,0,frame_centered_unit,adaptive_slots,16,2,30,420,0.865853935594876,0.10572707640362061,0.8832113709068075,0.1204416448806165,0.39174286457708457,0.2502696932156901,0.6083333333333333,0.3057626913354512,0.033350928446407635
__all__,0,frame_centered_unit,adaptive_slots,16,4,30,360,0.8450275424463246,0.10948212788706049,0.8584922487835908,0.12472967624160082,0.4387703890635844,0.25786243484872784,0.5305555555555556,0.3158493350778751,0.07143078383474089
__all__,0,frame_centered_unit,adaptive_slots,16,8,30,240,0.8143942098841914,0.1142815828215284,0.8259587692417754,0.12799338811199573,0.49858362723600186,0.2680952735772545,0.4390625,0.32355070482653875,0.10244944934214173
__all__,0,frame_centered_unit,adaptive_slots,32,0,30,480,0.9639115074531953,0.048909568362799805,0.9758523873397522,0.043995179771203506,0.15841358522360208,0.1459120981438482,0.905078125,0.15493801395176623,-0.036088492546804685
__all__,0,frame_centered_unit,adaptive_slots,32,1,30,450,0.9512454979657321,0.060809884131789727,0.9624823609435353,0.05832329317421381,0.203985827442138,0.17980238963973158,0.8590277777777777,0.2081584914475708,-0.0487545020342679
__all__,0,frame_centered_unit,adaptive_slots,32,2,30,420,0.9383885594806444,0.06792407282053164,0.9495003487794048,0.06837045726175116,0.24280369593315362,0.19284329049039353,0.8002976190476191,0.2527010057907653,0.047487823922043315
__all__,0,frame_centered_unit,adaptive_slots,32,4,30,360,0.919673251766838,0.07535890777212319,0.9309192601171147,0.0779898768156361,0.293898025747341,0.2082800594376837,0.7142361111111111,0.28603419779302397,0.10475786273262222
__all__,0,frame_centered_unit,adaptive_slots,32,8,30,240,0.896253124417607,0.08434598045418627,0.9061266222313534,0.08902303661834036,0.34821194714727377,0.22633316827698735,0.61640625,0.3189047444027827,0.15495728944858023
__all__,0,frame_centered_unit,adaptive_slots,64,0,30,480,0.9858548101708539,0.020007802437637383,0.9901641745239435,0.015851423764628128,0.09810385661495251,0.10073333401256802,0.978515625,0.06556800910779109,-0.014145189829146143
__all__,0,frame_centered_unit,adaptive_slots,64,1,30,450,0.978851289790964,0.02723310916325242,0.9842961288564623,0.02376689935946235,0.12679680346640856,0.12285119978500407,0.9518055555555556,0.1037250825351013,-0.02114871020903597
__all__,0,frame_centered_unit,adaptive_slots,64,2,30,420,0.9728025569284395,0.0334535773459782,0.9789873088622838,0.03095411400512217,0.14650720475323326,0.13759739566329007,0.9178571428571428,0.14640134764351295,-0.027197443071560468
__all__,0,frame_centered_unit,adaptive_slots,64,4,30,360,0.9639711500219951,0.040253775791771626,0.9723843210443694,0.038367737461652784,0.1744000317084376,0.15210240311221163,0.8717013888888889,0.1874420402959091,0.06528422835546588
__all__,0,frame_centered_unit,adaptive_slots,64,8,30,240,0.9530255300118513,0.04905065861890009,0.9627087878866584,0.04858928327769622,0.20219327100735232,0.17059858444536555,0.8106770833333333,0.24342913688209086,0.16199064306419741
__all__,0,frame_centered_unit,oja_subspace,16,0,30,480,0.9089372329734353,0.08013780660617112,0.9136059170722111,0.07954060814719587,0.33013091566994945,0.22206634942087408,0.6087239583333334,0.38222688962861434,-0.09106276702656468
__all__,0,frame_centered_unit,oja_subspace,16,1,30,450,0.9134033094371466,0.07754745755065547,0.9181413834932255,0.07692844839587543,0.32121801592911997,0.217997944048766,0.6308333333333334,0.37513978876028475,0.031592038913574094
