category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
__all__,0,frame_centered_unit,instant_adaptive,16,0,30,480,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_adaptive,16,1,30,450,0.8818112705235726,0.1369927836005191,0.8914591149675385,0.13538399906412557,0.35524911817692684,0.3036805588229295,0.6338888888888888,0.39693812684499064,0.0
__all__,0,frame_centered_unit,instant_adaptive,16,2,30,420,0.8325030071484684,0.16759450744491983,0.8410957571554457,0.16870768746067522,0.44452349497123905,0.3413495453874159,0.5230654761904762,0.41943793016427056,0.0
__all__,0,frame_centered_unit,instant_adaptive,16,4,30,360,0.7735967586115837,0.18870586587056393,0.7821038167967389,0.19248078573048463,0.5452652169165771,0.365326158804838,0.40729166666666666,0.4243292807969616,0.0
__all__,0,frame_centered_unit,instant_adaptive,16,8,30,240,0.7119447605420497,0.19665236167288003,0.7177686734003392,0.2025658022899884,0.6462737795467898,0.36936547468932857,0.2953125,0.4071274578397818,0.0
__all__,0,frame_centered_unit,instant_adaptive,32,0,30,480,1.0,0.0,1.0,5.99588961666477e-17,1.1622886587893916e-18,6.273283164570618e-18,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_adaptive,32,1,30,450,0.9540230713605513,0.0617382119558615,0.9660981573427041,0.06053772900090571,0.18392280383440657,0.1738268068131427,0.8581944444444445,0.2121006141544417,-0.04597692863944869
__all__,0,frame_centered_unit,instant_adaptive,32,2,30,420,0.9235063545223252,0.08392181250769593,0.9351980632536925,0.08523374054966261,0.27306231546371545,0.2217387394401379,0.7596726190476191,0.284798064362399,0.03260561896372416
__all__,0,frame_centered_unit,instant_adaptive,32,4,30,360,0.8875761705221776,0.0989965809094133,0.8992242887011885,0.10448028410338663,0.3580158924813972,0.24646465148137237,0.6317708333333333,0.32316480721379265,0.07266078148796185
__all__,0,frame_centered_unit,instant_adaptive,32,8,30,240,0.8468826566579348,0.10396931772794807,0.859421691371752,0.1116169758981734,0.44518040293291306,0.2552542845015747,0.49583333333333335,0.3265321789485515,0.1055868216889081
__all__,0,frame_centered_unit,instant_adaptive,64,0,30,480,1.0,0.0,1.0,5.642875308493207e-17,8.771935299272817e-19,5.37173615890499e-18,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_adaptive,64,1,30,450,0.9864829665359426,0.020816878829373237,0.9912686707320125,0.013719729678824975,0.09364970481269182,0.09793088979708402,0.9765277777777778,0.06944291664986074,-0.013517033464057415
__all__,0,frame_centered_unit,instant_adaptive,64,2,30,420,0.9761732834773952,0.03304746593988966,0.9825644979562081,0.026813823348756028,0.13437100068964605,0.13092254316413474,0.9409226190476191,0.12705675742527944,-0.02382671652260482
__all__,0,frame_centered_unit,instant_adaptive,64,4,30,360,0.960114350217665,0.04501765254871777,0.9691993418318121,0.04303001625742587,0.18743525577132572,0.15717829655868917,0.8671875,0.1907523197306887,0.06142742855113581
__all__,0,frame_centered_unit,instant_adaptive,64,8,30,240,0.9377162112943986,0.05819863312393764,0.9473795351650007,0.05935357207856404,0.24925480245364212,0.18827922800260366,0.75390625,0.26498275604764204,0.14668132434674475
__all__,0,frame_centered_unit,instant_oja,16,0,30,480,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_oja,16,1,30,450,0.8818112705235726,0.1369927836005191,0.8914591149675385,0.13538399906412557,0.35524911817692684,0.3036805588229295,0.6338888888888888,0.39693812684499064,0.0
__all__,0,frame_centered_unit,instant_oja,16,2,30,420,0.8325030071484684,0.16759450744491983,0.8410957571554457,0.16870768746067522,0.44452349497123905,0.3413495453874159,0.5230654761904762,0.41943793016427056,0.0
