category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
__all__,0,frame_centered_unit,instant_adaptive,64,0,30,480,1.0,0.0,1.0,5.642875308493207e-17,9.105597362089355e-19,5.616573225899792e-18,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_adaptive,64,1,30,450,1.0,0.0,1.0,5.921189464667501e-17,1.0566264538404951e-18,6.057717976395314e-18,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_adaptive,64,2,30,420,1.0,0.0,1.0,6.032487451619397e-17,1.2284973132011965e-18,6.550338249191692e-18,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_adaptive,64,4,30,360,0.9311140047378523,0.07545291155111167,0.9412015484736328,0.07594682267551418,0.2604552639345886,0.20870309949902735,0.7739583333333333,0.2744766959091832,0.03242708307132314
__all__,0,frame_centered_unit,instant_adaptive,64,8,30,240,0.874196108091585,0.09491491939667333,0.8861518260404113,0.09995959355916263,0.39522772126456224,0.24108742362670363,0.56328125,0.32403107017708066,0.0831612211439311
__all__,0,frame_centered_unit,instant_oja,64,0,30,480,1.0,0.0,1.0,5.642875308493207e-17,2.1510739133772344e-17,1.1779334113393463e-16,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_oja,64,1,30,450,1.0,0.0,1.0,5.921189464667501e-17,2.409641067693554e-17,1.2373365297364468e-16,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_oja,64,2,30,420,1.0,0.0,1.0,5.93439168722175e-17,2.7632951554684065e-17,1.3027516580808283e-16,1.0,0.0,0.0
__all__,0,frame_centered_unit,instant_oja,64,4,30,360,0.9444817873318341,0.05911339252557478,0.9486927514462403,0.0585619852212145,0.24439471941708024,0.194805971030571,0.7779513888888889,0.3008775724596004,0.045794865665304885
__all__,0,frame_centered_unit,instant_oja,64,8,30,240,0.9445934840720127,0.05618331391195882,0.9492204040775171,0.054579618901966304,0.25016877336225213,0.18731266930730225,0.778125,0.2973789582194185,0.15355859712435882
__all__,0,frame_centered_unit,recent_window,64,0,30,480,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
__all__,0,frame_centered_unit,recent_window,64,1,30,450,1.0,0.0,1.0,4.1869132231567334e-17,0.0,0.0,1.0,0.0,0.0
__all__,0,frame_centered_unit,recent_window,64,2,30,420,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
__all__,0,frame_centered_unit,recent_window,64,4,30,360,0.8986869216665292,0.11843918870156035,0.9059382796572922,0.11766686079751926,0.3317518597621079,0.27911819969543006,0.6581597222222222,0.3850739451570461,0.0
__all__,0,frame_centered_unit,recent_window,64,8,30,240,0.7910348869476539,0.17322097478884693,0.8008090457091949,0.17449798128636274,0.5309188555996535,0.34097075489463774,0.39765625,0.41248150408344064,0.0
__all__,0,frame_centered_unit,uniform_reservoir,64,0,30,480,0.9420937443530133,0.07271685726935176,0.9609281942523954,0.07622430284971152,0.17267485701675744,0.18824725276558804,0.8026041666666667,0.2384705816573026,-0.057906255646986704
__all__,0,frame_centered_unit,uniform_reservoir,64,1,30,450,0.9476967444005387,0.06432515982461301,0.967397958795898,0.06529334017701001,0.1654912746312665,0.17317892465569198,0.8209722222222222,0.2213972969963363,-0.05230325559946125
