category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
__all__,8,frame_centered_unit,adaptive_slots,4,0,1,8,0.9996088738368403,0.0002810373383135039,0.9996324768535512,0.00027336916430878373,0.02458926844908503,0.012879587328890548,1.0,0.0,-0.00039112616315972737
__all__,8,frame_centered_unit,adaptive_slots,4,1,1,7,0.9997755339094347,7.318948671981332e-05,0.9997898548951726,6.751434975904602e-05,0.020805154241122014,0.0032303109713553795,1.0,0.0,0.0005337871648726233
__all__,8,frame_centered_unit,adaptive_slots,4,2,1,6,0.9992876213086671,0.00026477110444181334,0.9993416221548178,0.00022534549630675945,0.036840027393980554,0.006602413121659676,1.0,0.0,0.0014508853365426955
__all__,8,frame_centered_unit,adaptive_slots,4,4,1,4,0.9970720390697566,0.0004024184025948618,0.9973343715878139,0.00033574701238317864,0.07568539803300872,0.005095537339476044,1.0,0.0,0.0027887912911427337
__all__,8,frame_centered_unit,adaptive_slots,8,0,1,8,0.9997139080351383,0.00025232779776326495,0.99972863323114,0.0002456336229271611,0.019492596279664515,0.013563464411328403,1.0,0.0,-0.0002860919648617344
__all__,8,frame_centered_unit,adaptive_slots,8,1,1,7,0.9998132395952118,0.0001115314803474308,0.9998253152816127,0.0001031335002657279,0.017495612495604156,0.007922677818548458,1.0,0.0,-0.00018676040478815548
__all__,8,frame_centered_unit,adaptive_slots,8,2,1,6,0.9994431942384011,0.0002742005742490799,0.9994781584190303,0.0002490136770632091,0.030110096922538757,0.013830674684446103,1.0,0.0,0.00021256856050821948
__all__,8,frame_centered_unit,adaptive_slots,8,4,1,4,0.99855941419839,0.0011072701673956486,0.9986698277869572,0.0010301456382341043,0.04469675997590235,0.02890205743561646,1.0,0.0,0.0024806557222047942
__all__,8,frame_centered_unit,oja_subspace,4,0,1,8,0.9967548936774405,0.0022479887958547686,0.9970452384154405,0.002081102140940657,0.07062053547304784,0.036300626686022505,1.0,0.0,-0.0032451063225594767
__all__,8,frame_centered_unit,oja_subspace,4,1,1,7,0.9975300216670877,0.0018208852267251486,0.997763799731958,0.0016553217234972235,0.061454032528238514,0.031678266667116414,1.0,0.0,-0.001711725077474413
__all__,8,frame_centered_unit,oja_subspace,4,2,1,6,0.9981451435335033,0.0014271089524578553,0.9983182552985713,0.0012730770638190256,0.053641585765912825,0.026443385008016622,1.0,0.0,0.00030840756137884284
__all__,8,frame_centered_unit,oja_subspace,4,4,1,4,0.9989501104230225,0.0006667266381757247,0.9989952571521794,0.0005972071967676857,0.04295444548988435,0.013683606053870988,1.0,0.0,0.004666862644408631
__all__,8,frame_centered_unit,oja_subspace,8,0,1,8,0.9967598623607133,0.0022447689555704807,0.997049862575684,0.0020777188378924985,0.0705611726199175,0.036274209933356026,1.0,0.0,-0.0032401376392866554
__all__,8,frame_centered_unit,oja_subspace,8,1,1,7,0.9975337763737046,0.0018183950485014349,0.9977672693883478,0.0016527083977736924,0.06140115442261505,0.031657825503732,1.0,0.0,-0.0024662236262954496
__all__,8,frame_centered_unit,oja_subspace,8,2,1,6,0.9981479823852558,0.0014253760072633125,0.9983206436879329,0.001271698884101597,0.05359402074057801,0.02642943892498868,1.0,0.0,-0.0010826432926370755
__all__,8,frame_centered_unit,oja_subspace,8,4,1,4,0.9989524967768884,0.0006655091032740694,0.9989977104076035,0.0005957540444374828,0.04290307128186746,0.01367009537619931,1.0,0.0,0.0028737383007031436
__all__,8,frame_centered_unit,recent_window,4,0,1,8,1.0,1.1102230246251565e-16,1.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0
__all__,8,frame_centered_unit,recent_window,4,1,1,7,0.9992417467445621,3.801345345696534e-05,0.9992851109222816,3.952870174933333e-05,0.03866557895693023,0.0009408874825578725,1.0,0.0,0.0
__all__,8,frame_centered_unit,recent_window,4,2,1,6,0.9978367359721244,7.224601769794107e-05,0.9979850832150094,9.090317110954517e-05,0.06522983243977937,0.0010034226585423937,1.0,0.0,0.0
__all__,8,frame_centered_unit,recent_window,4,4,1,4,0.9942832477786139,9.576368474260947e-05,0.9947432984663296,0.00017098848850254932,0.10605663394231671,0.0009197732448713399,1.0,0.0,0.0
__all__,8,frame_centered_unit,recent_window,8,0,1,8,1.0,1.1102230246251565e-16,1.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0
__all__,8,frame_centered_unit,recent_window,8,1,1,7,1.0,8.392497208503151e-17,1.0,8.392497208503151e-17,0.0,0.0,1.0,0.0,0.0
__all__,8,frame_centered_unit,recent_window,8,2,1,6,0.9992306256778929,2.8637613098444436e-05,0.9992791181075628,3.964266861013377e-05,0.03894762112526506,0.0006899127753612681,1.0,0.0,0.0
__all__,8,frame_centered_unit,recent_window,8,4,1,4,0.9960787584761852,0.00010621957295117353,0.9964440117101104,9.716508609259227e-05,0.08777119633830208,0.0011244174939771096,1.0,0.0,0.0
__all__,8,frame_centered_unit,uniform_reservoir,4,0,1,8,0.8826949860262578,0.07732018058829529,0.968797837910822,0.07820818229595433,0.25155455417266637,0.1532250780421556,0.78125,0.14986973510352247,-0.11730501397374216
__all__,8,frame_centered_unit,uniform_reservoir,4,1,1,7,0.8667453380676594,0.06763853578387485,0.9651263623843244,0.08253967578809901,0.2798677533660319,0.12936525739085053,0.75,0.1336306209562122,-0.1324964086769027
