method,capacity,total_state_bytes,tasks,samples,micro_accuracy,micro_accuracy_ci95_low,micro_accuracy_ci95_high,macro_task_accuracy,macro_gain_vs_recent
adaptive_slots,16,24712,5,200,0.465,0.39718443070423204,0.5341347897100506,0.465,-0.04999999999999999
adaptive_slots,4,6184,5,200,0.485,0.4166726249238525,0.5538927552536972,0.48500000000000004,0.0
adaptive_slots,8,12360,5,200,0.495,0.4264572195415849,0.5637312405175983,0.49499999999999994,0.0050000000000000044
full_sequence,32,49168,5,200,0.48,0.4117904407948983,0.5489633994418346,0.48,nan
instant_oja,16,24648,5,200,0.475,0.4069150074009861,0.54402729289493,0.475,-0.040000000000000036
instant_oja,4,6168,5,200,0.49,0.4215615528275274,0.5588153672908391,0.49000000000000005,0.0050000000000000044
instant_oja,8,12328,5,200,0.49,0.4215615528275274,0.5588153672908391,0.49000000000000005,1.1102230246251565e-16
oja_subspace,16,24644,5,200,0.475,0.4069150074009861,0.54402729289493,0.475,-0.040000000000000036
oja_subspace,4,6164,5,200,0.48,0.4117904407948983,0.5489633994418346,0.48,-0.00500000000000006
oja_subspace,8,12324,5,200,0.475,0.4069150074009861,0.54402729289493,0.475,-0.014999999999999958
recent_window,16,24592,5,200,0.515,0.44610724474630287,0.5833273750761476,0.515,0.0
recent_window,4,6160,5,200,0.485,0.4166726249238525,0.5538927552536972,0.48500000000000004,0.0
recent_window,8,12304,5,200,0.49,0.4215615528275274,0.5588153672908391,0.48999999999999994,0.0
uniform_reservoir,16,24592,5,200,0.49,0.4215615528275274,0.5588153672908391,0.49000000000000005,-0.024999999999999967
uniform_reservoir,4,6160,5,200,0.475,0.4069150074009861,0.54402729289493,0.475,-0.010000000000000064
uniform_reservoir,8,12304,5,200,0.48,0.4117904407948983,0.5489633994418346,0.4800000000000001,-0.009999999999999842
