task,selection_policy,memory_variant,samples,accuracy,full_accuracy,accuracy_delta_vs_full
action_sequence,exact_recent,pca_r256_grid2x2,60,0.4,0.4,0.0
action_sequence,exact_recent,pca_r256_route_grid2_s4,60,0.4,0.4,0.0
action_sequence,exact_recent,pca_r256_s0,60,0.4,0.4,0.0
action_sequence,exact_recent,pca_r256_s4,60,0.4,0.4,0.0
action_sequence,learned_recent_query_topk,pca_r256_grid2x2,60,0.4,0.4,0.0
action_sequence,learned_recent_query_topk,pca_r256_route_grid2_s4,60,0.4,0.4,0.0
action_sequence,learned_recent_query_topk,pca_r256_s0,60,0.4,0.4,0.0
action_sequence,learned_recent_query_topk,pca_r256_s4,60,0.4,0.4,0.0
moving_direction,exact_recent,pca_r256_grid2x2,60,0.36666666666666664,0.36666666666666664,0.0
moving_direction,exact_recent,pca_r256_route_grid2_s4,60,0.36666666666666664,0.36666666666666664,0.0
moving_direction,exact_recent,pca_r256_s0,60,0.36666666666666664,0.36666666666666664,0.0
moving_direction,exact_recent,pca_r256_s4,60,0.36666666666666664,0.36666666666666664,0.0
moving_direction,learned_recent_query_topk,pca_r256_grid2x2,60,0.36666666666666664,0.36666666666666664,0.0
moving_direction,learned_recent_query_topk,pca_r256_route_grid2_s4,60,0.36666666666666664,0.36666666666666664,0.0
moving_direction,learned_recent_query_topk,pca_r256_s0,60,0.36666666666666664,0.36666666666666664,0.0
moving_direction,learned_recent_query_topk,pca_r256_s4,60,0.36666666666666664,0.36666666666666664,0.0
object_existence,exact_recent,pca_r256_grid2x2,60,0.3333333333333333,0.35,-0.016666666666666663
object_existence,exact_recent,pca_r256_route_grid2_s4,60,0.3333333333333333,0.35,-0.016666666666666663
object_existence,exact_recent,pca_r256_s0,60,0.31666666666666665,0.35,-0.033333333333333326
object_existence,exact_recent,pca_r256_s4,60,0.35,0.35,0.0
object_existence,learned_recent_query_topk,pca_r256_grid2x2,60,0.3333333333333333,0.36666666666666664,-0.033333333333333326
object_existence,learned_recent_query_topk,pca_r256_route_grid2_s4,60,0.35,0.36666666666666664,-0.016666666666666663
object_existence,learned_recent_query_topk,pca_r256_s0,60,0.31666666666666665,0.36666666666666664,-0.04999999999999999
object_existence,learned_recent_query_topk,pca_r256_s4,60,0.35,0.36666666666666664,-0.016666666666666663
scene_transition,exact_recent,pca_r256_grid2x2,60,0.75,0.75,0.0
scene_transition,exact_recent,pca_r256_route_grid2_s4,60,0.75,0.75,0.0
scene_transition,exact_recent,pca_r256_s0,60,0.75,0.75,0.0
scene_transition,exact_recent,pca_r256_s4,60,0.75,0.75,0.0
scene_transition,learned_recent_query_topk,pca_r256_grid2x2,60,0.8,0.8,0.0
scene_transition,learned_recent_query_topk,pca_r256_route_grid2_s4,60,0.8,0.8,0.0
scene_transition,learned_recent_query_topk,pca_r256_s0,60,0.7666666666666667,0.8,-0.033333333333333326
scene_transition,learned_recent_query_topk,pca_r256_s4,60,0.8,0.8,0.0
state_change,exact_recent,pca_r256_grid2x2,60,0.3,0.3,0.0
state_change,exact_recent,pca_r256_route_grid2_s4,60,0.3,0.3,0.0
state_change,exact_recent,pca_r256_s0,60,0.31666666666666665,0.3,0.016666666666666663
state_change,exact_recent,pca_r256_s4,60,0.3,0.3,0.0
state_change,learned_recent_query_topk,pca_r256_grid2x2,60,0.3333333333333333,0.31666666666666665,0.016666666666666663
state_change,learned_recent_query_topk,pca_r256_route_grid2_s4,60,0.3333333333333333,0.31666666666666665,0.016666666666666663
state_change,learned_recent_query_topk,pca_r256_s0,60,0.35,0.31666666666666665,0.033333333333333326
state_change,learned_recent_query_topk,pca_r256_s4,60,0.3333333333333333,0.31666666666666665,0.016666666666666663
