run,policy,task,gain,samples
formal,recent_pool_query_topk,action_sequence,0.075,40
formal,recent_pool_query_topk,moving_direction,0.0,40
formal,recent_pool_query_topk,object_existence,0.0,40
formal,recent_pool_query_topk,scene_transition,0.0,40
formal,recent_pool_query_topk,state_change,0.025,40
formal,recent_pool_query_mmr,action_sequence,0.1,40
formal,recent_pool_query_mmr,moving_direction,0.0,40
formal,recent_pool_query_mmr,object_existence,0.0,40
formal,recent_pool_query_mmr,scene_transition,-0.025,40
formal,recent_pool_query_mmr,state_change,0.0,40
formal,learned_recent_query_topk,action_sequence,0.1,40
formal,learned_recent_query_topk,moving_direction,0.0,40
formal,learned_recent_query_topk,object_existence,0.0,40
formal,learned_recent_query_topk,scene_transition,0.025,40
formal,learned_recent_query_topk,state_change,0.0,40
formal,offline_uniform,action_sequence,0.075,40
formal,offline_uniform,moving_direction,0.0,40
formal,offline_uniform,object_existence,0.05,40
formal,offline_uniform,scene_transition,0.025,40
formal,offline_uniform,state_change,0.0,40
formal,offline_full_query_mmr,action_sequence,0.05,40
formal,offline_full_query_mmr,moving_direction,0.0,40
formal,offline_full_query_mmr,object_existence,0.025,40
formal,offline_full_query_mmr,scene_transition,-0.05,40
formal,offline_full_query_mmr,state_change,0.0,40
confirmation,recent_pool_query_topk,action_sequence,0.0,40
confirmation,recent_pool_query_topk,moving_direction,0.0,40
confirmation,recent_pool_query_topk,object_existence,0.0,40
confirmation,recent_pool_query_topk,scene_transition,0.1,40
confirmation,recent_pool_query_topk,state_change,-0.025,40
confirmation,recent_pool_query_mmr,action_sequence,-0.025,40
confirmation,recent_pool_query_mmr,moving_direction,0.0,40
confirmation,recent_pool_query_mmr,object_existence,0.0,40
confirmation,recent_pool_query_mmr,scene_transition,0.1,40
confirmation,recent_pool_query_mmr,state_change,0.025,40
confirmation,learned_recent_query_topk,action_sequence,0.05,40
confirmation,learned_recent_query_topk,moving_direction,0.0,40
confirmation,learned_recent_query_topk,object_existence,0.0,40
confirmation,learned_recent_query_topk,scene_transition,0.1,40
confirmation,learned_recent_query_topk,state_change,0.0,40
confirmation,offline_uniform,action_sequence,0.025,40
confirmation,offline_uniform,moving_direction,0.0,40
confirmation,offline_uniform,object_existence,-0.05,40
confirmation,offline_uniform,scene_transition,0.1,40
confirmation,offline_uniform,state_change,0.0,40
confirmation,offline_full_query_mmr,action_sequence,-0.075,40
confirmation,offline_full_query_mmr,moving_direction,0.0,40
confirmation,offline_full_query_mmr,object_existence,0.0,40
confirmation,offline_full_query_mmr,scene_transition,0.1,40
confirmation,offline_full_query_mmr,state_change,0.025,40
