policy,calibration_macro_accuracy,evaluation_macro_accuracy,evaluation_minus_calibration
calibrated_diverse_recent_query_mmr,0.42000000000000004,0.48999999999999994,0.0699999999999999
diverse_recent_query_mmr,0.41999999999999993,0.4699999999999999,0.04999999999999999
diverse_recent_query_topk,0.41,0.485,0.07500000000000001
exact_recent,0.4,0.475,0.07499999999999996
learned_recent_query_topk,0.39,0.5,0.10999999999999999
offline_full_query_mmr,0.42000000000000004,0.47999999999999987,0.05999999999999983
offline_uniform,0.38,0.505,0.125
recent_pool_query_mmr,0.4,0.48999999999999994,0.08999999999999991
recent_pool_query_topk,0.37,0.495,0.125
reservoir_recent_query_mmr,0.39,0.48999999999999994,0.09999999999999992
