split,task,policy,samples,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,total_state_bytes,persistent_vectors,online_bounded,mean_selection_seconds
calibration,action_sequence,diverse_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0022710360353812575
calibration,action_sequence,diverse_recent_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0024012880166992545
calibration,action_sequence,exact_recent,1,0,0.0,0.0,0.7934567085261071,12336,8,1,2.3678061552345753e-05
calibration,action_sequence,offline_full_query_mmr,1,0,0.0,0.0,0.7934567085261071,49296,32,0,0.002069114940240979
calibration,action_sequence,offline_uniform,1,0,0.0,0.0,0.7934567085261071,12336,8,0,2.2744061425328255e-05
calibration,action_sequence,recent_pool_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009210809366777539
calibration,action_sequence,recent_pool_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009422069415450096
calibration,action_sequence,reservoir_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.006241717026568949
calibration,moving_direction,diverse_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0022461729822680354
calibration,moving_direction,diverse_recent_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.002280703978613019
calibration,moving_direction,exact_recent,1,0,0.0,0.0,0.7934567085261071,12336,8,1,1.8057995475828648e-05
calibration,moving_direction,offline_full_query_mmr,1,0,0.0,0.0,0.7934567085261071,49296,32,0,0.00207728601526469
calibration,moving_direction,offline_uniform,1,0,0.0,0.0,0.7934567085261071,12336,8,0,2.0046019926667213e-05
calibration,moving_direction,recent_pool_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009396950481459498
calibration,moving_direction,recent_pool_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009486930212005973
calibration,moving_direction,reservoir_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0010596700012683868
calibration,object_existence,diverse_recent_query_mmr,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.002259282977320254
calibration,object_existence,diverse_recent_query_topk,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.0022639589151367545
calibration,object_existence,exact_recent,1,1,1.0,0.20654329147389294,1.0,12336,8,1,1.7279060557484627e-05
calibration,object_existence,offline_full_query_mmr,1,1,1.0,0.20654329147389294,1.0,49296,32,0,0.002082826104015112
calibration,object_existence,offline_uniform,1,1,1.0,0.20654329147389294,1.0,12336,8,0,2.088095061480999e-05
calibration,object_existence,recent_pool_query_mmr,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.0009312629699707031
calibration,object_existence,recent_pool_query_topk,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.0009405349846929312
calibration,object_existence,reservoir_recent_query_mmr,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.0010136279743164778
calibration,scene_transition,diverse_recent_query_mmr,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.002327817026525736
calibration,scene_transition,diverse_recent_query_topk,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.002258450025692582
calibration,scene_transition,exact_recent,1,1,1.0,0.20654329147389294,1.0,12336,8,1,1.6590929590165615e-05
calibration,scene_transition,offline_full_query_mmr,1,1,1.0,0.20654329147389294,1.0,49296,32,0,0.00206286006141454
calibration,scene_transition,offline_uniform,1,1,1.0,0.20654329147389294,1.0,12336,8,0,1.9693979993462563e-05
calibration,scene_transition,recent_pool_query_mmr,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.0009027480846270919
calibration,scene_transition,recent_pool_query_topk,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.0009487159550189972
calibration,scene_transition,reservoir_recent_query_mmr,1,1,1.0,0.20654329147389294,1.0,24656,16,1,0.0010574269108474255
calibration,state_change,diverse_recent_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0022522200597450137
calibration,state_change,diverse_recent_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.002252041012980044
calibration,state_change,exact_recent,1,0,0.0,0.0,0.7934567085261071,12336,8,1,1.6964972019195557e-05
calibration,state_change,offline_full_query_mmr,1,0,0.0,0.0,0.7934567085261071,49296,32,0,0.0020570060005411506
calibration,state_change,offline_uniform,1,0,0.0,0.0,0.7934567085261071,12336,8,0,1.9827974028885365e-05
calibration,state_change,recent_pool_query_mmr,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009398619877174497
calibration,state_change,recent_pool_query_topk,1,0,0.0,0.0,0.7934567085261071,24656,16,1,0.0009715220658108592
