task,selection_policy,memory_variant,samples,accuracy,full_accuracy,accuracy_delta_vs_full
action_sequence,learned_recent_query_topk,pca_r256_route_grid2_s4,40,0.475,0.475,0.0
action_sequence,learned_recent_query_topk,pca_r256_s0,40,0.45,0.475,-0.024999999999999967
moving_direction,learned_recent_query_topk,pca_r256_route_grid2_s4,40,0.4,0.4,0.0
moving_direction,learned_recent_query_topk,pca_r256_s0,40,0.4,0.4,0.0
object_existence,learned_recent_query_topk,pca_r256_route_grid2_s4,40,0.575,0.575,0.0
object_existence,learned_recent_query_topk,pca_r256_s0,40,0.575,0.575,0.0
scene_transition,learned_recent_query_topk,pca_r256_route_grid2_s4,40,0.675,0.675,0.0
scene_transition,learned_recent_query_topk,pca_r256_s0,40,0.675,0.675,0.0
state_change,learned_recent_query_topk,pca_r256_route_grid2_s4,40,0.425,0.425,0.0
state_change,learned_recent_query_topk,pca_r256_s0,40,0.4,0.425,-0.024999999999999967
