category,layer,method,fraction,count,energy_ratio_mean,energy_ratio_std,pixel_change_recall_mean,pixel_change_recall_std,gini_mean,gini_std
unlabeled,0,identity,0.05,21,0.27519182640424633,0.13259759690312137,0.23045565545565547,0.11472576423706421,0.5381402672719522,0.2031462342364386
unlabeled,0,identity,0.1,21,0.4052901157367716,0.18142722670381353,0.3725030260744547,0.18555587912860574,0.5381402672719522,0.2031462342364386
unlabeled,0,identity,0.2,21,0.6136864392551926,0.21663466712661228,0.618831697403126,0.2690725842454705,0.5381402672719522,0.2031462342364386
unlabeled,0,local_bccb_causal,0.05,18,0.26570219517674043,0.12817037423477695,0.2266478891478891,0.11969900099129378,0.5189080597458802,0.20084143787422762
unlabeled,0,local_bccb_causal,0.1,18,0.3904933372421666,0.1724691360219601,0.3741966366966367,0.18367039692605155,0.5189080597458802,0.20084143787422762
unlabeled,0,local_bccb_causal,0.2,18,0.5981235760447774,0.21092189769095449,0.6249185999185999,0.27189510839456843,0.5189080597458802,0.20084143787422762
unlabeled,0,local_bttb_causal,0.05,18,0.2662646961152822,0.12833368997854908,0.22237438487438485,0.1261666292935049,0.5197231135763316,0.20060724142721195
unlabeled,0,local_bttb_causal,0.1,18,0.3912059512307826,0.17254301531030972,0.3741966366966367,0.18367039692605155,0.5197231135763316,0.20060724142721195
unlabeled,0,local_bttb_causal,0.2,18,0.5990133840599294,0.21081709461449877,0.6249185999185999,0.27189510839456843,0.5197231135763316,0.20060724142721195
unlabeled,0,pixel_shift_zero,0.05,21,0.27519182640424633,0.13259759690312137,0.23045565545565547,0.11472576423706421,0.5381402672719522,0.2031462342364386
unlabeled,0,pixel_shift_zero,0.1,21,0.4052901157367716,0.18142722670381353,0.3725030260744547,0.18555587912860574,0.5381402672719522,0.2031462342364386
unlabeled,0,pixel_shift_zero,0.2,21,0.6136864392551926,0.21663466712661228,0.618831697403126,0.2690725842454705,0.5381402672719522,0.2031462342364386
unlabeled,16,identity,0.05,21,0.29993373799986633,0.13114133895688487,0.18626267911982197,0.11226078910107398,0.4977807969485066,0.1252609918512216
unlabeled,16,identity,0.1,21,0.3947290833271347,0.13772172987466946,0.3110558753415896,0.15052516635913168,0.4977807969485066,0.1252609918512216
unlabeled,16,identity,0.2,21,0.5556136036632165,0.12230982754708247,0.5165074343645772,0.18917351674073637,0.4977807969485066,0.1252609918512216
unlabeled,16,local_bccb_causal,0.05,18,0.29911552964931737,0.138111484871092,0.16867268533935198,0.11308641655641266,0.4742332986609415,0.1374164249760423
unlabeled,16,local_bccb_causal,0.1,18,0.38693807211952064,0.14233627174136151,0.3024241190907857,0.14411580550182174,0.4742332986609415,0.1374164249760423
unlabeled,16,local_bccb_causal,0.2,18,0.5393454871927241,0.12340829406515541,0.5119850828184161,0.19051955300055265,0.4742332986609415,0.1374164249760423
unlabeled,16,local_bttb_causal,0.05,18,0.29940517770069747,0.13781563642999342,0.17422824089490752,0.11202767127139288,0.47505841079951555,0.13665732012430024
