allocation_id,rank,residual_tokens_per_frame,task,variant,samples,paired_reduction
r384_s4,384,4,action_prediction,euclidean_r384_s4,4,0.0
r384_s4,384,4,egocentric_navigation,euclidean_r384_s4,4,0.0
r384_s4,384,4,fine_grained_pose,euclidean_r384_s4,4,0.0
r384_s4,384,4,moving_attribute,euclidean_r384_s4,4,0.0
r384_s4,384,4,object_interaction,euclidean_r384_s4,4,0.0
r384_s4,384,4,action_prediction,fisher_r384_s4,4,0.7561483141119727
r384_s4,384,4,egocentric_navigation,fisher_r384_s4,4,-0.28497663877677026
r384_s4,384,4,fine_grained_pose,fisher_r384_s4,4,0.7536963569489852
r384_s4,384,4,moving_attribute,fisher_r384_s4,4,-1.338262038739963
r384_s4,384,4,object_interaction,fisher_r384_s4,4,-0.6864760198058144
r384_s4,384,4,action_prediction,mixed_r384_s4,4,0.7392764233461651
r384_s4,384,4,egocentric_navigation,mixed_r384_s4,4,0.16239131885616098
r384_s4,384,4,fine_grained_pose,mixed_r384_s4,4,0.7205112867778141
r384_s4,384,4,moving_attribute,mixed_r384_s4,4,-0.21293238335093534
r384_s4,384,4,object_interaction,mixed_r384_s4,4,-1.5947701582444527
r402_s3,402,3,action_prediction,euclidean_r402_s3,4,0.0
r402_s3,402,3,egocentric_navigation,euclidean_r402_s3,4,0.0
r402_s3,402,3,fine_grained_pose,euclidean_r402_s3,4,0.0
r402_s3,402,3,moving_attribute,euclidean_r402_s3,4,0.0
r402_s3,402,3,object_interaction,euclidean_r402_s3,4,0.0
r402_s3,402,3,action_prediction,fisher_r402_s3,4,0.9269789428970482
r402_s3,402,3,egocentric_navigation,fisher_r402_s3,4,-1.0050677031012802
r402_s3,402,3,fine_grained_pose,fisher_r402_s3,4,0.41564391399398526
r402_s3,402,3,moving_attribute,fisher_r402_s3,4,0.003552127535986216
r402_s3,402,3,object_interaction,fisher_r402_s3,4,-0.2774535631644033
r402_s3,402,3,action_prediction,mixed_r402_s3,4,0.9274124250353557
r402_s3,402,3,egocentric_navigation,mixed_r402_s3,4,-4.529654553565671
r402_s3,402,3,fine_grained_pose,mixed_r402_s3,4,0.4224177104173945
r402_s3,402,3,moving_attribute,mixed_r402_s3,4,-0.0901156277399886
r402_s3,402,3,object_interaction,mixed_r402_s3,4,-1.3017379314074127
r420_s2,420,2,action_prediction,euclidean_r420_s2,4,0.0
r420_s2,420,2,egocentric_navigation,euclidean_r420_s2,4,0.0
r420_s2,420,2,fine_grained_pose,euclidean_r420_s2,4,0.0
r420_s2,420,2,moving_attribute,euclidean_r420_s2,4,0.0
r420_s2,420,2,object_interaction,euclidean_r420_s2,4,0.0
r420_s2,420,2,action_prediction,fisher_r420_s2,4,0.6426468610965396
r420_s2,420,2,egocentric_navigation,fisher_r420_s2,4,0.1902348821536075
r420_s2,420,2,fine_grained_pose,fisher_r420_s2,4,0.32785420113167296
r420_s2,420,2,moving_attribute,fisher_r420_s2,4,0.1801086971475533
r420_s2,420,2,object_interaction,fisher_r420_s2,4,-0.5915559899958953
r420_s2,420,2,action_prediction,mixed_r420_s2,4,0.630238960823598
r420_s2,420,2,egocentric_navigation,mixed_r420_s2,4,0.2398382522952287
r420_s2,420,2,fine_grained_pose,mixed_r420_s2,4,0.32785420113167296
r420_s2,420,2,moving_attribute,mixed_r420_s2,4,0.16087730565249336
r420_s2,420,2,object_interaction,mixed_r420_s2,4,-0.9073952417284312
r438_s1,438,1,action_prediction,euclidean_r438_s1,4,0.0
r438_s1,438,1,egocentric_navigation,euclidean_r438_s1,4,0.0
r438_s1,438,1,fine_grained_pose,euclidean_r438_s1,4,0.0
r438_s1,438,1,moving_attribute,euclidean_r438_s1,4,0.0
r438_s1,438,1,object_interaction,euclidean_r438_s1,4,0.0
r438_s1,438,1,action_prediction,fisher_r438_s1,4,0.05052492311763124
r438_s1,438,1,egocentric_navigation,fisher_r438_s1,4,-5.680876582189143
r438_s1,438,1,fine_grained_pose,fisher_r438_s1,4,0.4183953493760638
r438_s1,438,1,moving_attribute,fisher_r438_s1,4,0.08505289815802464
r438_s1,438,1,object_interaction,fisher_r438_s1,4,0.006647422289887461
r438_s1,438,1,action_prediction,mixed_r438_s1,4,0.05052492311763124
r438_s1,438,1,egocentric_navigation,mixed_r438_s1,4,-15.778311839815387
r438_s1,438,1,fine_grained_pose,mixed_r438_s1,4,0.4183953493760638
r438_s1,438,1,moving_attribute,mixed_r438_s1,4,0.08500265011968111
r438_s1,438,1,object_interaction,mixed_r438_s1,4,-0.05103021944119712
r456_s0,456,0,action_prediction,euclidean_r456_s0,4,0.0
r456_s0,456,0,egocentric_navigation,euclidean_r456_s0,4,0.0
r456_s0,456,0,fine_grained_pose,euclidean_r456_s0,4,0.0
r456_s0,456,0,moving_attribute,euclidean_r456_s0,4,0.0
r456_s0,456,0,object_interaction,euclidean_r456_s0,4,0.0
