left,right,sample_size,replicate,overlap,minimum_squared_cosine,median_squared_cosine
source,target,full,-1,0.8618164658546448,0.00013829479576088488,0.9647665619850159
source,target,20,0,0.7840091586112976,2.6728773718787124e-06,0.9185497760772705
source,target,20,1,0.7778409719467163,1.9382647224119864e-05,0.9124954342842102
source,target,20,2,0.794226884841919,5.648371370625682e-07,0.9246946573257446
source,target,20,3,0.7863112092018127,3.5749639209825546e-05,0.9201921820640564
source,target,20,4,0.7888410091400146,1.871663067587459e-11,0.9227489829063416
source,target,20,5,0.7841988205909729,9.104776836466044e-06,0.9167587161064148
source,target,20,6,0.7948221564292908,9.361814591102302e-06,0.9267554879188538
source,target,20,7,0.7647444605827332,7.517370249843225e-05,0.9031555652618408
source,target,60,0,0.8286558389663696,2.4413986920990283e-06,0.9483199715614319
source,target,60,1,0.8319374918937683,1.2391547898005228e-05,0.9491820335388184
source,target,60,2,0.8238717317581177,3.5926881537307054e-05,0.9447510838508606
source,target,60,3,0.8231365084648132,1.9548308500816347e-06,0.9444531202316284
source,target,60,4,0.8250415325164795,0.00010883741197176278,0.9462880492210388
source,target,60,5,0.8253240585327148,1.6622263501631096e-05,0.9450391530990601
source,target,60,6,0.8359242081642151,0.0001317090936936438,0.9508076310157776
source,target,60,7,0.8211022615432739,6.241536175366491e-05,0.9437324404716492
source,target,120,0,0.8442308902740479,0.0003026336198672652,0.9564539194107056
source,target,120,1,0.8479260802268982,2.10527809940686e-06,0.9576956033706665
source,target,120,2,0.8455647230148315,0.00015448311751242727,0.9579505920410156
source,target,120,3,0.8392878770828247,0.00010615539940772578,0.9539720416069031
source,target,120,4,0.8411930799484253,5.523212894331664e-05,0.9545427560806274
source,target,120,5,0.8426393270492554,0.0003631261643022299,0.9559324979782104
source,target,120,6,0.8400929570198059,9.637660696171224e-05,0.9539384841918945
source,target,120,7,0.8443446755409241,1.4692912372993305e-05,0.9564729928970337
source,vsi,full,-1,0.8499259352684021,9.689977559901308e-06,0.9585098028182983
source,vsi,20,0,0.7827004790306091,6.93425681674853e-05,0.9159166812896729
source,vsi,20,1,0.7814119458198547,4.193373752059415e-05,0.9141042828559875
source,vsi,20,2,0.7958661913871765,0.000425926671596244,0.9259211421012878
source,vsi,20,3,0.785753071308136,6.660585495410487e-05,0.9193457365036011
source,vsi,20,4,0.7782661318778992,3.762496999115683e-05,0.9121209383010864
source,vsi,20,5,0.7830778360366821,0.0003952758270315826,0.9154565334320068
source,vsi,20,6,0.7902584671974182,0.00010193765047006309,0.923054039478302
source,vsi,20,7,0.7786669135093689,8.078971518443723e-07,0.9114624261856079
source,vsi,60,0,0.8280318379402161,9.71061090240255e-05,0.9472957849502563
source,vsi,60,1,0.8200069665908813,0.000197219880647026,0.9431331157684326
source,vsi,60,2,0.8205358982086182,6.960402970435098e-06,0.9423198699951172
source,vsi,60,3,0.8106890320777893,5.0369104428682476e-05,0.9363957643508911
source,vsi,60,4,0.8114751577377319,1.6223151760641485e-05,0.9365322589874268
source,vsi,60,5,0.8186644911766052,4.3598793126875535e-05,0.9411697387695312
source,vsi,60,6,0.825988233089447,5.319493720890023e-05,0.9454740285873413
source,vsi,60,7,0.8156434297561646,1.2528786101029254e-05,0.9381895065307617
source,vsi,120,0,0.835173487663269,0.0005168557399883866,0.950197696685791
source,vsi,120,1,0.8370954394340515,3.2591829949524254e-05,0.9513041973114014
source,vsi,120,2,0.8367830514907837,2.435567330394406e-05,0.9521146416664124
source,vsi,120,3,0.8315190076828003,3.881737939082086e-06,0.9483187198638916
source,vsi,120,4,0.8354545831680298,5.61281467525987e-07,0.9516506791114807
source,vsi,120,5,0.8368690609931946,3.0358360163518228e-05,0.9521166086196899
source,vsi,120,6,0.8346354961395264,2.9451998670992907e-06,0.94916170835495
source,vsi,120,7,0.8392271995544434,5.6209926697192714e-05,0.9525428414344788
target,vsi,full,-1,0.8503823280334473,0.00019785271433647722,0.9567429423332214
target,vsi,20,0,0.8041517734527588,2.6061799871968105e-05,0.9306391477584839
target,vsi,20,1,0.7942209839820862,0.00015129345410969108,0.9230541586875916
target,vsi,20,2,0.8007221817970276,5.9729420172516257e-05,0.9276782870292664
target,vsi,20,3,0.8014397025108337,0.00019252979836892337,0.92807936668396
target,vsi,20,4,0.8033704161643982,0.0001479399943491444,0.9310348033905029
target,vsi,20,5,0.7992896437644958,7.007308158790693e-05,0.9268710613250732
target,vsi,20,6,0.8012375235557556,0.00012625931412912905,0.9278297424316406
target,vsi,20,7,0.7941977381706238,0.00012162985512986779,0.9242345690727234
target,vsi,60,0,0.8294652104377747,0.00037112084100954235,0.9456139206886292
target,vsi,60,1,0.8293940424919128,4.535232073976658e-05,0.9457883238792419
target,vsi,60,2,0.8285183310508728,0.00025698341778479517,0.9455005526542664
target,vsi,60,3,0.8322614431381226,2.1553274564212188e-05,0.9480010271072388
target,vsi,60,4,0.8277528882026672,6.951784598641098e-05,0.945264458656311
target,vsi,60,5,0.8346083760261536,6.389107875293121e-05,0.948085367679596
target,vsi,60,6,0.8357783555984497,5.514446093002334e-05,0.9491331577301025
target,vsi,60,7,0.8251005411148071,2.3092970877769403e-05,0.9435092806816101
target,vsi,120,0,0.8407048583030701,1.2771498404617887e-05,0.9518646597862244
target,vsi,120,1,0.8411833047866821,9.668648999650031e-06,0.9513342976570129
target,vsi,120,2,0.8407567143440247,0.00014572094369214028,0.9524766802787781
target,vsi,120,3,0.835983395576477,7.90362901170738e-05,0.9491406679153442
target,vsi,120,4,0.8339643478393555,0.0001898207701742649,0.9491567015647888
target,vsi,120,5,0.8385856747627258,0.00014137123071122915,0.9511345624923706
target,vsi,120,6,0.8380014896392822,1.5543419067398645e-05,0.9508727192878723
target,vsi,120,7,0.8406850099563599,7.351525709964335e-05,0.952235758304596
