sample_id,frame_index,source_frame_index,candidate_kl,residual_energy
vsi_question_1320,0,165,0.020635642111301422,167.0122528076172
vsi_question_1320,1,386,0.020635642111301422,112.27133178710938
vsi_question_1320,2,606,0.03301529586315155,137.9210205078125
vsi_question_1320,3,827,0.020635642111301422,151.8469696044922
vsi_question_1320,4,1047,0.09023812413215637,165.32676696777344
vsi_question_1320,5,1268,0.011327195912599564,131.51649475097656
vsi_question_1320,6,1489,0.04863852262496948,149.04022216796875
vsi_question_1320,7,1709,0.020635642111301422,109.21686553955078
vsi_question_3068,0,289,0.009557116776704788,158.38792419433594
vsi_question_3068,1,675,0.019409451633691788,154.61614990234375
vsi_question_3068,2,1062,0.012371818535029888,155.81983947753906
vsi_question_3068,3,1448,0.10807894170284271,152.146728515625
vsi_question_3068,4,1834,0.24811512231826782,140.80711364746094
vsi_question_3068,5,2220,0.07165499031543732,119.15058135986328
vsi_question_3068,6,2607,0.025947032496333122,146.55909729003906
vsi_question_3068,7,2993,0.03574153780937195,154.63900756835938
vsi_question_1585,0,667,0.004848651587963104,134.51986694335938
vsi_question_1585,1,1558,0.046693164855241776,140.6483917236328
vsi_question_1585,2,2448,0.02248585782945156,136.50149536132812
vsi_question_1585,3,3339,0.03275769576430321,149.5924072265625
vsi_question_1585,4,4229,0.033019471913576126,141.1482391357422
vsi_question_1585,5,5120,0.01526019349694252,165.0117645263672
vsi_question_1585,6,6010,0.012034274637699127,155.90081787109375
vsi_question_1585,7,6901,0.033019471913576126,142.31417846679688
vsi_question_3110,0,286,0.24391795694828033,145.12924194335938
vsi_question_3110,1,667,0.1699886918067932,154.27792358398438
vsi_question_3110,2,1049,0.03583497554063797,158.25253295898438
vsi_question_3110,3,1430,0.026573732495307922,160.29835510253906
vsi_question_3110,4,1812,0.00200712401419878,143.1580047607422
vsi_question_3110,5,2193,0.04345876723527908,151.16481018066406
vsi_question_3110,6,2575,0.088887520134449,157.0702667236328
vsi_question_3110,7,2956,0.06752724945545197,163.224609375
vsi_question_1360,0,384,0.44381582736968994,130.97865295410156
vsi_question_1360,1,896,0.6522088050842285,146.55455017089844
vsi_question_1360,2,1409,0.030289288610219955,162.26553344726562
vsi_question_1360,3,1921,0.08307688683271408,160.0550079345703
vsi_question_1360,4,2433,0.3992379307746887,161.63897705078125
vsi_question_1360,5,2946,0.6386322379112244,142.2626495361328
vsi_question_1360,6,3458,0.5109899640083313,124.66614532470703
vsi_question_1360,7,3970,0.4136716425418854,173.892822265625
vsi_question_1529,0,258,0.00040928012458607554,150.2635040283203
vsi_question_1529,1,603,0.0010524392127990723,124.51976776123047
vsi_question_1529,2,948,0.0026579126715660095,123.63920593261719
vsi_question_1529,3,1293,0.008951118215918541,136.95822143554688
vsi_question_1529,4,1638,0.0050153229385614395,139.49705505371094
vsi_question_1529,5,1983,0.01109282672405243,134.78045654296875
vsi_question_1529,6,2327,0.01191641017794609,160.9253692626953
vsi_question_1529,7,2672,0.005049958825111389,148.9289093017578
vsi_question_1128,0,237,0.005716446787118912,149.98736572265625
vsi_question_1128,1,553,0.014183219522237778,139.81239318847656
vsi_question_1128,2,869,0.14420932531356812,143.02198791503906
vsi_question_1128,3,1185,0.0711679607629776,115.49249267578125
vsi_question_1128,4,1501,0.0641312301158905,118.83113098144531
vsi_question_1128,5,1817,0.07119859755039215,162.08114624023438
vsi_question_1128,6,2133,0.07119859755039215,157.0830841064453
vsi_question_1128,7,2449,0.07119859755039215,153.78433227539062
vsi_question_5059,0,204,0.0019447123631834984,147.21401977539062
vsi_question_5059,1,477,0.005154706537723541,135.51199340820312
vsi_question_5059,2,750,0.003843114245682955,152.11228942871094
vsi_question_5059,3,1022,0.0067478083074092865,144.86618041992188
vsi_question_5059,4,1295,0.0017880173400044441,149.49913024902344
vsi_question_5059,5,1568,0.0012411493808031082,146.75209045410156
vsi_question_5059,6,1841,0.0019447123631834984,146.82728576660156
vsi_question_5059,7,2113,0.0067478083074092865,150.01307678222656
vsi_question_1344,0,1088,0.35790586471557617,150.5347900390625
vsi_question_1344,1,2540,0.32319748401641846,145.43946838378906
vsi_question_1344,2,3992,0.48789480328559875,129.1916046142578
vsi_question_1344,3,5444,0.42391714453697205,154.2554168701172
vsi_question_1344,4,6895,0.4540567100048065,182.3382110595703
vsi_question_1344,5,8347,0.7488629817962646,160.67991638183594
vsi_question_1344,6,9799,0.6869185566902161,163.88665771484375
vsi_question_1344,7,11251,0.6869185566902161,147.93020629882812
vsi_question_3758,0,277,0.0017269998788833618,143.6735076904297
vsi_question_3758,1,647,0.014587096869945526,131.46958923339844
vsi_question_3758,2,1016,0.0016762465238571167,145.78604125976562
vsi_question_3758,3,1386,0.0,153.5843505859375
vsi_question_3758,4,1756,0.0016762465238571167,127.79867553710938
vsi_question_3758,5,2126,0.006596077233552933,138.29347229003906
vsi_question_3758,6,2495,0.006596077233552933,137.82301330566406
vsi_question_3758,7,2865,0.014587096869945526,140.22662353515625
vsi_question_5018,0,198,0.0009881742298603058,148.08448791503906
vsi_question_5018,1,463,0.0019424259662628174,135.34999084472656
vsi_question_5018,2,727,0.0,146.98175048828125
vsi_question_5018,3,992,0.0012700092047452927,140.45008850097656
vsi_question_5018,4,1256,0.0,112.92803955078125
vsi_question_5018,5,1521,0.0012700092047452927,130.2057647705078
vsi_question_5018,6,1786,0.0,162.46212768554688
vsi_question_5018,7,2050,0.0,162.7659912109375
vsi_question_2109,0,718,0.04101618006825447,173.2942352294922
vsi_question_2109,1,1676,0.044881805777549744,162.89952087402344
vsi_question_2109,2,2633,0.011061929166316986,158.37538146972656
vsi_question_2109,3,3591,0.013714466243982315,153.36322021484375
vsi_question_2109,4,4549,0.021730653941631317,161.21896362304688
vsi_question_2109,5,5507,0.021730653941631317,156.6929931640625
vsi_question_2109,6,6464,0.021755725145339966,146.7079315185547
vsi_question_2109,7,7422,0.013958491384983063,161.59783935546875
vsi_question_5079,0,79,0.0074727702885866165,141.7311248779297
vsi_question_5079,1,185,0.023356163874268532,139.56321716308594
vsi_question_5079,2,291,0.011454446241259575,149.3665008544922
vsi_question_5079,3,397,0.017535151913762093,136.13284301757812
vsi_question_5079,4,502,0.016703909263014793,137.22476196289062
vsi_question_5079,5,608,0.011454446241259575,149.14901733398438
vsi_question_5079,6,714,0.01960187777876854,146.72537231445312
vsi_question_5079,7,820,0.016703909263014793,131.03897094726562
vsi_question_2988,0,312,0.2920001149177551,159.07643127441406
vsi_question_2988,1,728,0.4150833487510681,153.0601043701172
vsi_question_2988,2,1144,0.22175870835781097,151.1929931640625
vsi_question_2988,3,1560,0.22320672869682312,163.9759979248047
vsi_question_2988,4,1976,0.46912112832069397,158.6914520263672
vsi_question_2988,5,2392,0.4692547619342804,160.30416870117188
vsi_question_2988,6,2808,0.1773117482662201,143.6666259765625
vsi_question_2988,7,3224,0.10214036703109741,139.88978576660156
vsi_question_966,0,271,0.013782981783151627,115.58817291259766
vsi_question_966,1,632,0.013407384976744652,146.1667938232422
vsi_question_966,2,993,0.01573149301111698,150.90933227539062
vsi_question_966,3,1355,0.02812713384628296,165.909912109375
vsi_question_966,4,1716,0.05500005930662155,160.39776611328125
vsi_question_966,5,2077,0.04188420996069908,139.8314208984375
vsi_question_966,6,2439,0.04188420996069908,171.2821807861328
vsi_question_966,7,2800,0.067512646317482,153.80599975585938
vsi_question_3032,0,363,0.10003470629453659,155.7917938232422
vsi_question_3032,1,848,0.057318270206451416,158.03555297851562
vsi_question_3032,2,1333,0.04067877680063248,167.10714721679688
vsi_question_3032,3,1818,0.02566460520029068,150.45481872558594
vsi_question_3032,4,2303,0.01058952510356903,143.99081420898438
vsi_question_3032,5,2788,0.057044096291065216,152.30970764160156
vsi_question_3032,6,3272,0.031021907925605774,147.92706298828125
vsi_question_3032,7,3757,0.04647380858659744,147.685546875
vsi_question_1490,0,102,0.09491714835166931,131.66261291503906
vsi_question_1490,1,239,0.0867512971162796,182.59617614746094
vsi_question_1490,2,376,0.14712612330913544,143.96139526367188
vsi_question_1490,3,512,0.12413063645362854,126.84915161132812
vsi_question_1490,4,649,0.12825196981430054,145.19204711914062
vsi_question_1490,5,786,0.15612143278121948,137.93605041503906
vsi_question_1490,6,923,0.13111962378025055,134.2581329345703
vsi_question_1490,7,1059,0.12239031493663788,148.7429656982422
vsi_question_2459,0,358,0.007802344858646393,139.60568237304688
vsi_question_2459,1,836,0.017543934285640717,142.57472229003906
vsi_question_2459,2,1315,0.048483848571777344,161.5495147705078
vsi_question_2459,3,1793,0.06950871646404266,143.0836181640625
vsi_question_2459,4,2271,0.09408022463321686,156.56582641601562
vsi_question_2459,5,2749,0.048483848571777344,137.7967529296875
vsi_question_2459,6,3228,0.048483848571777344,115.7703628540039
vsi_question_2459,7,3706,0.03112895041704178,139.5403289794922
vsi_question_5148,0,276,0.0,140.31768798828125
vsi_question_5148,1,645,0.0017445031553506851,138.91180419921875
vsi_question_5148,2,1014,0.003536812961101532,132.00027465820312
vsi_question_5148,3,1383,0.0,144.0056915283203
vsi_question_5148,4,1752,0.002401355654001236,112.06292724609375
vsi_question_5148,5,2121,0.0019526295363903046,124.29405212402344
vsi_question_5148,6,2489,0.000993366353213787,131.69775390625
vsi_question_5148,7,2858,0.0019526295363903046,128.96165466308594
vsi_question_3007,0,422,0.26203468441963196,145.17723083496094
vsi_question_3007,1,985,0.5316781997680664,163.89187622070312
vsi_question_3007,2,1547,0.11437583714723587,146.9633331298828
vsi_question_3007,3,2110,0.6678947806358337,148.0314178466797
vsi_question_3007,4,2673,0.3263556659221649,155.003173828125
vsi_question_3007,5,3236,0.5108915567398071,154.51400756835938
vsi_question_3007,6,3799,0.2961996793746948,125.20797729492188
vsi_question_3007,7,4362,0.34025803208351135,148.44808959960938
vsi_question_5092,0,455,0.007148619741201401,154.0360107421875
vsi_question_5092,1,1062,0.007801126688718796,161.5824432373047
vsi_question_5092,2,1668,0.007148619741201401,173.95590209960938
vsi_question_5092,3,2275,0.00757082924246788,156.97792053222656
vsi_question_5092,4,2882,0.007148619741201401,145.88427734375
vsi_question_5092,5,3489,0.007801126688718796,165.01019287109375
vsi_question_5092,6,4096,0.01688871532678604,147.11465454101562
vsi_question_5092,7,4703,0.007801126688718796,164.13958740234375
vsi_question_5006,0,102,0.010405585169792175,142.42437744140625
vsi_question_5006,1,239,0.026439979672431946,143.43035888671875
vsi_question_5006,2,376,0.02144070528447628,142.5569305419922
vsi_question_5006,3,513,0.007671600207686424,152.62411499023438
vsi_question_5006,4,650,0.014897666871547699,126.26171112060547
vsi_question_5006,5,787,0.014897666871547699,130.5509490966797
vsi_question_5006,6,924,0.014897666871547699,135.1934356689453
vsi_question_5006,7,1061,0.014897666871547699,129.09628295898438
vsi_question_2008,0,615,0.7122503519058228,147.28662109375
vsi_question_2008,1,1436,0.29437005519866943,148.3988037109375
