task,variant,samples,candidate_kl_sum,euclidean_candidate_kl_sum,aggregate_reduction
action_prediction,pca_only,4,0.0027743593091145158,0.004400977180921473,0.3696037959157009
action_prediction,fisher_s4,4,0.0026996522792614996,0.004400977180921473,0.38657889639494813
action_prediction,mixed_s4,4,0.0009804810397326946,0.004400977180921473,0.7772128780891787
egocentric_navigation,pca_only,4,0.001717443810775876,0.0008873003534972668,-0.9355833726501117
egocentric_navigation,fisher_s4,4,0.0021482515148818493,0.0008873003534972668,-1.4211097250379567
egocentric_navigation,mixed_s4,4,0.002995369490236044,0.0008873003534972668,-2.375823618721539
fine_grained_pose,pca_only,4,0.09629622485954314,0.07363318465650082,-0.3077829691702936
fine_grained_pose,fisher_s4,4,0.03372768219560385,0.07363318465650082,0.541949973331404
fine_grained_pose,mixed_s4,4,0.023856655228883028,0.07363318465650082,0.6760067442393746
moving_attribute,pca_only,4,0.0032996998488670215,0.002879177435715974,-0.1460564423486026
moving_attribute,fisher_s4,4,0.004331331540015526,0.002879177435715974,-0.5043642278817877
moving_attribute,mixed_s4,4,0.0037981432622018474,0.002879177435715974,-0.3191765172532173
object_interaction,pca_only,4,0.019452943290161784,0.01515407705664984,-0.2836772056418664
object_interaction,fisher_s4,4,0.01115833199401095,0.01515407705664984,0.263674590521202
object_interaction,mixed_s4,4,0.012635491327273485,0.01515407705664984,0.1661985563331395
