layer,nominal_budget_bps,method,codec,selected_fraction,nominal_bps,payload_bps,effective_bps,mean_cosine,p05_cosine,nmse,index_entropy_bps
15,0.5,raw_pq,pq_0p5b_k16_d8,1.0,0.5,0.5,0.50078125,0.6483125669945504,0.5854536540975213,0.5835181610857749,0.46654821653389783
15,0.5,residual_pq,pq_0p5b_k16_d8,1.0,0.5,0.7197265625,0.7205078125,0.7703838052926223,0.4146914355029801,0.4302654323389972,0.31518200782266764
15,1.0,raw_pq,pq_1b_k16_d4,1.0,1.0,1.0,1.000390625,0.7539934994379797,0.6507383499399227,0.4360919200442485,0.9256991459536266
15,1.0,residual_pq,pq_1p5b_k64_d4,0.5,1.0,1.1884765625,1.1900390625,0.8990294322125608,0.6667990839462452,0.19259601679634514,0.9002099457358248
15,1.58,raw_pq,pq_1p5b_k64_d4,1.0,1.5,1.5,1.5015625,0.9044891677094222,0.8762845272875265,0.18599633772885055,1.430013550112724
15,1.58,residual_pq,pq_1p5b_k64_d4,1.0,1.5,1.6572265625,1.6587890625,0.936732996471876,0.7783158549364899,0.12432205316718155,1.218654635185019
15,2.0,raw_pq,pq_2b_k256_d4,1.0,2.0,2.0,2.00625,0.9463611596225527,0.926927074479438,0.10928875556277579,1.9669510781812947
15,2.0,residual_pq,pq_2b_k256_d4,1.0,2.0,2.1259765625,2.1322265625,0.9648146449832519,0.8596088759020855,0.07002599252542602,1.811074311173511
15,2.0,scalar_quant,int2,1.0,2.0,2.015625,2.015625,0.5341247535431621,0.3712720557420291,0.7084002109898098,nan
15,4.0,raw_pq,pq_4b_k256_d2,1.0,4.0,4.0,4.003125,0.9834935266559534,0.96268941484698,0.03806705769773842,3.9562544021624753
15,4.0,residual_pq,pq_2b_k256_d4,1.0,2.0,2.1259765625,2.1322265625,0.9648146449832519,0.8596088759020855,0.07002599252542602,1.811074311173511
15,4.0,scalar_quant,int4,1.0,4.0,4.015625,4.015625,0.9037523919825189,0.8032895068472652,0.20377203960372936,nan
22,0.5,raw_pq,pq_0p5b_k16_d8,1.0,0.5,0.5,0.50078125,0.610539637769236,0.5478853872491892,0.62658771711127,0.4804143615151851
22,0.5,residual_pq,pq_0p5b_k16_d8,1.0,0.5,0.7197265625,0.7205078125,0.7389981694214874,0.21200586856665732,0.4842009106937027,0.2944870909308694
22,1.0,raw_pq,pq_1b_k16_d4,1.0,1.0,1.0,1.000390625,0.7808055943173808,0.7262426430504387,0.39081031194563076,0.9594239696417695
22,1.0,residual_pq,pq_1p5b_k64_d4,0.5,1.0,1.1884765625,1.1900390625,0.8763065589951922,0.5170920256827406,0.225204016237754,0.9260012888344908
22,1.58,raw_pq,pq_1p5b_k64_d4,1.0,1.5,1.5,1.5015625,0.884547314244584,0.8165279121852748,0.21617051989012492,1.4603733689413327
22,1.58,residual_pq,pq_1p5b_k64_d4,1.0,1.5,1.6572265625,1.6587890625,0.9240637199034468,0.6823244539425833,0.14065655004321653,1.2917706355899594
22,2.0,raw_pq,pq_2b_k256_d4,1.0,2.0,2.0,2.00625,0.946735308747558,0.9371863826847243,0.10541290605584716,1.9627757065318026
22,2.0,residual_pq,pq_2b_k256_d4,1.0,2.0,2.1259765625,2.1322265625,0.9592854725533162,0.8153772763680366,0.07793126666631722,1.8473272571270942
22,2.0,scalar_quant,int2,1.0,2.0,2.015625,2.015625,0.3783429317102132,0.25537033202553594,0.8613492099274536,nan
22,4.0,raw_pq,pq_4b_k256_d2,1.0,4.0,4.0,4.003125,0.9887008801907928,0.9714837511099752,0.0244250442470764,3.9660096448183375
22,4.0,residual_pq,pq_4b_k256_d2,1.0,4.0,4.0009765625,4.0041015625,0.9868311360802984,0.9339150066903112,0.026572461962619226,3.7537257643962967
22,4.0,scalar_quant,int4,1.0,4.0,4.015625,4.015625,0.9368307996028639,0.8026632969170799,0.1343891958144372,nan
