layer,split,method,codec,predictor,selected_fraction,index_bits,group_dim,nominal_bps,codebook_static_bits,codebook_sha256,mse,nmse,mean_cosine,p05_cosine,payload_bits,metadata_bits,payload_bps,effective_bps,index_entropy,index_entropy_bps,residual_top10_energy
15,val,raw_pq,pq_0p5b_k16_d8,,1.0,4,8,0.5,2048,3bd0bb6abab8a6608bc6cf81eac3b5954c1a8c1da00f981470911da9b13b6611,0.0005674199476155696,0.581038027851648,0.6503346299092768,0.5901543813403678,655360.0,0.0,0.5,0.5015625,3.74988828773544,0.46873603596693,0.11348710662750344
15,val,residual_pq,pq_0p5b_k16_d8,ema_050,0.25,4,8,0.25,2048,0f7b93c97f83d6bfb569a48cba521ae564b2c13d572623b3ee92e3552b452120,0.0006295664952280001,0.6446760927703309,0.6628286038616337,0.21536207703369917,481280.0,154880.0,0.4853515625,0.4869140625,3.4328990607493517,0.23227809564841723,0.2257905713568066
15,val,residual_pq,pq_0p5b_k16_d8,ema_050,0.5,4,8,0.375,2048,0f7b93c97f83d6bfb569a48cba521ae564b2c13d572623b3ee92e3552b452120,0.0005146806084398582,0.527032944396923,0.7188898194327491,0.31455361318939734,634880.0,154880.0,0.6025390625,0.6041015625,3.269239284039532,0.32932745525247076,0.23497354546223193
15,val,residual_pq,pq_0p5b_k16_d8,ema_050,1.0,4,8,0.5,2048,0f7b93c97f83d6bfb569a48cba521ae564b2c13d572623b3ee92e3552b452120,0.0004272473200735064,0.4375012568796767,0.7692237468215506,0.4167666690507212,942080.0,1280.0,0.7197265625,0.7212890625,2.90736675260915,0.3634208440761437,0.2438702989935665
15,test,raw_pq,pq_0p5b_k16_d8,,1.0,4,8,0.5,2048,3bd0bb6abab8a6608bc6cf81eac3b5954c1a8c1da00f981470911da9b13b6611,0.0005698419538591106,0.5835181610857749,0.6483125669945504,0.5854536540975213,1310720.0,0.0,0.5,0.50078125,3.7323857322711826,0.46654821653389783,0.1136310630297164
15,test,residual_pq,pq_0p5b_k16_d8,ema_050,0.25,4,8,0.25,2048,0f7b93c97f83d6bfb569a48cba521ae564b2c13d572623b3ee92e3552b452120,0.0006204442178093041,0.6353348794004364,0.6640456736287443,0.21566796960531315,962560.0,309760.0,0.4853515625,0.4861328125,3.0278051195594244,0.219618909986232,0.2360644622147706
15,test,residual_pq,pq_0p5b_k16_d8,ema_050,0.5,4,8,0.375,2048,0f7b93c97f83d6bfb569a48cba521ae564b2c13d572623b3ee92e3552b452120,0.0005075084012308404,0.5196886031578858,0.7196029580679226,0.3058427344430641,1269760.0,309760.0,0.6025390625,0.6033203125,2.8556252811405023,0.3034765800712814,0.24715918408074009
15,test,residual_pq,pq_0p5b_k16_d8,ema_050,1.0,4,8,0.5,2048,0f7b93c97f83d6bfb569a48cba521ae564b2c13d572623b3ee92e3552b452120,0.00042018108602801164,0.4302654323389972,0.7703838052926223,0.4146914355029801,1884160.0,2560.0,0.7197265625,0.7205078125,2.521456062581341,0.31518200782266764,0.25588601656930327
15,val,raw_pq,pq_1b_k16_d4,,1.0,4,4,1.0,1024,b216aac539140cbc28d0a0b282620575e1866c3183c14d0b921689967a0aee76,0.00041720927918197873,0.4272223029803348,0.7585462102230995,0.6449703675307602,1310720.0,0.0,1.0,1.00078125,3.7221912217012116,0.9305478054253029,0.14401476200902483
15,val,residual_pq,pq_1b_k16_d4,ema_050,0.25,4,4,0.5,1024,53cdd24e39047b61bd6a3bb3a1e88a0a2ddc077b447224f9c46fbf24f3491644,0.0004896647028118313,0.5014166569679881,0.7160216599428917,0.19553847360944968,634880.0,308480.0,0.7197265625,0.7205078125,3.655305693480905,0.47845660584255656,0.27870307558921703
