layer,budget_bps,controller,predictor,innovation_codec,innovation_fraction,quality_cosine,test_samples,accuracy,balanced_accuracy,controller_static_bits,tree_nodes,tree_depth
22,0.5,threshold,ema_075,pq_0p5b_k16_d8,1.0,0.95,150,0.7533333333333333,0.3729508196721312,56,,
22,0.5,decision_tree,ema_075,pq_0p5b_k16_d8,1.0,0.95,150,0.7733333333333333,0.38524590163934425,65,7,2
22,1.0,threshold,ema_075,pq_1p5b_k64_d4,0.5,0.95,150,0.6333333333333333,0.4162200504413619,56,,
22,1.0,decision_tree,ema_075,pq_1p5b_k64_d4,0.5,0.95,150,0.72,0.553515132408575,86,9,3
22,1.58,threshold,ema_075,pq_2b_k256_d4,0.5,0.95,150,0.5866666666666667,0.43233779285220775,56,,
22,1.58,decision_tree,ema_075,pq_2b_k256_d4,0.5,0.95,150,0.6666666666666666,0.5230172937210812,65,7,2
22,2.0,threshold,ema_075,pq_2b_k256_d4,1.0,0.95,150,0.6066666666666667,0.48058970856102007,56,,
22,2.0,decision_tree,ema_075,pq_2b_k256_d4,1.0,0.95,150,0.6266666666666667,0.4935792349726776,191,19,4
22,4.0,threshold,ema_075,pq_4b_k256_d2,1.0,0.95,150,0.7,0.5375531664778678,56,,
22,4.0,decision_tree,ema_075,pq_4b_k256_d2,1.0,0.95,150,0.7133333333333334,0.5509890567892791,170,17,4
