key,label,map_id,left,right,frobenius_cosine,support_jaccard,support_overlap_coefficient,mass_overlap
ex0,ViT L0 H0,vit:s0:l0:h0,sink,global_svd,0.0,0.0,0.0,0.0
ex0,ViT L0 H0,vit:s0:l0:h0,sink,local_cyclic,0.056355640317446616,0.022187004754358162,0.2028985507246377,0.027158710663797377
ex0,ViT L0 H0,vit:s0:l0:h0,sink,sparse_routing,0.0,0.0,0.0,0.0
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,local_cyclic,0.0673556444243343,0.02708124373119358,0.09375,0.07191922341926152
ex0,ViT L0 H0,vit:s0:l0:h0,global_svd,sparse_routing,0.3337110830808544,0.050951086956521736,1.0,0.813700030459268
ex0,ViT L0 H0,vit:s0:l0:h0,local_cyclic,sparse_routing,0.03907427171512623,0.007739938080495356,0.06666666666666667,0.013170623296263732
ex1,ViT L5 H0,vit:s0:l5:h0,sink,global_svd,0.0,0.0,0.0,0.0
ex1,ViT L5 H0,vit:s0:l5:h0,sink,local_cyclic,0.06829247150057535,0.026239067055393587,0.140625,0.03125
ex1,ViT L5 H0,vit:s0:l5:h0,sink,sparse_routing,0.0,0.0,0.0,0.0
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,local_cyclic,0.11783589648328735,0.048877522023302075,0.2986111111111111,0.22034826938762236
ex1,ViT L5 H0,vit:s0:l5:h0,global_svd,sparse_routing,0.27525358060536126,0.040757381258023105,0.9921875,0.8768686527753848
ex1,ViT L5 H0,vit:s0:l5:h0,local_cyclic,sparse_routing,0.0,0.0,0.0,0.0
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,sink,global_svd,0.0,0.0,0.0,0.0
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,sink,local_cyclic,0.09028919860041122,0.026239067055393587,0.140625,0.06763981053928797
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,sink,sparse_routing,0.0,0.0,0.0,0.0
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,global_svd,local_cyclic,0.14998317373461031,0.05548353642727508,0.3715277777777778,0.13753500199387927
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,global_svd,sparse_routing,0.29697791891264536,0.03662374821173105,1.0,0.40175011885536843
ex2,Qwen L8 H0 F1,qwen:v0:f1:l8:h0,local_cyclic,sparse_routing,0.19777913198174824,0.026239067055393587,0.140625,0.16450579825541925
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,sink,global_svd,0.0,0.0,0.0,0.0
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,sink,local_cyclic,0.04769972469153633,0.014331210191082803,0.04591836734693878,0.01903667542144465
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,sink,sparse_routing,0.0,0.0,0.0,0.0
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,global_svd,local_cyclic,0.043317233370746555,0.009313973774551185,0.18764172335600907,0.08800835302457286
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,global_svd,sparse_routing,0.1736736121987003,0.022687967169866628,0.9872448979591837,0.25634539837249226
ex3,Qwen L26 H0 F0,qwen:v2:f0:l26:h0,local_cyclic,sparse_routing,0.1077583202328929,0.029911075181891674,0.09438775510204081,0.06722517907780746
