family,model,layer,projection,name,shape,weight_energy,method,block_size,permutation,relative_fro_error,fit_score,params,dense_params,compression_ratio,cropped_shape,proxy_definition
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,block_circulant,8,identity,0.9333610534667969,0.12883714387135115,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=identity;col=bit_reverse_padded,0.936698853969574,0.12259525697208673,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=identity;col=stride5,0.9341071844100952,0.12744376803344437,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=identity;col=stride7,0.934131383895874,0.12739855762077923,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=identity;col=interleave_groups16,0.9357681274414062,0.12433801166480407,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=identity;col=interleave_groups32,0.9360787868499756,0.12375650480947797,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=bit_reverse_padded;col=identity,0.9363434910774231,0.1232608667169437,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=bit_reverse_padded;col=bit_reverse_padded,0.9346580505371094,0.1264143285661703,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=bit_reverse_padded;col=stride5,0.9351812601089478,0.1254360107410406,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=bit_reverse_padded;col=stride7,0.9354717135429382,0.12489267316103891,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=bit_reverse_padded;col=interleave_groups16,0.9370065927505493,0.12201864514200622,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=bit_reverse_padded;col=interleave_groups32,0.9351028203964233,0.12558271528665443,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=stride5;col=identity,0.9380605220794678,0.12004245691599635,4608,36864,8.0,"[192, 192]",
vit,/home/spco/sow_linear/ViT-LGN_goal6plus_sctm_scale_20260628/runs/aux_value_disc8000_baseline_shift1_d6e192h6_20260629/20260629_123022/final_model.pt,0,q_proj,blocks.0.attn.q_proj.weight,"[192, 192]",199.3402099609375,permuted_block_circulant,8,row=stride5;col=bit_reverse_padded,0.9346991777420044,0.12633744712842088,4608,36864,8.0,"[192, 192]",
