operator,group,normalization,index,eigenvalue,above_spike_threshold,series,spike_threshold,eigenvalue_over_threshold
C,all_blocks,centered,1,2.4247567653656006,1,C raw,2.413376343250275,1.004715560483202
C,all_blocks,centered,2,0.0444664508104324,0,C raw,2.413376343250275,0.018424996555052867
C,all_blocks,centered,3,0.0387286134064197,0,C raw,2.413376343250275,0.016047481991250886
C,all_blocks,centered,4,0.0366902537643909,0,C raw,2.413376343250275,0.015202872882634368
C,all_blocks,centered,5,0.032531701028347,0,C raw,2.413376343250275,0.013479746380763028
C,all_blocks,centered,6,0.0249982364475727,0,C raw,2.413376343250275,0.010358200666666725
C,all_blocks,centered,7,0.0210324712097644,0,C raw,2.413376343250275,0.008714957063612546
C,all_blocks,centered,8,0.0199488177895545,0,C raw,2.413376343250275,0.008265937405638083
C,all_blocks,centered,9,0.0182926394045352,0,C raw,2.413376343250275,0.007579687874083961
C,all_blocks,centered,10,0.0166300404816865,0,C raw,2.413376343250275,0.006890777946090901
C,all_blocks,centered,11,0.0157646927982568,0,C raw,2.413376343250275,0.006532214854242462
C,all_blocks,centered,12,0.0153419151902198,0,C raw,2.413376343250275,0.006357033884552664
C,all_blocks,centered,13,0.0142374010756611,0,C raw,2.413376343250275,0.0058993704465033926
C,all_blocks,centered,14,0.0138985980302095,0,C raw,2.413376343250275,0.005758984946165178
C,all_blocks,centered,15,0.0134660908952355,0,C raw,2.413376343250275,0.005579772476388704
C,all_blocks,centered,16,0.0129611762240529,0,C raw,2.413376343250275,0.005370557418573646
C,all_blocks,centered,17,0.0126906326040625,0,C raw,2.413376343250275,0.0052584557064859075
C,all_blocks,centered,18,0.0124031286686658,0,C raw,2.413376343250275,0.005139326364640492
C,all_blocks,centered,19,0.0119061199948191,0,C raw,2.413376343250275,0.004933387214189825
C,all_blocks,centered,20,0.0118773700669407,0,C raw,2.413376343250275,0.0049214744729554095
C,all_blocks,centered,21,0.011723811738193,0,C raw,2.413376343250275,0.004857846465174041
C,all_blocks,centered,22,0.0113819437101483,0,C raw,2.413376343250275,0.004716190967057953
C,all_blocks,centered,23,0.0111057460308074,0,C raw,2.413376343250275,0.0046017464544508046
C,all_blocks,centered,24,0.0108070010319352,0,C raw,2.413376343250275,0.004477959296385827
C,all_blocks,centered,25,0.0107601201161742,0,C raw,2.413376343250275,0.004458533848758433
C,all_blocks,centered,26,0.0105996718630194,0,C raw,2.413376343250275,0.004392050950803648
C,all_blocks,centered,27,0.0103482287377119,0,C raw,2.413376343250275,0.004287863667286621
C,all_blocks,centered,28,0.0102945147082209,0,C raw,2.413376343250275,0.004265606869402103
C,all_blocks,centered,29,0.0101483277976512,0,C raw,2.413376343250275,0.004205033262231985
C,all_blocks,centered,30,0.0100168194621801,0,C raw,2.413376343250275,0.004150541829166063
C,all_blocks,centered,31,0.0097914515063166,0,C raw,2.413376343250275,0.004057158981317318
C,all_blocks,centered,32,0.0097123319283127,0,C raw,2.413376343250275,0.004024375210056288
C,all_blocks,centered,33,0.0094494083896279,0,C raw,2.413376343250275,0.0039154309339510945
C,all_blocks,centered,34,0.0093872342258691,0,C raw,2.413376343250275,0.0038896686180434703
C,all_blocks,centered,35,0.0092618009075522,0,C raw,2.413376343250275,0.0038376944124175177
C,all_blocks,centered,36,0.0090966057032346,0,C raw,2.413376343250275,0.003769244580803141
C,all_blocks,centered,37,0.0090705603361129,0,C raw,2.413376343250275,0.003758452493943359
C,all_blocks,centered,38,0.008936726488173,0,C raw,2.413376343250275,0.0037029974679113824
C,all_blocks,centered,39,0.0087535139173269,0,C raw,2.413376343250275,0.0036270820097365694
C,all_blocks,centered,40,0.0086814509704709,0,C raw,2.413376343250275,0.003597222204796679
C,all_blocks,centered,41,0.0086590144783258,0,C raw,2.413376343250275,0.003587925481470518
C,all_blocks,centered,42,0.0085922880098223,0,C raw,2.413376343250275,0.003560276885059054
C,all_blocks,centered,43,0.0084671881049871,0,C raw,2.413376343250275,0.0035084408317285908
C,all_blocks,centered,44,0.0083435680717229,0,C raw,2.413376343250275,0.003457217973921958
C,all_blocks,centered,45,0.0082971034571528,0,C raw,2.413376343250275,0.0034379650237138185
C,all_blocks,centered,46,0.0081953443586826,0,C raw,2.413376343250275,0.0033958004028685038
C,all_blocks,centered,47,0.0080876601859927,0,C raw,2.413376343250275,0.0033511806845261615
C,all_blocks,centered,48,0.0080317668616771,0,C raw,2.413376343250275,0.0033280208800174605
C,all_blocks,centered,49,0.0079571809619665,0,C raw,2.413376343250275,0.0032971156712549724
C,all_blocks,centered,50,0.0078080887906253,0,C raw,2.413376343250275,0.0032353382482027486
C,all_blocks,centered,51,0.0077436352148652,0,C raw,2.413376343250275,0.003208631441392297
C,all_blocks,centered,52,0.0076843495480716,0,C raw,2.413376343250275,0.003184065995161994
C,all_blocks,centered,53,0.007659716065973,0,C raw,2.413376343250275,0.0031738589331065897
C,all_blocks,centered,54,0.0075973784551024,0,C raw,2.413376343250275,0.0031480288917021706
C,all_blocks,centered,55,0.0075241765007376,0,C raw,2.413376343250275,0.0031176971307360327
