case,method,self_attention_share,attention_kernel_speedup,denoiser_amdahl_speedup,attention_output_rel_l2
F17,fa3_bf16,0.21811370641912087,1.0,1.0,0.0010939661879092
F17,fa3_fp8,0.21811370641912087,0.992202021607666,0.998288720130294,0.0790850594639778
F17,sage_sm90_smooth,0.21811370641912087,1.1546193555103437,1.0300872143171365,0.0226289927959442
F17,fused_sparse_1.5x_attention,0.21811370641912087,1.5,1.078404968212544,
F17,fused_sparse_2x_attention,0.21811370641912087,2.0,1.1224060745092772,
F17,fused_sparse_3x_attention,0.21811370641912087,3.0,1.1701505878573926,
F17,fused_sparse_4x_attention,0.21811370641912087,4.0,1.1955791497524453,
F81,fa3_bf16,0.5388086760322437,1.0,1.0,0.0010608405573293
F81,fa3_fp8,0.5388086760322437,1.5124780642880704,1.22334090647517,0.1376292109489441
F81,fused_sparse_1.5x_attention,0.5388086760322437,1.5,1.2189218980195393,
F81,fused_sparse_2x_attention,0.5388086760322437,2.0,1.3687461506198577,
F81,fused_sparse_3x_attention,0.5388086760322437,3.0,1.5605633993948935,
F81,fused_sparse_4x_attention,0.5388086760322437,4.0,1.6781522399349011,
