case,block,accept_probability,verification_ratio_vs_batch1,draft_ratio,speedup_upper_bound,ratio_source,verification_scope
F17,2,0.0,1.9523943560054153,0.0,0.512191605617009,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.01,1.9523943560054153,0.0,0.5173135216731791,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.02,1.9523943560054153,0.0,0.5224354377293492,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.03,1.9523943560054153,0.0,0.5275573537855193,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.04,1.9523943560054153,0.0,0.5326792698416895,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.05,1.9523943560054153,0.0,0.5378011858978595,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.06,1.9523943560054153,0.0,0.5429231019540296,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.07,1.9523943560054153,0.0,0.5480450180101997,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.08,1.9523943560054153,0.0,0.5531669340663697,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.09,1.9523943560054153,0.0,0.5582888501225399,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.1,1.9523943560054153,0.0,0.56341076617871,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.11,1.9523943560054153,0.0,0.5685326822348801,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.12,1.9523943560054153,0.0,0.5736545982910501,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.13,1.9523943560054153,0.0,0.5787765143472201,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.14,1.9523943560054153,0.0,0.5838984304033904,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.15,1.9523943560054153,0.0,0.5890203464595604,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.16,1.9523943560054153,0.0,0.5941422625157304,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.17,1.9523943560054153,0.0,0.5992641785719005,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.18,1.9523943560054153,0.0,0.6043860946280706,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.19,1.9523943560054153,0.0,0.6095080106842408,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.2,1.9523943560054153,0.0,0.6146299267404108,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.21,1.9523943560054153,0.0,0.6197518427965809,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.22,1.9523943560054153,0.0,0.624873758852751,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.23,1.9523943560054153,0.0,0.629995674908921,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.24,1.9523943560054153,0.0,0.6351175909650911,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.25,1.9523943560054153,0.0,0.6402395070212613,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.26,1.9523943560054153,0.0,0.6453614230774314,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.27,1.9523943560054153,0.0,0.6504833391336015,measured_F17_full_wan_model_H200,full Wan target forward only
F17,2,0.28,1.9523943560054153,0.0,0.6556052551897715,measured_F17_full_wan_model_H200,full Wan target forward only
