weight_key,block_size,bcm_params,fro_bcm_capture,activation_bcm_params,activation_bcm_fit_capture,activation_bcm_holdout_capture
blocks.0.self_attn.q.weight,64,36864,0.015593311749398708,36864,0.1992608904838562,-0.21355950832366943
blocks.0.self_attn.q.weight,128,18432,0.00780424103140831,18432,0.10170012712478638,-0.09577023983001709
blocks.0.self_attn.o.weight,64,36864,0.015373344533145428,36864,0.20026898384094238,-0.2122211456298828
blocks.0.self_attn.o.weight,128,18432,0.007733666803687811,18432,0.101021409034729,-0.09437286853790283
blocks.0.ffn.0.weight,64,215040,0.0156769547611475,215040,0.19995272159576416,-0.21588587760925293
blocks.0.ffn.0.weight,128,107520,0.007895562797784805,107520,0.10166525840759277,-0.09702229499816895
blocks.15.self_attn.q.weight,64,36864,0.015817994251847267,36864,0.19950824975967407,-0.20618999004364014
blocks.15.self_attn.q.weight,128,18432,0.007867204956710339,18432,0.10107064247131348,-0.09241282939910889
blocks.15.self_attn.o.weight,64,36864,0.015447079204022884,36864,0.2021365761756897,-0.21045470237731934
blocks.15.self_attn.o.weight,128,18432,0.007687527686357498,18432,0.10189032554626465,-0.09342694282531738
blocks.15.ffn.0.weight,64,215040,0.015565742738544941,215040,0.20277059078216553,-0.21814393997192383
blocks.15.ffn.0.weight,128,107520,0.007762550376355648,107520,0.10085827112197876,-0.09809708595275879
blocks.29.self_attn.q.weight,64,36864,0.01554993074387312,36864,0.198264479637146,-0.20947051048278809
blocks.29.self_attn.q.weight,128,18432,0.007698734290897846,18432,0.10069870948791504,-0.09601426124572754
blocks.29.self_attn.o.weight,64,36864,0.01546882838010788,36864,0.19860035181045532,-0.20902574062347412
blocks.29.self_attn.o.weight,128,18432,0.007633877452462912,18432,0.0997723937034607,-0.09271490573883057
blocks.29.ffn.0.weight,64,215040,0.015462305396795273,215040,0.20033478736877441,-0.21258461475372314
blocks.29.ffn.0.weight,128,107520,0.007731244899332523,107520,0.10052597522735596,-0.09511971473693848
