weight_key,block_size,bcm_params,fro_bcm_capture,activation_bcm_params,activation_bcm_fit_capture,activation_bcm_holdout_capture
blocks.0.self_attn.q.weight,64,36864,0.015726732090115547,36864,0.06194639205932617,-0.031209707260131836
blocks.0.self_attn.q.weight,128,18432,0.007928583770990372,18432,0.03193628787994385,-0.015744924545288086
blocks.0.self_attn.o.weight,64,36864,0.015758682042360306,36864,0.06101948022842407,-0.031003236770629883
blocks.0.self_attn.o.weight,128,18432,0.007940519601106644,18432,0.030694544315338135,-0.015079975128173828
blocks.0.ffn.0.weight,64,215040,0.015669239684939384,215040,0.062490105628967285,-0.03171396255493164
blocks.0.ffn.0.weight,128,107520,0.00787066388875246,107520,0.03154945373535156,-0.015774130821228027
blocks.15.self_attn.q.weight,64,36864,0.01583312638103962,36864,0.06177079677581787,-0.03040623664855957
blocks.15.self_attn.q.weight,128,18432,0.007901656441390514,18432,0.03109961748123169,-0.014263749122619629
blocks.15.self_attn.o.weight,64,36864,0.015556855127215385,36864,0.06115990877151489,-0.031000971794128418
blocks.15.self_attn.o.weight,128,18432,0.007931282743811607,18432,0.0309751033782959,-0.014798998832702637
blocks.15.ffn.0.weight,64,215040,0.015571106225252151,215040,0.061909258365631104,-0.031093239784240723
blocks.15.ffn.0.weight,128,107520,0.0077911620028316975,107520,0.03086012601852417,-0.014736175537109375
blocks.29.self_attn.q.weight,64,36864,0.01554605457931757,36864,0.06229102611541748,-0.03165638446807861
blocks.29.self_attn.q.weight,128,18432,0.007772624026983976,18432,0.031485915184020996,-0.015713095664978027
blocks.29.self_attn.o.weight,64,36864,0.015762681141495705,36864,0.06184870004653931,-0.03053116798400879
blocks.29.self_attn.o.weight,128,18432,0.007831564173102379,18432,0.03047579526901245,-0.014899849891662598
blocks.29.ffn.0.weight,64,215040,0.015682285651564598,215040,0.06191825866699219,-0.03006303310394287
blocks.29.ffn.0.weight,128,107520,0.007811067160218954,107520,0.03101050853729248,-0.014570832252502441
