Generating SQLite file /home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f81_fa3_20step_nsys_v1/fa3_f81_20step.sqlite from /home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f81_fa3_20step_nsys_v1/fa3_f81_20step.nsys-rep
Processing [/home/wangmeiqi/codex_runs/base2_h200_fp8_20260723/results/profile_f81_fa3_20step_nsys_v1/fa3_f81_20step.sqlite] with [/usr/local/cuda-12.9/nsight-systems-2025.1.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.7,18174965432,1260,14424575.7,14385351.0,14036782,15001155,201648.6,"void flash::compute_attn_ws<Flash_fwd_kernel_traits<(int)128, (int)128, (int)176, (int)12, (int)2, (bool)0, (int)2, cutlass::bfloat16_t, (bool)0, (int)1>, (bool)0, (bool)0, flash::StaticPersistentTileScheduler<(bool)0>, flash::SeqLenTraits<(bool)0, (bool)0, (bool)0>, flash::SeqLenTraits<(bool)0, (bool)0, (bool)0>>(flash::CollectiveMainloopFwd<T1, T2, T3, T5, T6>::Params, flash::CollectiveEpilogueFwd<T1, T6>::Params, T4::Params, T6, T5)"
12.3,4787389515,10080,474939.4,223110.0,213062,1718603,438993.6,nvjet_tst_256x152_64x4_1x2_h_bz_coopA_bias_TNT
4.6,1805308055,6384,282786.3,383722.0,2880,811702,123643.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
4.3,1655117398,5870,281962.1,404075.0,2048,1210303,196415.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.8,1478197739,252,5865864.0,6082746.5,1445256,6167948,983279.7,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1_g1_execute_segment_k_off_kernel__5x_cudnn
3.6,1405818573,13879,101291.1,96387.0,3968,513006,70874.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.1,1218636345,11812,103169.3,156421.0,2752,161125,73102.4,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
3.1,1196901175,2520,474960.8,474733.5,465005,488621,3438.1,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
2.4,914688687,704,1299273.7,262886.5,46402,3386901,1473208.8,sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x1_g1_execute_segment_k_on_kernel__5x_cudnn
2.2,873028584,7834,111441.0,136036.0,4192,140964,51720.0,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
