density,tail_group_size,method,split,threshold,records,accepted_records,coverage,aggregate_output_relative_l2,record_error_p95,record_error_max,approximate_attention_work_ratio,fallback_adjusted_attention_work_ratio,fallback_adjusted_arithmetic_speedup,accepted_head_roles
0.125,16,centroid,validation,0.9956041574478149,108,16,0.14814814814814814,0.003677278831398699,0.004309806975127874,0.007184536317663035,0.19536019536019542,0.8807941030163252,1.1353391179339734,"{""localized"": 15, ""transitional"": 1}"
0.125,16,centroid,test,0.9956041574478149,216,29,0.13425925925925927,0.0032190114281764695,0.005457647113640039,0.005826769870965611,0.19536019536019547,0.8919696558585447,1.1211143713599463,"{""localized"": 29}"
0.125,8,centroid,validation,0.9956041574478149,108,16,0.14814814814814814,0.003491252055784139,0.004266502331083389,0.0069231627506057365,0.25003052503052503,0.8888934111156334,1.1249942765858945,"{""localized"": 15, ""transitional"": 1}"
0.125,8,centroid,test,0.9956041574478149,216,29,0.13425925925925927,0.003105880890078054,0.0052954492079558425,0.005713915596144148,0.2500305250305248,0.8993096538235427,1.1119640445850414,"{""localized"": 29}"
0.125,4,centroid,validation,0.9956041574478149,108,16,0.14814814814814814,0.002930948206151976,0.003979784487637136,0.0057168146757341646,0.3594017094017093,0.9050965495409939,1.1048545047565752,"{""localized"": 15, ""transitional"": 1}"
0.125,4,centroid,test,0.9956041574478149,216,29,0.13425925925925927,0.0026509848645656963,0.004391011474697954,0.005049482324829982,0.3594017094017092,0.9139937480215258,1.0940993876212473,"{""localized"": 29}"
0.25,16,centroid,validation,0.9845690131187439,108,28,0.25925925925925924,0.0026350712985985267,0.010162394384559511,0.010922031347551986,0.3125501482644339,0.8217722606611495,1.2168821556418308,"{""localized"": 24, ""transitional"": 4}"
0.25,16,centroid,test,0.9845690131187439,216,52,0.24074074074074073,0.0024803701628385417,0.00962923635374688,0.01355899663239373,0.31254813562505895,0.8345023289467735,1.1983190044084135,"{""localized"": 47, ""transitional"": 5}"
0.25,8,centroid,validation,0.9845690131187439,108,28,0.25925925925925924,0.0023248506992762296,0.008943628984134136,0.009853097047869283,0.35940934065934055,0.8339209401709401,1.1991544423803728,"{""localized"": 24, ""transitional"": 4}"
0.25,8,centroid,test,0.9845690131187439,216,52,0.24074074074074073,0.0022374570367451746,0.008562939167419603,0.013190782826947047,0.3594075795998869,0.8457833061999728,1.1823359395598723,"{""localized"": 47, ""transitional"": 5}"
0.25,4,centroid,validation,0.9845690131187439,108,28,0.25925925925925924,0.0018287515092413728,0.007053712813605644,0.007261736330335764,0.45315497994069404,0.8582253651698095,1.1651951114287316,"{""localized"": 24, ""transitional"": 4}"
0.25,4,centroid,test,0.9845690131187439,216,52,0.24074074074074073,0.0018006694725295805,0.006500721391944632,0.011644278508996853,0.45315347046116233,0.8683517614073168,1.1516070381193493,"{""localized"": 47, ""transitional"": 5}"
0.375,16,centroid,validation,0.9820646047592163,108,31,0.28703703703703703,0.001768490830293847,0.006055678906318514,0.012942395350322256,0.4297530426562687,0.8363180029846697,1.19571741422662,"{""localized"": 25, ""transitional"": 6}"
0.375,16,centroid,test,0.9820646047592163,216,60,0.2777777777777778,0.001858190247035797,0.009843754002440254,0.013542800080338228,0.42976800976800933,0.8416022249355581,1.188209786489776,"{""localized"": 51, ""transitional"": 9}"
0.375,8,centroid,validation,0.9820646047592163,108,31,0.28703703703703703,0.0015286899603740311,0.005090930281489899,0.011674729760612549,0.4687994800898028,0.8475257766924434,1.1799051161636676,"{""localized"": 25, ""transitional"": 6}"
0.375,8,centroid,test,0.9820646047592163,216,60,0.2777777777777778,0.0016809914032955532,0.009107539061352313,0.012444649971912712,0.4688125763125759,0.8524479378646044,1.1730921685434725,"{""localized"": 51, ""transitional"": 9}"
0.375,4,centroid,validation,0.9758663773536682,108,37,0.3425925925925926,0.002482693801088015,0.011442530712189584,0.013717635269937205,0.5469227469227471,0.8447790892235338,1.1837414215817477,"{""localized"": 26, ""transitional"": 11}"
0.375,4,centroid,test,0.9758663773536682,216,68,0.3148148148148148,0.0016604940972373239,0.0073778455814574005,0.01585651411685511,0.5469313366372187,0.8573672726450503,1.166361292185688,"{""localized"": 51, ""transitional"": 17}"
