split,sampling_step,branch,layer,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,0,cond,0,centroid,moment,0.125,16,12,0.2078931252267137,0.6029848549457455,0.8321850334329022,0.5973462189237276,0.19533984533984536,5.119283258672778
calibration,0,cond,0,centroid,moment,0.125,4,12,0.16868793483772096,0.4904663129774762,0.6784905847334743,0.5973462189237276,0.3593864468864469,2.782520066250478
calibration,0,cond,0,centroid,moment,0.125,8,12,0.19501328045793806,0.566831042151953,0.7833082260539141,0.5973462189237276,0.25001271876271874,3.9997965101490567
calibration,0,cond,0,centroid,moment,0.25,16,12,0.1514915052024306,0.5118028643662289,0.6929541593599617,0.6906255384286245,0.31255596255596246,3.199427046031644
calibration,0,cond,0,centroid,moment,0.25,4,12,0.12370466084479871,0.4169182965175691,0.5649232060916632,0.6906255384286245,0.45315934065934077,2.2067293119127003
calibration,0,cond,0,centroid,moment,0.25,8,12,0.14248440808447294,0.4812741678047015,0.651841298373417,0.6906255384286245,0.3594144281644282,2.7823034403685956
calibration,0,cond,0,centroid,moment,0.375,16,12,0.1139381212599827,0.42133548062181003,0.5636264836890144,0.7600451211134592,0.42975172975172987,2.326924898191116
calibration,0,cond,0,centroid,moment,0.375,4,12,0.09305432640201251,0.3428966606444245,0.45774150537016356,0.7600451211134592,0.5469169719169719,1.8284310989562986
calibration,0,cond,0,centroid,moment,0.375,8,12,0.10718942551620232,0.3956250936304563,0.5290257691331023,0.7600451211134592,0.46879833129833126,2.1331133949016245
calibration,0,cond,0,centroid,oracle_mass,0.125,16,12,0.1979047605743964,0.5842597888479172,0.7982378415845766,0.5985001735389233,0.19533984533984536,5.119283258672778
calibration,0,cond,0,centroid,oracle_mass,0.125,4,12,0.16066610877034046,0.4739559829880593,0.6479254036387476,0.5985001735389233,0.3593864468864469,2.782520066250478
calibration,0,cond,0,centroid,oracle_mass,0.125,8,12,0.18552237906982225,0.5485703212903703,0.7500571569919331,0.5985001735389233,0.25001271876271874,3.9997965101490567
calibration,0,cond,0,centroid,oracle_mass,0.25,16,12,0.14632787346214207,0.4916204440589019,0.6565037011106977,0.6919313445687294,0.31255596255596246,3.199427046031644
calibration,0,cond,0,centroid,oracle_mass,0.25,4,12,0.11938835705490955,0.39984823046433005,0.5336956734890144,0.6919313445687294,0.45315934065934077,2.2067293119127003
calibration,0,cond,0,centroid,oracle_mass,0.25,8,12,0.13753171316860657,0.4613372757941526,0.6154715104509241,0.6919313445687294,0.3594144281644282,2.7823034403685956
calibration,0,cond,0,centroid,oracle_mass,0.375,16,12,0.11078185108113249,0.4003815065990464,0.5321250001086064,0.7606946031252543,0.42975172975172987,2.326924898191116
