panel,method,router,density,tail_group_size,work_ratio,error_percent,oracle_error_percent,moment_error_percent,prediction,rank,aggregate_error_percent,worst_record_error_percent,local_mass_mean,attention_share,local_attention_speedup,denoiser_speedup_upper_bound
block_pareto,centroid,moment,0.0625,64,0.09279270112603422,13.25728693126397,,,,,,,,,,
block_pareto,centroid,moment,0.0625,16,0.1367487450820781,12.412066929546146,,,,,,,,,,
block_pareto,centroid,moment,0.125,64,0.15431307375751782,10.24291653793714,,,,,,,,,,
block_pareto,centroid,moment,0.125,16,0.1953387147831587,9.634360303644117,,,,,,,,,,
block_pareto,centroid,oracle_mass,0.0625,64,0.09279496223940643,12.521562745786863,,,,,,,,,,
block_pareto,centroid,oracle_mass,0.0625,16,0.13675100619545033,11.635895386765046,,,,,,,,,,
block_pareto,centroid,oracle_mass,0.125,64,0.1543209876543206,9.559826320266852,,,,,,,,,,
block_pareto,centroid,oracle_mass,0.125,16,0.19534662867996153,8.895471037741313,,,,,,,,,,
block_pareto,diag_gaussian,moment,0.0625,64,0.09279496223940643,293.25642742681214,,,,,,,,,,
block_pareto,diag_gaussian,moment,0.0625,16,0.13675100619545033,319.8426121306415,,,,,,,,,,
block_pareto,diag_gaussian,moment,0.125,64,0.1543187265409484,311.70883863855875,,,,,,,,,,
block_pareto,diag_gaussian,moment,0.125,16,0.1953443675665893,319.6712387755958,,,,,,,,,,
block_pareto,diag_gaussian,oracle_mass,0.0625,64,0.09279496223940643,291.88307503506786,,,,,,,,,,
block_pareto,diag_gaussian,oracle_mass,0.0625,16,0.13675100619545033,224.92536024234408,,,,,,,,,,
block_pareto,diag_gaussian,oracle_mass,0.125,64,0.1543209876543206,320.70662508253247,,,,,,,,,,
block_pareto,diag_gaussian,oracle_mass,0.125,16,0.19534662867996153,279.46958618621704,,,,,,,,,,
router_gap,centroid,,0.0625,16,,,11.635895386765046,12.412066929546146,,,,,,,,
router_gap,centroid,,0.0625,64,,,12.521562745786863,13.25728693126397,,,,,,,,
router_gap,centroid,,0.125,16,,,8.895471037741313,9.634360303644117,,,,,,,,
router_gap,centroid,,0.125,64,,,9.559826320266852,10.24291653793714,,,,,,,,
router_gap,diag_gaussian,,0.0625,16,,,224.92536024234408,319.8426121306415,,,,,,,,
router_gap,diag_gaussian,,0.0625,64,,,291.88307503506786,293.25642742681214,,,,,,,,
router_gap,diag_gaussian,,0.125,16,,,279.46958618621704,319.6712387755958,,,,,,,,
router_gap,diag_gaussian,,0.125,64,,,320.70662508253247,311.70883863855875,,,,,,,,
displacement,,,,,,,,,oracle_nonnegative,0,14.708360348684426,55.2643645923903,0.9263737775661327,,,
displacement,,,,,,,,,oracle_nonnegative,2,5.455226332563394,29.569145788001073,0.9263737775661327,,,
displacement,,,,,,,,,oracle_nonnegative,4,4.5865041673629685,26.258765949008776,0.9263737775661327,,,
displacement,,,,,,,,,oracle_nonnegative,8,3.0117572445345147,22.691880034958874,0.9263737775661327,,,
displacement,,,,,,,,,ridge_nonnegative,0,14.708360348684426,55.2643645923903,0.9263737775661327,,,
displacement,,,,,,,,,ridge_nonnegative,2,10.238737008113215,38.1128176268342,0.9263737775661327,,,
displacement,,,,,,,,,ridge_nonnegative,4,10.203318350628027,40.09785322822717,0.9263737775661327,,,
displacement,,,,,,,,,ridge_nonnegative,8,10.371856208749357,40.800679823812416,0.9263737775661327,,,
amdahl,,,,,,,,,,,,,,0.5388,1.0,1.0
amdahl,,,,,,,,,,,,,,0.5388,1.05,1.0263327664066624
amdahl,,,,,,,,,,,,,,0.5388,1.1,1.0515046075020076
amdahl,,,,,,,,,,,,,,0.5388,1.15,1.0755906395555472
amdahl,,,,,,,,,,,,,,0.5388,1.2,1.098659635245001
amdahl,,,,,,,,,,,,,,0.5388,1.25,1.1207746794584417
amdahl,,,,,,,,,,,,,,0.5388,1.3,1.1419937453881022
amdahl,,,,,,,,,,,,,,0.5388,1.35,1.1623702019941107
amdahl,,,,,,,,,,,,,,0.5388,1.4,1.1819532621910036
amdahl,,,,,,,,,,,,,,0.5388,1.45,1.2007883796810044
amdahl,,,,,,,,,,,,,,0.5388,1.5,1.2189176011701608
