sample_id,cell,head,tile_index,mode,tile_density,output_relative_l2,dynamic_tile_scalars,ideal_tile_arithmetic_speedup_upper_bound,claim_warning
s01_p01_seed20260740,layer14_step00_early,2,1,binary support,0.25,0.052802265591410415,0,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 1x,0.25,0.04612958401683157,512,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 1x,0.25,0.03379937092014003,512,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 1.25x,0.3125,0.037874935409899585,640,3.2,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 1.25x,0.3125,0.026577794912833595,640,3.2,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 1.5x,0.375,0.03158351829174391,768,2.6666666666666665,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 1.5x,0.375,0.021005616688843955,768,2.6666666666666665,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 1.75x,0.4375,0.025139910892687564,896,2.2857142857142856,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 1.75x,0.4375,0.01616144601594829,896,2.2857142857142856,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 2x,0.5,0.02072763048661532,1024,2.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 2x,0.5,0.012879702329422826,1024,2.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 2.25x,0.5625,0.01593307581883191,1152,1.7777777777777777,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 2.25x,0.5625,0.009514199775107009,1152,1.7777777777777777,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 2.5x,0.625,0.012555790909418205,1280,1.6,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 2.5x,0.625,0.007078779546712629,1280,1.6,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 2.75x,0.6875,0.009688808228487136,1408,1.4545454545454546,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 2.75x,0.6875,0.0053806188345723255,1408,1.4545454545454546,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 3x,0.75,0.007305255764106481,1536,1.3333333333333333,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 3x,0.75,0.004203998487667495,1536,1.3333333333333333,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 3.25x,0.8125,0.005304204118858596,1664,1.2307692307692308,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 3.25x,0.8125,0.003542268110647853,1664,1.2307692307692308,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 3.5x,0.875,0.0039034140560487503,1792,1.1428571428571428,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 3.5x,0.875,0.0031834153546192443,1792,1.1428571428571428,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 3.75x,0.9375,0.0033464333304679167,1920,1.0666666666666667,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 3.75x,0.9375,0.0027849697557302718,1920,1.0666666666666667,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,raw weighted top-k 4x,1.0,0.003205958209821584,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,refit weighted top-k 4x,1.0,6.471084187129651e-05,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step00_early,2,1,continuous fractional,1.0,0.0032059627157141977,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,binary support,0.25,0.04648058069552774,0,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 1x,0.25,0.22560658123841731,512,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 1x,0.25,0.193390072902766,512,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 1.25x,0.3125,0.17873558894884464,640,3.2,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 1.25x,0.3125,0.14776369004848755,640,3.2,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 1.5x,0.375,0.10717165782119664,768,2.6666666666666665,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 1.5x,0.375,0.07778984485101754,768,2.6666666666666665,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 1.75x,0.4375,0.05013183712184691,896,2.2857142857142856,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 1.75x,0.4375,0.02988373638084694,896,2.2857142857142856,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 2x,0.5,0.02240335981991344,1024,2.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 2x,0.5,0.009490881938472641,1024,2.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 2.25x,0.5625,0.010691712017709415,1152,1.7777777777777777,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 2.25x,0.5625,0.00426111878763884,1152,1.7777777777777777,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 2.5x,0.625,0.004267873149730392,1280,1.6,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 2.5x,0.625,0.0017878832385138917,1280,1.6,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 2.75x,0.6875,0.0017134944333564988,1408,1.4545454545454546,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 2.75x,0.6875,0.0011887784921356412,1408,1.4545454545454546,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 3x,0.75,0.0016542027340251454,1536,1.3333333333333333,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 3x,0.75,0.0008392624922871576,1536,1.3333333333333333,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 3.25x,0.8125,0.001650184016677051,1664,1.2307692307692308,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 3.25x,0.8125,0.0005893382888488758,1664,1.2307692307692308,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 3.5x,0.875,0.0016488828909664184,1792,1.1428571428571428,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 3.5x,0.875,0.00044556774239335676,1792,1.1428571428571428,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 3.75x,0.9375,0.0016482471514650053,1920,1.0666666666666667,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 3.75x,0.9375,0.00031604846623171007,1920,1.0666666666666667,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,raw weighted top-k 4x,1.0,0.0016480715010066106,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,refit weighted top-k 4x,1.0,0.0002402964795574532,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s01_p01_seed20260740,layer14_step09_middle,2,1,continuous fractional,1.0,0.0016480719969872008,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,binary support,0.25,0.045810265998398096,0,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 1x,0.25,0.30507775650247376,512,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 1x,0.25,0.2768133244395538,512,4.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 1.25x,0.3125,0.29780268116941166,640,3.2,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 1.25x,0.3125,0.2659073804143779,640,3.2,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 1.5x,0.375,0.2754676459397823,768,2.6666666666666665,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 1.5x,0.375,0.23827540346775747,768,2.6666666666666665,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 1.75x,0.4375,0.07385916223922083,896,2.2857142857142856,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 1.75x,0.4375,0.047359346823710624,896,2.2857142857142856,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 2x,0.5,0.014148384466103833,1024,2.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 2x,0.5,0.004723980652969147,1024,2.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 2.25x,0.5625,0.005138053970319012,1152,1.7777777777777777,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 2.25x,0.5625,0.0023091466554199963,1152,1.7777777777777777,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 2.5x,0.625,0.0023367319069168275,1280,1.6,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 2.5x,0.625,0.0018750585851852616,1280,1.6,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 2.75x,0.6875,0.0020674044980452506,1408,1.4545454545454546,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 2.75x,0.6875,0.0015686343186993316,1408,1.4545454545454546,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
