method,block,target_step,branch,horizon,relative_l2,error_sq,target_sq,sample_count,row_count,mean_runtime_macs,mean_observable_macs
ar2,20,4,0,1,0.3945906383323665,325320.8194127064,2089384.1831560656,4,4,35942400,0
ar2,20,4,0,2,0.5674876277965352,672869.8950815094,2089384.1831560656,4,4,71884800,0
ar2,20,4,0,3,0.7529994761169073,1184697.9878505813,2089384.1831560656,4,4,107827200,0
ar2,20,4,1,1,0.4226602990812912,349180.9339752421,1954643.727781761,4,4,35942400,0
ar2,20,4,1,2,0.5734089090587606,642682.5124980984,1954643.727781761,4,4,71884800,0
ar2,20,4,1,3,0.7417545129826116,1075444.5050831996,1954643.727781761,4,4,107827200,0
ar2,20,6,0,1,0.27529245055593626,174992.0586301688,2309030.8574949875,4,4,35942400,0
ar2,20,6,0,2,0.4315249988888252,429973.46724595653,2309030.8574949875,4,4,71884800,0
ar2,20,6,0,3,0.5708846074972208,752534.4805359717,2309030.8574949875,4,4,107827200,0
ar2,20,6,1,1,0.32125997682291974,232413.17511430045,2251891.6806094116,4,4,35942400,0
ar2,20,6,1,2,0.47898017817179295,516633.5181030707,2251891.6806094116,4,4,71884800,0
ar2,20,6,1,3,0.593593195310542,793460.5225313432,2251891.6806094116,4,4,107827200,0
ar2,21,4,0,1,0.613370667630904,5962592.175042915,15848534.10799962,4,4,35942400,0
ar2,21,4,0,2,0.7940397515518309,9992486.920028638,15848534.10799962,4,4,71884800,0
ar2,21,4,0,3,0.9133660541299399,13221442.246915547,15848534.10799962,4,4,107827200,0
ar2,21,4,1,1,0.6446466131548702,6543175.977264723,15745091.54641192,4,4,35942400,0
ar2,21,4,1,2,0.8257673902315164,10736448.544456052,15745091.54641192,4,4,71884800,0
ar2,21,4,1,3,0.9117960573088905,13090029.038331129,15745091.54641192,4,4,107827200,0
ar2,21,6,0,1,0.46990924586235744,3324415.1173830302,15055225.613218475,4,4,35942400,0
ar2,21,6,0,2,0.6990283143021997,7356594.238848291,15055225.613218475,4,4,71884800,0
ar2,21,6,0,3,0.8290837855260107,10348659.829117157,15055225.613218475,4,4,107827200,0
ar2,21,6,1,1,0.4938466510337332,3637615.0063917534,14915317.646595946,4,4,35942400,0
ar2,21,6,1,2,0.7530427210215717,8458078.990296487,14915317.646595946,4,4,71884800,0
ar2,21,6,1,3,0.8643773674732815,11143953.23025461,14915317.646595946,4,4,107827200,0
ar2,22,4,0,1,0.6360494468640178,448639.9431686081,1108960.75809291,4,4,35942400,0
ar2,22,4,0,2,0.8483360587691527,798090.3007033139,1108960.75809291,4,4,71884800,0
