weight_key,shape,activation_source,method,family,main_kind,high_precision_params,lr16_budget_params,budget_ratio_vs_lr16,metadata_bits,total_estimated_bits,stored_fp16_param_equivalent,residual_launch_groups_proxy,captured_main_error_energy,notes,relative_fro_error,spectral_error_proxy,activation_relative_l2,activation_cosine,absolute_error_norm
blocks.0.self_attn.q.weight,1536x1536,real:q,ternary_no_hadamard,main_only,ternary,0,49152,0.0,0,4034307.6881014206,252144.2305063388,1,0.0,Official RobuQ groupwise ternary rule without rotation,0.4686376452445984,7.791500091552734,0.46501827239990234,0.9050573110580444,20.48872947692871
blocks.0.self_attn.q.weight,1536x1536,real:q,ternary_hadamard,main_only,ternary,0,49152,0.0,0,4034307.6881014206,252144.2305063388,1,0.0,RobuQ-compatible randomized Hadamard rotation,0.5108439326286316,6.376490592956543,0.5238697528839111,0.8756303787231445,22.333986282348633
blocks.0.self_attn.q.weight,1536x1536,real:q,fp8_hadamard,main_only,fp8,0,49152,0.0,0,18874400,1179650.0,1,0.0,H200-native tensorwise E4M3 weight proxy,0.026496822014451027,0.12469234317541122,0.027631394565105438,0.9996182918548584,1.158435344696045
blocks.0.self_attn.q.weight,1536x1536,real:q,robuq_weight_svd_r8,robuq,ternary,24576,49152,0.5,0,4427523.68810142,276720.23050633876,1,0.24472503757091157,Paper-faithful initialization before QAT; randomized top-SVD probe,0.4439568817615509,1.1800293922424316,0.4668229818344116,0.9003428220748901,19.409698486328125
blocks.0.self_attn.q.weight,1536x1536,real:q,ternary_qer_svd_r8,qer_lowrank,ternary,24576,49152,0.5,0,4427523.68810142,276720.23050633876,1,0.17252118589763954,Training-free SVD fitted to fixed ternary quantization error,0.4646935760974884,1.2652528285980225,0.484247624874115,0.8851297497749329,20.316303253173828
blocks.0.self_attn.q.weight,1536x1536,real:q,fp8_qer_svd_r8,qer_lowrank,fp8,24576,49152,0.5,0,19267616,1204226.0,1,0.04614043351540542,Training-free SVD fitted to fixed FP8 weight error,0.025878315791487694,0.07151255011558533,0.026856740936636925,0.9996392726898193,1.131394386291504
blocks.0.self_attn.q.weight,1536x1536,real:q,robuq_weight_svd_r16,robuq,ternary,49152,49152,1.0,0,4820739.68810142,301296.23050633876,1,0.2655508444005912,Paper-faithful initialization before QAT; randomized top-SVD probe,0.4377932846546173,0.9668535590171814,0.45758625864982605,0.9032124280929565,19.140228271484375
blocks.0.self_attn.q.weight,1536x1536,real:q,ternary_qer_svd_r16,qer_lowrank,ternary,49152,49152,1.0,0,4820739.68810142,301296.23050633876,1,0.1937424744932792,Training-free SVD fitted to fixed ternary quantization error,0.458696186542511,1.0647869110107422,0.47892898321151733,0.8875982761383057,20.05409812927246
blocks.0.self_attn.q.weight,1536x1536,real:q,fp8_qer_svd_r16,qer_lowrank,fp8,49152,49152,1.0,0,19660832,1228802.0,1,0.07390349196605972,Training-free SVD fitted to fixed FP8 weight error,0.025498928502202034,0.06508055329322815,0.026473307982087135,0.9996495842933655,1.1148076057434082
blocks.0.self_attn.q.weight,1536x1536,real:q,ternary_qer_bcm_b64,qer_bcm,ternary,36864,49152,0.75,0,4624131.68810142,289008.23050633876,1,0.015450925150150452,Orthogonal full-grid block-circulant projection of quantization error,0.5068820714950562,6.277545928955078,0.5201871991157532,0.876788854598999,22.16077423095703
blocks.0.self_attn.q.weight,1536x1536,real:q,ternary_qer_bcm_b64_svd_r4_budget_lr16,qer_bcm_lowrank,ternary,49152,49152,1.0,0,4820739.68810142,301296.23050633876,1,0.1643635797061569,BCM-first hybrid constrained to the rank-16 FP16 parameter budget,0.4669785499572754,1.7087634801864624,0.48734962940216064,0.8829832673072815,20.416200637817383
