method,requested_token_budget,actual_critical_tokens,rank,metric,mean,std,min,max,count
block128_oracle,1024,1024,16,output_rel_l2,0.08317668891201417,0.037208747222369914,0.03861931338906288,0.13715168833732605,12
block128_oracle,1024,1024,32,output_rel_l2,0.07074905124803384,0.03507286006626893,0.03351706266403198,0.1224244087934494,12
block128_oracle,1024,1024,64,output_rel_l2,0.05748841740811864,0.033509466542869015,0.023760374635457993,0.11530237644910812,12
block128_oracle,1024,1024,8,output_rel_l2,0.10479049943387508,0.05898655434714422,0.04124216362833977,0.23308569192886353,12
block128_oracle,128,128,16,output_rel_l2,0.24095507881914577,0.19123983305402456,0.028873419389128685,0.5914314985275269,12
block128_oracle,128,128,32,output_rel_l2,0.22054602081576982,0.1912713309767792,0.02265327237546444,0.5668156147003174,12
block128_oracle,128,128,64,output_rel_l2,0.1999698067860057,0.187070911736114,0.012207872234284878,0.5376219749450684,12
block128_oracle,128,128,8,output_rel_l2,0.2859697723761201,0.18506803444061815,0.05195850506424904,0.6592872142791748,12
block128_oracle,256,256,16,output_rel_l2,0.18257273190344372,0.11916963190653519,0.028718149289488792,0.4080830216407776,12
block128_oracle,256,256,32,output_rel_l2,0.16599960423385104,0.12044948004809727,0.025093061849474907,0.3897866904735565,12
block128_oracle,256,256,64,output_rel_l2,0.14897167325640717,0.11657205222507537,0.016611410304903984,0.35836049914360046,12
block128_oracle,256,256,8,output_rel_l2,0.22099276756246886,0.10856742277404526,0.05321156978607178,0.42961472272872925,12
block128_oracle,512,512,16,output_rel_l2,0.12278539066513379,0.05695033762249874,0.0347876101732254,0.19699856638908386,12
block128_oracle,512,512,32,output_rel_l2,0.10895240431030591,0.057153282932187036,0.026853147894144058,0.18811218440532684,12
block128_oracle,512,512,64,output_rel_l2,0.09563370033477743,0.05691834330270982,0.02046341449022293,0.1770012080669403,12
block128_oracle,512,512,8,output_rel_l2,0.15371006882439056,0.06254821350961556,0.057388078421354294,0.24074704945087433,12
block128_oracle,64,128,16,output_rel_l2,0.24354848265647888,0.19539016897008765,0.028873808681964874,0.6166189312934875,12
block128_oracle,64,128,32,output_rel_l2,0.2218774367744724,0.19271323626617048,0.022632231935858727,0.5702158212661743,12
block128_oracle,64,128,64,output_rel_l2,0.20147444874358675,0.18931801217947838,0.01203214656561613,0.5461863279342651,12
block128_oracle,64,128,8,output_rel_l2,0.287493967761596,0.1872610844951612,0.05195853114128113,0.6711484789848328,12
block16_oracle,1024,1024,16,output_rel_l2,0.05378794095789393,0.038035801460174275,0.004696723539382219,0.12016838043928146,12
block16_oracle,1024,1024,32,output_rel_l2,0.04612512304447591,0.034584939992858964,0.00428333505988121,0.10886288434267044,12
block16_oracle,1024,1024,64,output_rel_l2,0.036826715319572635,0.026489434206466184,0.003678872948512435,0.0766114667057991,12
block16_oracle,1024,1024,8,output_rel_l2,0.08419878272494923,0.0860517878308644,0.005315981339663267,0.3183630704879761,12
block16_oracle,128,128,16,output_rel_l2,0.12995696269596616,0.07424893146282684,0.0284271277487278,0.2474420666694641,12
block16_oracle,128,128,32,output_rel_l2,0.11301510222256184,0.07486409333401366,0.021599074825644493,0.23497121036052704,12
block16_oracle,128,128,64,output_rel_l2,0.09732332274628182,0.07464061347204812,0.01272561028599739,0.22063523530960083,12
block16_oracle,128,128,8,output_rel_l2,0.17109084222465754,0.08364249935159972,0.05107896402478218,0.33220499753952026,12
block16_oracle,256,256,16,output_rel_l2,0.0910781064691643,0.05144225762341367,0.028478773310780525,0.19895708560943604,12
block16_oracle,256,256,32,output_rel_l2,0.07763284460331003,0.051063030381632894,0.024339372292160988,0.18989206850528717,12
block16_oracle,256,256,64,output_rel_l2,0.06568965432234108,0.04903094037759442,0.014973501674830914,0.17874790728092194,12
block16_oracle,256,256,8,output_rel_l2,0.1314912447705865,0.0809779879931512,0.052002616226673126,0.32899221777915955,12
block16_oracle,512,512,16,output_rel_l2,0.06719162253042062,0.04026995613325494,0.017810523509979248,0.1421801596879959,12
block16_oracle,512,512,32,output_rel_l2,0.05700828228145838,0.03750724122434596,0.013393951579928398,0.13670115172863007,12
block16_oracle,512,512,64,output_rel_l2,0.048544194626932345,0.03482117868581845,0.01166257169097662,0.12836995720863342,12
block16_oracle,512,512,8,output_rel_l2,0.10455596446990967,0.08349698704921275,0.02387341670691967,0.3250998556613922,12
block16_oracle,64,64,16,output_rel_l2,0.18474828219041228,0.1244009206839671,0.028858475387096405,0.41416606307029724,12
block16_oracle,64,64,32,output_rel_l2,0.16571954591199756,0.1264839264626888,0.019456753507256508,0.4005737900733948,12
block16_oracle,64,64,64,output_rel_l2,0.1458067699956397,0.12570562248434164,0.01057364884763956,0.3800830543041229,12
block16_oracle,64,64,8,output_rel_l2,0.22684185300022364,0.11607388357242569,0.0506427101790905,0.42460736632347107,12
block32_oracle,1024,1024,16,output_rel_l2,0.06517416688924034,0.03740420229775401,0.013077772222459316,0.1267300546169281,12
block32_oracle,1024,1024,32,output_rel_l2,0.05509903491474688,0.03365946680570544,0.011791436932981014,0.1027764230966568,12
block32_oracle,1024,1024,64,output_rel_l2,0.045447258201117315,0.0291384868146818,0.010775208473205566,0.09651315957307816,12
block32_oracle,1024,1024,8,output_rel_l2,0.08863819918284814,0.06273918329242148,0.016397221013903618,0.22468365728855133,12
block32_oracle,128,128,16,output_rel_l2,0.1807469536239902,0.12161116024690141,0.028614256531000137,0.41501957178115845,12
block32_oracle,128,128,32,output_rel_l2,0.1632451044085125,0.12157834467471246,0.023584047332406044,0.3979818820953369,12
block32_oracle,128,128,64,output_rel_l2,0.1440432892025759,0.12061809332583896,0.012969446368515491,0.37803205847740173,12
block32_oracle,128,128,8,output_rel_l2,0.22092404030263424,0.1144474036643184,0.05176214873790741,0.44768425822257996,12
block32_oracle,256,256,16,output_rel_l2,0.12409708509221673,0.06874519741930951,0.027985358610749245,0.22737400233745575,12
block32_oracle,256,256,32,output_rel_l2,0.1105175173530976,0.06908693955138229,0.024535322561860085,0.21682672202587128,12
block32_oracle,256,256,64,output_rel_l2,0.09552426403388381,0.06826393388315408,0.016176864504814148,0.20239639282226562,12
block32_oracle,256,256,8,output_rel_l2,0.15928031162669262,0.07033158478762461,0.052995819598436356,0.2576875686645508,12
block32_oracle,512,512,16,output_rel_l2,0.08797072588155667,0.04507977060791898,0.033889975398778915,0.1707831174135208,12
block32_oracle,512,512,32,output_rel_l2,0.07534554336840908,0.044028971822026114,0.02603595145046711,0.16328442096710205,12
block32_oracle,512,512,64,output_rel_l2,0.06415584372977416,0.04196943772293051,0.01812678389251232,0.15338638424873352,12
block32_oracle,512,512,8,output_rel_l2,0.11726678628474474,0.06237432080515517,0.04772002995014191,0.23878973722457886,12
block32_oracle,64,64,16,output_rel_l2,0.23775831703096628,0.19212069824623432,0.029015472158789635,0.6232529282569885,12
block32_oracle,64,64,32,output_rel_l2,0.2148049307676653,0.18912440279818074,0.02066543884575367,0.5756188035011292,12
block32_oracle,64,64,64,output_rel_l2,0.19265143883725008,0.18657128024188624,0.01043424941599369,0.5449219346046448,12
block32_oracle,64,64,8,output_rel_l2,0.2850243595118324,0.1879912144777648,0.05103394761681557,0.6975640654563904,12
block64_oracle,1024,1024,16,output_rel_l2,0.0779988116895159,0.03740574721356477,0.03129810467362404,0.13407549262046814,12
block64_oracle,1024,1024,32,output_rel_l2,0.06584537277619044,0.03555842192725716,0.021463405340909958,0.11674923449754715,12
block64_oracle,1024,1024,64,output_rel_l2,0.053675757410625614,0.0318865158630725,0.019546156749129295,0.11031510680913925,12
block64_oracle,1024,1024,8,output_rel_l2,0.10029631201177835,0.059607672792949096,0.03423675149679184,0.226705402135849,12
block64_oracle,128,128,16,output_rel_l2,0.223694688330094,0.174576939271788,0.028751395642757416,0.5762864947319031,12
block64_oracle,128,128,32,output_rel_l2,0.2044411514264842,0.17310092823704534,0.0234647486358881,0.5474459528923035,12
block64_oracle,128,128,64,output_rel_l2,0.1844015057043483,0.17072354460898467,0.012269663624465466,0.518668532371521,12
block64_oracle,128,128,8,output_rel_l2,0.2652757124354442,0.16470278457298226,0.05196237564086914,0.6159605979919434,12
block64_oracle,256,256,16,output_rel_l2,0.16537974681705236,0.1051006886356565,0.028274253010749817,0.3725886344909668,12
block64_oracle,256,256,32,output_rel_l2,0.1497793806095918,0.10387964667065788,0.024296725168824196,0.349581241607666,12
block64_oracle,256,256,64,output_rel_l2,0.13294326731314263,0.1020991464114502,0.016296831890940666,0.32552051544189453,12
block64_oracle,256,256,8,output_rel_l2,0.19986249941090742,0.0963908431431841,0.0531851127743721,0.387820303440094,12
block64_oracle,512,512,16,output_rel_l2,0.11030666064471006,0.052580757867157775,0.034536443650722504,0.19108270108699799,12
block64_oracle,512,512,32,output_rel_l2,0.09703989963357647,0.05235658927940124,0.026484521105885506,0.1823621541261673,12
block64_oracle,512,512,64,output_rel_l2,0.08366971307744582,0.05219618638575757,0.019385870546102524,0.17179949581623077,12
block64_oracle,512,512,8,output_rel_l2,0.1404572625954946,0.06135810960840403,0.05506730079650879,0.23664632439613342,12
block64_oracle,64,64,16,output_rel_l2,0.27554213829959434,0.23976822867428557,0.02914145402610302,0.7190243005752563,12
block64_oracle,64,64,32,output_rel_l2,0.2525617914895217,0.23769826530491545,0.022042617201805115,0.679534375667572,12
block64_oracle,64,64,64,output_rel_l2,0.228644459353139,0.23283658795980838,0.009688211604952812,0.6339390277862549,12
block64_oracle,64,64,8,output_rel_l2,0.321494212684532,0.22677545106641234,0.05124602094292641,0.7554168701171875,12
token_topk_oracle,1024,1024,16,output_rel_l2,0.030484183755712973,0.027247242929810483,0.00021089000802021474,0.08481550216674805,12
token_topk_oracle,1024,1024,32,output_rel_l2,0.026195839070472477,0.02428275964948965,0.00018484202155377716,0.07414297014474869,12
token_topk_oracle,1024,1024,64,output_rel_l2,0.02078235874796519,0.01790008304239649,0.00015957909636199474,0.060929108411073685,12
token_topk_oracle,1024,1024,8,output_rel_l2,0.049682734576587485,0.060514343672022124,0.00023137069365475327,0.22509756684303284,12
token_topk_oracle,128,128,16,output_rel_l2,0.0654628920989732,0.044263972756078,0.00787427369505167,0.14252692461013794,12
token_topk_oracle,128,128,32,output_rel_l2,0.0538274374169608,0.03895962455835638,0.006921987980604172,0.1293654888868332,12
token_topk_oracle,128,128,64,output_rel_l2,0.043751372722908854,0.03581789443975793,0.006262725219130516,0.11912352591753006,12
token_topk_oracle,128,128,8,output_rel_l2,0.09755122886660199,0.06571108216766428,0.008326058275997639,0.22881744801998138,12
token_topk_oracle,256,256,16,output_rel_l2,0.04956893875108411,0.03326874309927452,0.002776874229311943,0.09991781413555145,12
token_topk_oracle,256,256,32,output_rel_l2,0.040325816410283245,0.02834623109915155,0.0025908472016453743,0.08711502701044083,12
token_topk_oracle,256,256,64,output_rel_l2,0.033900999677522727,0.025623730327401062,0.0022894861176609993,0.08189939707517624,12
token_topk_oracle,256,256,8,output_rel_l2,0.07696657109772786,0.05796660488945112,0.0029853202868252993,0.20382548868656158,12
