case,head,method,requested_token_budget,actual_critical_tokens,rank,keys,representation_ratio_full_n,attention_rel_fro,output_rel_l2,output_cosine,critical_mass
f81,0,token_topk_oracle,64,64,8,32760,0.002442002442002442,0.2946728467941284,0.1956617683172226,0.9806761741638184,0.014249136671423912
f81,0,token_topk_oracle,64,64,16,32760,0.0029304029304029304,0.2113480418920517,0.11123364418745041,0.9937951564788818,0.014249136671423912
f81,0,token_topk_oracle,64,64,32,32760,0.003907203907203907,0.17457355558872223,0.0633573979139328,0.9979910254478455,0.014249136671423912
f81,0,token_topk_oracle,64,64,64,32760,0.005860805860805861,0.15137526392936707,0.03994390368461609,0.9992018938064575,0.014249136671423912
f81,0,block16_oracle,64,64,8,32760,0.002442002442002442,0.30116432905197144,0.21218495070934296,0.9772295355796814,0.00914812833070755
f81,0,block16_oracle,64,64,16,32760,0.0029304029304029304,0.20845790207386017,0.12455963343381882,0.992212176322937,0.00914812833070755
f81,0,block16_oracle,64,64,32,32760,0.003907203907203907,0.16295474767684937,0.07250449061393738,0.9973680377006531,0.00914812833070755
f81,0,block16_oracle,64,64,64,32760,0.005860805860805861,0.13481749594211578,0.04146194085478783,0.9991401433944702,0.00914812833070755
f81,0,block32_oracle,64,64,8,32760,0.002442002442002442,0.3020046055316925,0.2125990390777588,0.9771395325660706,0.008509106934070587
f81,0,block32_oracle,64,64,16,32760,0.0029304029304029304,0.20761306583881378,0.12362327426671982,0.9923292398452759,0.008509106934070587
f81,0,block32_oracle,64,64,32,32760,0.003907203907203907,0.16010068356990814,0.07262258976697922,0.997359573841095,0.008509106934070587
f81,0,block32_oracle,64,64,64,32760,0.005860805860805861,0.1304529756307602,0.04235989227890968,0.9991024732589722,0.008509106934070587
f81,0,block64_oracle,64,64,8,32760,0.002442002442002442,0.30240973830223083,0.21325546503067017,0.9769965410232544,0.007990662939846516
f81,0,block64_oracle,64,64,16,32760,0.0029304029304029304,0.2068888396024704,0.12247215211391449,0.9924718737602234,0.007990662939846516
f81,0,block64_oracle,64,64,32,32760,0.003907203907203907,0.15823979675769806,0.07251043617725372,0.9973676800727844,0.007990662939846516
f81,0,block64_oracle,64,64,64,32760,0.005860805860805861,0.12760956585407257,0.044335540384054184,0.9990166425704956,0.007990662939846516
f81,0,block128_oracle,64,128,8,32760,0.004395604395604396,0.31194791197776794,0.21295519173145294,0.9770621657371521,0.015522944740951061
f81,0,block128_oracle,64,128,16,32760,0.004884004884004884,0.22695299983024597,0.1140773743391037,0.9934718608856201,0.015522944740951061
f81,0,block128_oracle,64,128,32,32760,0.005860805860805861,0.1859598159790039,0.07304593175649643,0.997328519821167,0.015522944740951061
f81,0,block128_oracle,64,128,64,32760,0.007814407814407814,0.15421287715435028,0.051213834434747696,0.9986878633499146,0.015522944740951061
f81,0,token_topk_oracle,128,128,8,32760,0.004395604395604396,0.300094872713089,0.1824978142976761,0.983217716217041,0.02605590596795082
f81,0,token_topk_oracle,128,128,16,32760,0.004884004884004884,0.23107954859733582,0.08804038912057877,0.9961181879043579,0.02605590596795082
f81,0,token_topk_oracle,128,128,32,32760,0.005860805860805861,0.20282860100269318,0.058367662131786346,0.9982953667640686,0.02605590596795082
f81,0,token_topk_oracle,128,128,64,32760,0.007814407814407814,0.18065482378005981,0.04182036221027374,0.9991251826286316,0.02605590596795082
f81,0,block16_oracle,128,128,8,32760,0.004395604395604396,0.3096587359905243,0.2106635868549347,0.977558970451355,0.017790477722883224
f81,0,block16_oracle,128,128,16,32760,0.004884004884004884,0.22902429103851318,0.12176188081502914,0.9925594329833984,0.017790477722883224
f81,0,block16_oracle,128,128,32,32760,0.005860805860805861,0.19193091988563538,0.06942204385995865,0.9975874423980713,0.017790477722883224
f81,0,block16_oracle,128,128,64,32760,0.007814407814407814,0.1661091148853302,0.04579992964863777,0.998950719833374,0.017790477722883224
f81,0,block32_oracle,128,128,8,32760,0.004395604395604396,0.31090980768203735,0.21144212782382965,0.9773907661437988,0.016685521230101585
f81,0,block32_oracle,128,128,16,32760,0.004884004884004884,0.2277933955192566,0.11787865310907364,0.9930280447006226,0.016685521230101585
f81,0,block32_oracle,128,128,32,32760,0.005860805860805861,0.1883430778980255,0.07232853025197983,0.9973808526992798,0.016685521230101585
f81,0,block32_oracle,128,128,64,32760,0.007814407814407814,0.1609009951353073,0.046985652297735214,0.9988955855369568,0.016685521230101585
f81,0,block64_oracle,128,128,8,32760,0.004395604395604396,0.3115389943122864,0.21236397325992584,0.9771907329559326,0.015802187845110893
f81,0,block64_oracle,128,128,16,32760,0.004884004884004884,0.22688457369804382,0.1143447682261467,0.993441104888916,0.015802187845110893
f81,0,block64_oracle,128,128,32,32760,0.005860805860805861,0.18627889454364777,0.07292262464761734,0.9973376989364624,0.015802187845110893
f81,0,block64_oracle,128,128,64,32760,0.007814407814407814,0.1578015685081482,0.048995036631822586,0.9987989664077759,0.015802187845110893
f81,0,block128_oracle,128,128,8,32760,0.004395604395604396,0.31194791197776794,0.21295520663261414,0.9770621657371521,0.015522944740951061
f81,0,block128_oracle,128,128,16,32760,0.004884004884004884,0.22695307433605194,0.11409023404121399,0.9934703707695007,0.015522944740951061
