model,weight_key,role,block_index,control,block_size,method,target_scalar_density,actual_scalar_density,retained_energy,relative_fro_error
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,identity_topk_oracle,0.015625,0.015625,0.1419042408110037,0.9263345827448073
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,row_fft_topk_oracle,0.015625,0.015625,0.09627040992165833,0.950646932398323
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,row_fft_lowfreq_static,0.015625,0.015625,0.011776655033084364,0.9940942334441517
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,column_fft_topk_oracle,0.015625,0.015625,0.09411435945355613,0.9517802480333598
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,column_fft_lowfreq_static,0.015625,0.015625,0.030096295738394754,0.984836892211906
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,fft2_topk_oracle,0.015625,0.015625,0.08077488140694865,0.9587622847155864
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,fft2_lowfreq_static,0.015625,0.015625,0.019894281500711073,0.9900028881267412
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,identity_topk_oracle,0.0625,0.0625,0.3486785393474869,0.807044893827173
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,row_fft_topk_oracle,0.0625,0.0625,0.26928664549185305,0.8548177317464507
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,row_fft_lowfreq_static,0.0625,0.0625,0.057011691396430184,0.9710758511071984
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,column_fft_topk_oracle,0.0625,0.0625,0.25674025348198576,0.8621251339092337
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,column_fft_lowfreq_static,0.0625,0.0625,0.08050374455607785,0.9589036737044666
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,fft2_topk_oracle,0.0625,0.0625,0.236038122634351,0.8740491275469869
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,fft2_lowfreq_static,0.0625,0.0625,0.06979189789651723,0.9644729659785611
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,identity_topk_oracle,0.125,0.125,0.5182356353411868,0.6940924755814698
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,row_fft_topk_oracle,0.125,0.125,0.42206370317587744,0.7602212157156117
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,row_fft_lowfreq_static,0.125,0.125,0.12147094075207268,0.9372988100109417
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,column_fft_topk_oracle,0.125,0.125,0.4113166836327207,0.7672570080274792
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,column_fft_lowfreq_static,0.125,0.125,0.1454412417655813,0.924423473433263
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,fft2_topk_oracle,0.125,0.125,0.3875904831568753,0.7825659824213704
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,fft2_lowfreq_static,0.125,0.125,0.1346842688280707,0.9302234845304268
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,identity_topk_oracle,0.25,0.25,0.7249867576405156,0.5244170500274419
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,row_fft_topk_oracle,0.25,0.25,0.6294338391216987,0.6087414565136018
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,row_fft_lowfreq_static,0.25,0.25,0.2453080269966827,0.8687300921479106
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,column_fft_topk_oracle,0.25,0.25,0.6211177176507826,0.6155341439345322
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,column_fft_lowfreq_static,0.25,0.25,0.2622587036646836,0.8589186785344212
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,fft2_topk_oracle,0.25,0.25,0.602456545792964,0.6305104711319519
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,original,64,fft2_lowfreq_static,0.25,0.25,0.26395263277529696,0.8579320294899259
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,identity_topk_oracle,0.015625,0.015625,0.1419042408110037,0.9263345827448073
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,row_fft_topk_oracle,0.015625,0.015625,0.09951495742714865,0.9489389034984557
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,row_fft_lowfreq_static,0.015625,0.015625,0.011776655033084369,0.9940942334441517
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,column_fft_topk_oracle,0.015625,0.015625,0.09118052397383218,0.9533202379191201
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,column_fft_lowfreq_static,0.015625,0.015625,0.03009629573839476,0.984836892211906
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,fft2_topk_oracle,0.015625,0.015625,0.08311023035087714,0.9575436124005646
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,fft2_lowfreq_static,0.015625,0.015625,0.016874379391074116,0.991526913708814
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,identity_topk_oracle,0.0625,0.0625,0.3486785393474869,0.807044893827173
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,row_fft_topk_oracle,0.0625,0.0625,0.2598027687804054,0.8603471573845028
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,row_fft_lowfreq_static,0.0625,0.0625,0.06051036791671741,0.9692727335911614
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,column_fft_topk_oracle,0.0625,0.0625,0.2491783387042092,0.8664996602975622
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,column_fft_lowfreq_static,0.0625,0.0625,0.07339522717023743,0.9626031232183712
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,fft2_topk_oracle,0.0625,0.0625,0.23999998105351497,0.8717797995746891
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,fft2_lowfreq_static,0.0625,0.0625,0.07100921829955861,0.963841678752502
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,identity_topk_oracle,0.125,0.125,0.5182356353411868,0.6940924755814698
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,row_fft_topk_oracle,0.125,0.125,0.41145605361649323,0.7671661791186488
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,row_fft_lowfreq_static,0.125,0.125,0.12672612296719565,0.9344912396768652
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,column_fft_topk_oracle,0.125,0.125,0.39807690986977656,0.7758370254958341
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,column_fft_lowfreq_static,0.125,0.125,0.140531097987263,0.9270754564827703
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,fft2_topk_oracle,0.125,0.125,0.38805326946299795,0.7822702413725081
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,fft2_lowfreq_static,0.125,0.125,0.12818818218205014,0.9337086364696162
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,identity_topk_oracle,0.25,0.25,0.7249867576405156,0.5244170500274419
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,row_fft_topk_oracle,0.25,0.25,0.6182145937425185,0.6178878589659142
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,rowcol_shuffled,64,row_fft_lowfreq_static,0.25,0.25,0.25858637659296274,0.8610537865935189
