case,token_rows,input_shape,layer,hidden_dim,ffn_dim,dtype,path,status,setup_ms,amortization_calls,amortized_latency_ms,notes,latency_ms_min,latency_ms_median,latency_ms_p95,latency_ms_max,latency_ms_mean,bitwise_equal,max_abs,relative_l2,peak_allocated_bytes,peak_reserved_bytes,incremental_peak_allocated_bytes
F17,7800,1x7800x1536,0,1536,8960,torch.bfloat16,eager,ok,0.0,40,0.707423985004425,checkpoint FFN eager reference,0.705344021320343,0.707423985004425,0.7094928056001664,0.7158399820327759,0.7076588809490204,True,0.0,0.0,442577408,541065216,304979968
F17,7800,1x7800x1536,0,1536,8960,torch.bfloat16,cuda_graph_eager_static,ok,9.487540984991938,40,0.9294765359372832,static-address CUDA Graph replay of the complete eager FFN; input-copy and integration into a larger graph are excluded,0.6880639791488647,0.6922880113124847,0.7323568135499954,0.7337599992752075,0.7079231977462769,True,0.0,0.0,535746048,851443712,398148608
F17,7800,1x7800x1536,0,1536,8960,torch.bfloat16,compile_default,ok,3099.7407610411756,40,78.26825504301814,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.7715839743614197,0.7747360169887543,0.7787519901990891,0.7840960025787354,0.7751135945320129,False,0.125,0.0020906017354055738,419197440,520093696,281600000
F17,7800,1x7800x1536,0,1536,8960,torch.bfloat16,compile_reduce-overhead,ok,333.0724739935249,40,9.136619835859165,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.8056640028953552,0.8098079860210419,0.8187952041625977,0.821120023727417,0.8102502405643464,False,0.125,0.0020906017354055738,339973632,668991488,202376192
F17,7800,1x7800x1536,0,1536,8960,torch.bfloat16,compile_max-autotune,ok,14770.394160994329,40,370.0749260248849,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.8015040159225464,0.8150720000267029,0.825854417681694,0.8328959941864014,0.8149766409397126,False,0.125,0.0020906017354055738,480499712,782237696,342902272
F81,32760,1x32760x1536,0,1536,8960,torch.bfloat16,eager,ok,0.0,40,3.1404958963394165,checkpoint FFN eager reference,2.9138879776000977,3.1404958963394165,3.3146239042282106,3.5302720069885254,3.164831352233887,True,0.0,0.0,1566020096,1981808640,1251082240
F81,32760,1x32760x1536,0,1536,8960,torch.bfloat16,cuda_graph_eager_static,ok,14.317994995508343,40,3.507053874025587,static-address CUDA Graph replay of the complete eager FFN; input-copy and integration into a larger graph are excluded,3.0288639068603516,3.1491039991378784,3.279806363582611,3.302112102508545,3.1650380992889406,True,0.0,0.0,1735865856,3019898880,1420928000
F81,32760,1x32760x1536,0,1536,8960,torch.bfloat16,compile_default,ok,1697.3398699774407,40,45.73944882157957,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,2.9733119010925293,3.3059520721435547,3.3385727167129513,3.5530240535736084,3.220726408958435,False,0.25,0.00209078538756784,1249300992,1642070016,934363136
F81,32760,1x32760x1536,0,1536,8960,torch.bfloat16,compile_reduce-overhead,ok,305.83729298086837,40,10.937228329770733,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.1063361167907715,3.2912960052490234,3.4302383780479433,4.014336109161377,3.3272934484481813,False,0.25,0.00209078538756784,1079481856,1981808640,764544000
F81,32760,1x32760x1536,0,1536,8960,torch.bfloat16,compile_max-autotune,ok,15778.095132962335,40,397.86317830422195,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.174015998840332,3.410799980163574,3.4411231875419617,3.4551680088043213,3.3877478218078614,False,0.25,0.00209078538756784,1527265280,2950692864,1212327424
F17,7800,1x7800x1536,14,1536,8960,torch.bfloat16,eager,ok,0.0,40,0.7531840205192566,checkpoint FFN eager reference,0.7450559735298157,0.7531840205192566,0.7790688067674637,0.7848960161209106,0.7577932822704315,True,0.0,0.0,442577408,641728512,204316672
F17,7800,1x7800x1536,14,1536,8960,torch.bfloat16,cuda_graph_eager_static,ok,7.610056025441736,40,0.8941714073880576,static-address CUDA Graph replay of the complete eager FFN; input-copy and integration into a larger graph are excluded,0.6994240283966064,0.7039200067520142,0.7410512119531631,0.7432960271835327,0.7169324803352356,True,0.0,0.0,535746048,851443712,297485312
F17,7800,1x7800x1536,14,1536,8960,torch.bfloat16,compile_default,ok,83.64741003606468,40,2.8751692563528195,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.7798720002174377,0.7839840054512024,0.7952848106622696,0.7963839769363403,0.7863775992393494,False,0.25,0.00388485501228578,419197440,520093696,180936704
F17,7800,1x7800x1536,14,1536,8960,torch.bfloat16,compile_reduce-overhead,ok,86.32575499359518,40,2.9764638809720054,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.8124160170555115,0.8183200061321259,0.8326480090618134,0.8341119885444641,0.822595843076706,False,0.25,0.00388485501228578,326030848,631242752,87770112
F17,7800,1x7800x1536,14,1536,8960,torch.bfloat16,compile_max-autotune,ok,117.3027700278908,40,3.7438972445670515,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,0.8069760203361511,0.8113279938697815,0.8191056102514267,0.8312320113182068,0.812098559141159,False,0.25,0.00388485501228578,326030848,526385152,87770112
F81,32760,1x32760x1536,14,1536,8960,torch.bfloat16,eager,ok,0.0,40,3.2840960025787354,checkpoint FFN eager reference,2.9730560779571533,3.2840960025787354,3.305083119869232,3.312000036239624,3.237034864425659,True,0.0,0.0,1566020096,1981808640,1251082240
F81,32760,1x32760x1536,14,1536,8960,torch.bfloat16,cuda_graph_eager_static,ok,14.511408982798457,40,3.6159051700960845,static-address CUDA Graph replay of the complete eager FFN; input-copy and integration into a larger graph are excluded,2.9028160572052,3.253119945526123,3.2853344559669493,3.2876479625701904,3.2196467304229737,True,0.0,0.0,1735865856,3019898880,1420928000
F81,32760,1x32760x1536,14,1536,8960,torch.bfloat16,compile_default,ok,88.68873800383881,40,5.524258545425255,full FFN torch.compile path; backend fusion is implementation-dependent and no GEMM-epilogue fusion is claimed,3.0001919269561768,3.3070400953292847,3.406281507015228,3.6797759532928467,3.285795183181763,False,0.25,0.0038870037160149903,1249300992,1642070016,934363136
