split,mask,rank,evaluations,coefficient_oracle_error_mean,coefficient_oracle_error_p95,coefficient_oracle_error_max,coefficient_oracle_strict_2pct_go,coefficient_oracle_relaxed_5pct_go,frozen_basis_energy_mean,frozen_basis_energy_p05,subspace_overlap_mean,subspace_overlap_p05,basis_energy_overlap_go,ridge_enabled,ridge_error_mean,ridge_error_p95,ridge_error_max,ridge_strict_2pct_go,ridge_relaxed_5pct_go
test,s3_temporal_pm2,8,48,0.1231527195001642,0.2529633939266205,0.2529633939266205,False,False,0.7587392234590721,0.4844784218860443,0.6634081055720648,0.3805713653564453,False,True,0.18937231972813606,0.3103669583797455,0.3103669583797455,False,False
test,s3_temporal_pm2,16,48,0.08628308726474643,0.18685689568519592,0.18685689568519592,False,False,0.8963526776180811,0.7568697854500506,0.7467437734206518,0.6655883193016052,False,True,0.1763644473006328,0.2766067385673523,0.2766067385673523,False,False
test,s3_tfull,8,48,0.18917789806922278,0.3465281128883362,0.3465281128883362,False,False,0.761183169074362,0.5589448117898973,0.7110805809497833,0.6326887011528015,False,True,0.31174655134479207,0.5485888719558716,0.5485888719558716,False,False
test,s3_tfull,16,48,0.13176604608694711,0.2309075891971588,0.2309075891971588,False,False,0.8940687491858106,0.7732952666137922,0.759421115120252,0.6644972562789917,False,True,0.30390083603560925,0.5556820631027222,0.5556820631027222,False,False
test,s3_tfull_anchor12,8,48,0.17662625014781952,0.33839792013168335,0.33839792013168335,False,False,0.75010683643947,0.5545755498810976,0.7030895501375198,0.6119981408119202,False,True,0.30026610133548576,0.5456750392913818,0.5456750392913818,False,False
test,s3_tfull_anchor12,16,48,0.12179247227807839,0.2255956083536148,0.2255956083536148,False,False,0.8894000001082797,0.7706554135926067,0.7601724117994308,0.6592938303947449,False,True,0.2954804301261902,0.5562777519226074,0.5562777519226074,False,False
validation,s3_temporal_pm2,8,24,0.0966785626175503,0.20436429381370536,0.21155627071857452,False,False,0.8860388796128676,0.7567527283967058,1.0000001639127731,0.9999997109174729,False,True,0.09667856898158789,0.2043642856180667,0.21155625581741333,False,False
validation,s3_temporal_pm2,16,24,0.05501584064525863,0.1209486380219459,0.12481853365898132,False,False,0.9659745975532061,0.9114760581698516,1.0000000993410747,0.9999996691942215,True,True,0.05501584863911072,0.12094866111874575,0.12481856346130371,False,False
validation,s3_tfull,8,24,0.15818614698946476,0.29988203719258294,0.31122907996177673,False,False,0.8359859371677673,0.6770103794056581,1.0000000844399135,0.9999994307756424,False,True,0.15818614388505617,0.29988203719258294,0.31122907996177673,False,False
validation,s3_tfull,16,24,0.0905318862448136,0.18233158141374578,0.18977636098861694,False,False,0.948163382488695,0.8809193246610169,1.000000034769376,0.9999996423721313,True,True,0.09053189028054476,0.18233162984251963,0.18977642059326172,False,False
validation,s3_tfull_anchor12,8,24,0.13481072771052519,0.2828704774379728,0.3013243079185486,False,False,0.8375096181140079,0.678846765433991,1.0000001688798268,0.9999991893768311,False,True,0.13481072274347147,0.28287044763565034,0.3013242781162262,False,False
validation,s3_tfull_anchor12,16,24,0.07746790070086718,0.1727305687963961,0.18430636823177338,False,False,0.9483597440733208,0.8810158444060611,1.0000000844399135,0.999999576807022,True,True,0.07746790597836177,0.17273058593273147,0.18430638313293457,False,False
