split,sample_id,layer,sampling_step,timestep,branch,mask,heads,sparse_heads,dense_heads,sparse_execution_density,effective_execution_density,output_relative_l2_energy_proxy,gate_passed
validation,s01_p01_seed20260740,0,0,999.0,cond,s3,12,0,12,0.015228076837956905,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,cond,s3_temporal_pm2,12,0,12,0.07178950309753418,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,cond,s3_tfull,12,0,12,0.06011082977056503,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,cond,s3_tfull_anchor12,12,0,12,0.08589551597833633,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,cond,s5,12,0,12,0.03253999724984169,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,cond,s5_tfull,12,0,12,0.07742274552583694,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,uncond,s3,12,0,12,0.015228076837956905,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,uncond,s3_temporal_pm2,12,0,12,0.07178950309753418,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,uncond,s3_tfull,12,0,12,0.06011082977056503,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,uncond,s3_tfull_anchor12,12,0,12,0.08589551597833633,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,uncond,s5,12,0,12,0.03253999724984169,1.0,0.0,False
validation,s01_p01_seed20260740,0,0,999.0,uncond,s5_tfull,12,0,12,0.07742274552583694,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,cond,s3,12,0,12,0.015228076837956905,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,cond,s3_temporal_pm2,12,0,12,0.07178950309753418,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,cond,s3_tfull,12,0,12,0.06011082977056503,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,cond,s3_tfull_anchor12,12,0,12,0.08589551597833633,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,cond,s5,12,0,12,0.03253999724984169,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,cond,s5_tfull,12,0,12,0.07742274552583694,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,uncond,s3,12,0,12,0.015228076837956905,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,uncond,s3_temporal_pm2,12,0,12,0.07178950309753418,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,uncond,s3_tfull,12,0,12,0.06011082977056503,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,uncond,s3_tfull_anchor12,12,0,12,0.08589551597833633,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,uncond,s5,12,0,12,0.03253999724984169,1.0,0.0,False
test,s02_p00_seed20260741,0,0,999.0,uncond,s5_tfull,12,0,12,0.07742274552583694,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,cond,s3,12,0,12,0.015228076837956905,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,cond,s3_temporal_pm2,12,0,12,0.07178950309753418,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,cond,s3_tfull,12,0,12,0.06011082977056503,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,cond,s3_tfull_anchor12,12,0,12,0.08589551597833633,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,cond,s5,12,0,12,0.03253999724984169,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,cond,s5_tfull,12,0,12,0.07742274552583694,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,uncond,s3,12,0,12,0.015228076837956905,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,uncond,s3_temporal_pm2,12,0,12,0.07178950309753418,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,uncond,s3_tfull,12,0,12,0.06011082977056503,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,uncond,s3_tfull_anchor12,12,0,12,0.08589551597833633,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,uncond,s5,12,0,12,0.03253999724984169,1.0,0.0,False
test,s03_p02_seed20260741,0,0,999.0,uncond,s5_tfull,12,0,12,0.07742274552583694,1.0,0.0,False
