split,sample_id,mask,cells,gate_pass_rate,max_output_relative_l2,mean_effective_execution_density,max_dense_heads,all_cells_passed
validation,s01_p01_seed20260740,s3,2,0.0,0.0,1.0,12,False
validation,s01_p01_seed20260740,s3_temporal_pm2,2,0.0,0.0,1.0,12,False
validation,s01_p01_seed20260740,s3_tfull,2,0.0,0.0,1.0,12,False
validation,s01_p01_seed20260740,s3_tfull_anchor12,2,0.0,0.0,1.0,12,False
validation,s01_p01_seed20260740,s5,2,0.0,0.0,1.0,12,False
validation,s01_p01_seed20260740,s5_tfull,2,0.0,0.0,1.0,12,False
test,s02_p00_seed20260741,s3,2,0.0,0.0,1.0,12,False
test,s02_p00_seed20260741,s3_temporal_pm2,2,0.0,0.0,1.0,12,False
test,s02_p00_seed20260741,s3_tfull,2,0.0,0.0,1.0,12,False
test,s02_p00_seed20260741,s3_tfull_anchor12,2,0.0,0.0,1.0,12,False
test,s02_p00_seed20260741,s5,2,0.0,0.0,1.0,12,False
test,s02_p00_seed20260741,s5_tfull,2,0.0,0.0,1.0,12,False
test,s03_p02_seed20260741,s3,2,0.0,0.0,1.0,12,False
test,s03_p02_seed20260741,s3_temporal_pm2,2,0.0,0.0,1.0,12,False
test,s03_p02_seed20260741,s3_tfull,2,0.0,0.0,1.0,12,False
test,s03_p02_seed20260741,s3_tfull_anchor12,2,0.0,0.0,1.0,12,False
test,s03_p02_seed20260741,s5,2,0.0,0.0,1.0,12,False
test,s03_p02_seed20260741,s5_tfull,2,0.0,0.0,1.0,12,False
