block,projection,bits,method,rank,clip,sparse_ratio,validation_relative_l2,test_relative_l2,defect_energy_captured_test,subspace_overlap,correction_vs_quant_error_cosine,residual_vs_correction_cosine,estimated_stored_bits,estimated_extra_ops,lowrank_values,sparse_values,sparse_blocks,local_error_2pct_go,subspace_overlap_07_go,rank_energy_07_go,combined_gate,weight_error_rank_energy,alternating_iterations,calibration_defect_rank_energy
0,down,4,ptq_only,0,0.65,0.0,0.0310834813863039,0.030287127941846848,0.0,,,,55050240,0,0,0,0,False,False,False,False,,,
0,down,4,ptq_weight_svd,8,0.65,0.0,,0.029985256493091583,0.01983377916647,,-0.1408490240573883,-0.0011916509829461575,56393728,107479040,83968,0,0,False,False,False,False,0.021233086383044254,,
0,down,4,joint_residual_shaped_ptq_lr,8,0.65,0.0,0.01839497499167919,0.027286404743790627,0.6359185742353493,0.548938512802124,-0.7974652051925659,0.002490407321602106,56393728,107479040,83968,0,0,False,False,False,False,,2,0.933904963425354
0,down,4,ptq_activation_lr,8,0.65,0.0,,0.02734747715294361,0.18470138286924465,0.204548180103302,-0.42980262637138367,0.004750414751470089,56393728,107479040,83968,0,0,False,False,False,False,,,0.6420851261564086
0,down,4,joint_shaped_ptq_lr,8,0.65,0.0,0.018579382449388504,0.02733721397817135,0.18530995338001133,0.19650998711585999,-0.4305141866207123,0.005185002461075783,56393728,107479040,83968,0,0,False,False,False,False,,,0.6443148632878964
0,down,4,joint_shaped_ptq_lr_block_sparse,8,0.65,0.01,0.018371887505054474,0.02709776721894741,0.1833705371164881,0.20804853737354279,-0.4282524585723877,0.0047837975434958935,58622496,285736960,83968,139264,17,False,False,False,False,,,0.6414671856514934
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,8,0.65,0.01,0.01818438619375229,0.026995161548256874,0.63580417740398,0.5479450821876526,-0.7973950505256653,0.0020649470388889313,58622496,285736960,83968,139264,17,False,False,False,False,,2,0.9331267173929283
0,down,4,joint_shaped_ptq_lr_block_sparse,8,0.65,0.02,0.018184006214141846,0.02688569761812687,0.18299530705741862,0.20788820087909698,-0.427818238735199,0.0052113463170826435,60851264,463994880,83968,278528,34,False,False,False,False,,,0.6413151345928922
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,8,0.65,0.02,0.017939675599336624,0.026697589084506035,0.635910040927959,0.5481128692626953,-0.7974676489830017,0.00508939940482378,60851264,463994880,83968,278528,34,False,False,False,False,,2,0.9335670317719971
0,down,4,ptq_weight_svd,16,0.65,0.0,,0.029722457751631737,0.03694278102183135,,-0.19229933619499207,0.005600148346275091,57737216,214958080,167936,0,0,False,False,False,False,0.038900196435447516,,
