scope,method,correction,records,captures,aggregate_relative_av_l2,mean_head_relative_av_l2,worst_head_relative_av_l2,minimum_cache_compression_ratio,maximum_dense_reference_parity
validation,adaptive_tail_forward_marginal_greedy,adaptive_rank16_bf16_coeff,12,1,0.04691624012123577,0.042022958708306156,0.0760209709405899,1.5028880917844127,0.0012964833294972777
validation,adaptive_tail_forward_marginal_greedy,adaptive_rank16_fp32_coeff,12,1,0.04691218289867896,0.04201753421997031,0.07600859552621841,1.5028880917844127,0.0012964833294972777
validation,adaptive_tail_forward_marginal_greedy,none_bf16_coeff,12,1,0.10197695838530668,0.10447964817285538,0.13699334859848022,1.5028880917844127,0.0012964833294972777
validation,adaptive_tail_forward_marginal_greedy,none_fp32_coeff,12,1,0.10196855667974378,0.10446883117159207,0.13698267936706543,1.5028880917844127,0.0012964833294972777
validation,adaptive_tail_singleton_selector,adaptive_rank16_bf16_coeff,12,1,0.048813754390708966,0.042388127806286015,0.08375173062086105,1.5028880917844127,0.0012964833294972777
validation,adaptive_tail_singleton_selector,adaptive_rank16_fp32_coeff,12,1,0.04881261051709064,0.042385846842080355,0.0837501809000969,1.5028880917844127,0.0012964833294972777
validation,adaptive_tail_singleton_selector,none_bf16_coeff,12,1,0.10016241591123033,0.10167423635721207,0.14455083012580872,1.5028880917844127,0.0012964833294972777
validation,adaptive_tail_singleton_selector,none_fp32_coeff,12,1,0.10016235224618641,0.1016722188020746,0.14454051852226257,1.5028880917844127,0.0012964833294972777
validation,kv_detail_energy,adaptive_rank16_bf16_coeff,12,1,0.08014132348395993,0.06609236619745691,0.14123959839344025,1.5028880917844127,0.0012964833294972777
validation,kv_detail_energy,adaptive_rank16_fp32_coeff,12,1,0.08013692609024776,0.06608833139762282,0.14122338593006134,1.5028880917844127,0.0012964833294972777
validation,kv_detail_energy,none_bf16_coeff,12,1,0.15437234192829452,0.15005449391901493,0.233016237616539,1.5028880917844127,0.0012964833294972777
validation,kv_detail_energy,none_fp32_coeff,12,1,0.15437545328179922,0.15005546621978283,0.23300069570541382,1.5028880917844127,0.0012964833294972777
test,adaptive_tail_forward_marginal_greedy,adaptive_rank16_bf16_coeff,12,1,0.03995707839657136,0.03624175535514951,0.06683456152677536,1.5028880917844127,0.001319877221249044
test,adaptive_tail_forward_marginal_greedy,adaptive_rank16_fp32_coeff,12,1,0.039951388947522044,0.03623696820189556,0.0668218806385994,1.5028880917844127,0.001319877221249044
test,adaptive_tail_forward_marginal_greedy,none_bf16_coeff,12,1,0.08569150278349603,0.08736576388279597,0.1180424839258194,1.5028880917844127,0.001319877221249044
test,adaptive_tail_forward_marginal_greedy,none_fp32_coeff,12,1,0.08568299727786344,0.08735557459294796,0.11803380399942398,1.5028880917844127,0.001319877221249044
test,adaptive_tail_singleton_selector,adaptive_rank16_bf16_coeff,12,1,0.04259076527270908,0.03810653338829676,0.07029566168785095,1.5028880917844127,0.001319877221249044
test,adaptive_tail_singleton_selector,adaptive_rank16_fp32_coeff,12,1,0.042594218591196116,0.038110293758412205,0.07028631865978241,1.5028880917844127,0.001319877221249044
test,adaptive_tail_singleton_selector,none_bf16_coeff,12,1,0.0915718263022482,0.09238366534312566,0.1248018816113472,1.5028880917844127,0.001319877221249044
test,adaptive_tail_singleton_selector,none_fp32_coeff,12,1,0.09157876086759652,0.09238976736863454,0.12479697167873383,1.5028880917844127,0.001319877221249044
test,kv_detail_energy,adaptive_rank16_bf16_coeff,12,1,0.07312357766001173,0.06352315222223599,0.1118118092417717,1.5028880917844127,0.001319877221249044
test,kv_detail_energy,adaptive_rank16_fp32_coeff,12,1,0.07311737133240961,0.0635196166113019,0.11180207133293152,1.5028880917844127,0.001319877221249044
test,kv_detail_energy,none_bf16_coeff,12,1,0.15311588800962178,0.14885525840024152,0.1940050572156906,1.5028880917844127,0.001319877221249044
test,kv_detail_energy,none_fp32_coeff,12,1,0.15310299411492345,0.14884547516703606,0.19404494762420654,1.5028880917844127,0.001319877221249044
held_out,adaptive_tail_forward_marginal_greedy,adaptive_rank16_bf16_coeff,24,2,0.043639386449361973,0.03913235703172783,0.0760209709405899,1.5028880917844127,0.001319877221249044
held_out,adaptive_tail_forward_marginal_greedy,adaptive_rank16_fp32_coeff,24,2,0.043634608615284766,0.03912725121093293,0.07600859552621841,1.5028880917844127,0.001319877221249044
held_out,adaptive_tail_forward_marginal_greedy,none_bf16_coeff,24,2,0.09433556885224202,0.09592270602782567,0.13699334859848022,1.5028880917844127,0.001319877221249044
held_out,adaptive_tail_forward_marginal_greedy,none_fp32_coeff,24,2,0.09432715221701712,0.09591220288227002,0.13698267936706543,1.5028880917844127,0.001319877221249044
held_out,adaptive_tail_singleton_selector,adaptive_rank16_bf16_coeff,24,2,0.045864966897813796,0.04024733059729139,0.08375173062086105,1.5028880917844127,0.001319877221249044
held_out,adaptive_tail_singleton_selector,adaptive_rank16_fp32_coeff,24,2,0.04586592106770702,0.040248070300246276,0.0837501809000969,1.5028880917844127,0.001319877221249044
held_out,adaptive_tail_singleton_selector,none_bf16_coeff,24,2,0.09604198092962296,0.09702895085016887,0.14455083012580872,1.5028880917844127,0.001319877221249044
held_out,adaptive_tail_singleton_selector,none_fp32_coeff,24,2,0.09604519244907841,0.09703099308535457,0.14454051852226257,1.5028880917844127,0.001319877221249044
held_out,kv_detail_energy,adaptive_rank16_bf16_coeff,24,2,0.0767770151626953,0.06480775920984645,0.14123959839344025,1.5028880917844127,0.001319877221249044
held_out,kv_detail_energy,adaptive_rank16_fp32_coeff,24,2,0.0767717767452974,0.06480397400446236,0.14122338593006134,1.5028880917844127,0.001319877221249044
held_out,kv_detail_energy,none_bf16_coeff,24,2,0.15375692241572908,0.14945487615962824,0.233016237616539,1.5028880917844127,0.001319877221249044
held_out,kv_detail_energy,none_fp32_coeff,24,2,0.15375221088383548,0.14945047069340944,0.23300069570541382,1.5028880917844127,0.001319877221249044
all,adaptive_tail_forward_marginal_greedy,adaptive_rank16_bf16_coeff,24,2,0.043639386449361973,0.03913235703172783,0.0760209709405899,1.5028880917844127,0.001319877221249044
all,adaptive_tail_forward_marginal_greedy,adaptive_rank16_fp32_coeff,24,2,0.043634608615284766,0.03912725121093293,0.07600859552621841,1.5028880917844127,0.001319877221249044
all,adaptive_tail_forward_marginal_greedy,none_bf16_coeff,24,2,0.09433556885224202,0.09592270602782567,0.13699334859848022,1.5028880917844127,0.001319877221249044
all,adaptive_tail_forward_marginal_greedy,none_fp32_coeff,24,2,0.09432715221701712,0.09591220288227002,0.13698267936706543,1.5028880917844127,0.001319877221249044
all,adaptive_tail_singleton_selector,adaptive_rank16_bf16_coeff,24,2,0.045864966897813796,0.04024733059729139,0.08375173062086105,1.5028880917844127,0.001319877221249044
all,adaptive_tail_singleton_selector,adaptive_rank16_fp32_coeff,24,2,0.04586592106770702,0.040248070300246276,0.0837501809000969,1.5028880917844127,0.001319877221249044
all,adaptive_tail_singleton_selector,none_bf16_coeff,24,2,0.09604198092962296,0.09702895085016887,0.14455083012580872,1.5028880917844127,0.001319877221249044
all,adaptive_tail_singleton_selector,none_fp32_coeff,24,2,0.09604519244907841,0.09703099308535457,0.14454051852226257,1.5028880917844127,0.001319877221249044
all,kv_detail_energy,adaptive_rank16_bf16_coeff,24,2,0.0767770151626953,0.06480775920984645,0.14123959839344025,1.5028880917844127,0.001319877221249044
all,kv_detail_energy,adaptive_rank16_fp32_coeff,24,2,0.0767717767452974,0.06480397400446236,0.14122338593006134,1.5028880917844127,0.001319877221249044
all,kv_detail_energy,none_bf16_coeff,24,2,0.15375692241572908,0.14945487615962824,0.233016237616539,1.5028880917844127,0.001319877221249044
all,kv_detail_energy,none_fp32_coeff,24,2,0.15375221088383548,0.14945047069340944,0.23300069570541382,1.5028880917844127,0.001319877221249044
