split,sampling_step,branch,layer,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,0,cond,0,oracle_linear,16,12,0.33116848502929014,0.8329169452190399,0.016773476472592863,0.022869099104925062,0.028429942218624864,0.03045093002877311
calibration,0,cond,0,oracle_linear,32,12,0.33116848502929014,0.9999999155600866,2.4169559564983465e-06,3.2952981089945377e-06,3.5090912677679224e-06,3.5516056596092283e-06
calibration,0,cond,0,oracle_linear,64,12,0.33116848502929014,0.9999999950329462,2.4081954966977957e-06,3.2833540243135316e-06,3.5086607759097702e-06,3.549322628867938e-06
calibration,0,cond,0,oracle_linear,8,12,0.33116848502929014,0.6715933755040169,0.0320762025085997,0.04373296467654799,0.05135230540292694,0.05246763419151123
calibration,0,cond,0,oracle_nonnegative,16,12,0.33116848502929014,0.8329169452190399,0.01677356388510805,0.02286921828388454,0.02843000734509802,0.03045093465552682
calibration,0,cond,0,oracle_nonnegative,32,12,0.33116848502929014,0.9999999155600866,2.4169995088862906e-06,3.2953574886871006e-06,3.5090912677679224e-06,3.5516056596092283e-06
calibration,0,cond,0,oracle_nonnegative,64,12,0.33116848502929014,0.9999999950329462,2.408176884973224e-06,3.283328648931485e-06,3.5086607759097702e-06,3.549322628867938e-06
calibration,0,cond,0,oracle_nonnegative,8,12,0.33116848502929014,0.6715933755040169,0.032072190333189345,0.04372749444279914,0.05134326572641272,0.05244752963463679
calibration,0,cond,0,ridge_linear,16,12,0.33116848502929014,0.8329169452190399,0.016873987149229795,0.023006136208048488,0.028546555414703363,0.030634647409086634
calibration,0,cond,0,ridge_linear,32,12,0.33116848502929014,0.9999999155600866,0.0008393229759269506,0.0011443400149561808,0.0010582506617201788,0.0011755081430617946
calibration,0,cond,0,ridge_linear,64,12,0.33116848502929014,0.9999999950329462,0.0008393216565501814,0.0011443382161067806,0.0010582544621067854,0.0011755116672631878
calibration,0,cond,0,ridge_linear,8,12,0.33116848502929014,0.6715933755040169,0.03213386461230725,0.04381158167442801,0.05142421317383196,0.05250788294289934
calibration,0,cond,0,ridge_nonnegative,16,12,0.33116848502929014,0.8329169452190399,0.0168740822425474,0.023006265859078674,0.028546605042420382,0.030634652008093493
calibration,0,cond,0,ridge_nonnegative,32,12,0.33116848502929014,0.9999999155600866,0.0008392703145453977,0.0011442682159850072,0.001058250507002683,0.0011755080777987063
calibration,0,cond,0,ridge_nonnegative,64,12,0.33116848502929014,0.9999999950329462,0.0008392689078982773,0.0011442662981504753,0.0010582543700641965,0.0011755116020002948
calibration,0,cond,0,ridge_nonnegative,8,12,0.33116848502929014,0.6715933755040169,0.03212996575601678,0.043806265940921706,0.05141532167564841,0.05248811042877366
calibration,0,cond,14,oracle_linear,16,12,0.08758802820617954,0.828634724020958,0.03576450524450867,0.19766619626464751,0.06915031544395042,0.09918205628022833
calibration,0,cond,14,oracle_linear,32,12,0.08758802820617954,0.9504514088233312,0.014249700399314275,0.07875641104460011,0.027141993973869873,0.034632941865691595
calibration,0,cond,14,oracle_linear,64,12,0.08758802820617954,0.9999999652306238,7.867297963301987e-06,4.3481626619881294e-05,1.404134648988751e-05,1.667163272428503e-05
calibration,0,cond,14,oracle_linear,8,12,0.08758802820617954,0.6724352836608887,0.06180851059595521,0.3416083377292493,0.12030712772690624,0.1754441382014778
calibration,0,cond,14,oracle_nonnegative,16,12,0.08758802820617954,0.828634724020958,0.03665580078241903,0.2025922814298671,0.07066921734632771,0.10147280045656479
calibration,0,cond,14,oracle_nonnegative,32,12,0.08758802820617954,0.9504514088233312,0.015012855146463918,0.08297427719426649,0.028636196240092206,0.03699880543787034
calibration,0,cond,14,oracle_nonnegative,64,12,0.08758802820617954,0.9999999652306238,7.843693164384387e-06,4.33511656842767e-05,1.40404779655584e-05,1.667135885051759e-05
calibration,0,cond,14,oracle_nonnegative,8,12,0.08758802820617954,0.6724352836608887,0.06249179497583094,0.34538476979265165,0.12167956752291069,0.17684913690830456
calibration,0,cond,14,ridge_linear,16,12,0.08758802820617954,0.828634724020958,0.036741851185782305,0.20306787184565986,0.07146640115960803,0.10288402697267097
calibration,0,cond,14,ridge_linear,32,12,0.08758802820617954,0.9504514088233312,0.01569278857422921,0.08673218894114253,0.030460020987278118,0.04035970481047865
calibration,0,cond,14,ridge_linear,64,12,0.08758802820617954,0.9999999652306238,0.005386706789327277,0.02977169218922051,0.01125146058738618,0.01629520544949417
calibration,0,cond,14,ridge_linear,8,12,0.08758802820617954,0.6724352836608887,0.06195402204187715,0.3424125623041937,0.12086658236952807,0.1755720366046721
calibration,0,cond,14,ridge_nonnegative,16,12,0.08758802820617954,0.828634724020958,0.03752402444135807,0.20739085104508095,0.07275924604030601,0.10465893767138354
calibration,0,cond,14,ridge_nonnegative,32,12,0.08758802820617954,0.9504514088233312,0.016535853338576597,0.09139170831751882,0.03208964349797343,0.042896339703788505
calibration,0,cond,14,ridge_nonnegative,64,12,0.08758802820617954,0.9999999652306238,0.005563992417698323,0.030751528917644794,0.011635219951080664,0.016657555069543625
calibration,0,cond,14,ridge_nonnegative,8,12,0.08758802820617954,0.6724352836608887,0.06255552591952801,0.34573700319106815,0.1220653094439543,0.17673434592034548
calibration,0,cond,29,oracle_linear,16,12,0.3425658520621558,0.9055498540401459,0.0029155624577273573,0.004906774252088847,0.005698984451536675,0.006001766490570159
calibration,0,cond,29,oracle_linear,32,12,0.3425658520621558,0.9741351554791132,0.0009774641541713325,0.001645032824220912,0.002033909328370217,0.002152578373788061
calibration,0,cond,29,oracle_linear,64,12,0.3425658520621558,0.9999999205271403,1.9567575921394656e-06,3.293144259435087e-06,3.3678061195737497e-06,3.436153682798455e-06
calibration,0,cond,29,oracle_linear,8,12,0.3425658520621558,0.8335432360569636,0.005395965751304308,0.009081193147990914,0.009067268645787267,0.009315301279793183
calibration,0,cond,29,oracle_nonnegative,16,12,0.3425658520621558,0.9055498540401459,0.002914119763730467,0.004904346256166887,0.005696538633599426,0.006001766490570159
calibration,0,cond,29,oracle_nonnegative,32,12,0.3425658520621558,0.9741351554791132,0.0009777115138658902,0.0016454491206295324,0.002034523761472778,0.002153943780682641
calibration,0,cond,29,oracle_nonnegative,64,12,0.3425658520621558,0.9999999205271403,1.9546184242129765e-06,3.289544125925763e-06,3.362278668615916e-06,3.4285826488184e-06
calibration,0,cond,29,oracle_nonnegative,8,12,0.3425658520621558,0.8335432360569636,0.005394838265157434,0.009079295634192025,0.009067329381306652,0.009315301279793183
calibration,0,cond,29,ridge_linear,16,12,0.3425658520621558,0.9055498540401459,0.0031509379743301673,0.005302901771627233,0.005897599950875536,0.006287011927277205
calibration,0,cond,29,ridge_linear,32,12,0.3425658520621558,0.9741351554791132,0.0018148474965032468,0.0030543152809874644,0.003466934130272864,0.003547828664420763
calibration,0,cond,29,ridge_linear,64,12,0.3425658520621558,0.9999999205271403,0.0015054483720932752,0.002533609009286785,0.0027408137405347194,0.0031089979521421694
calibration,0,cond,29,ridge_linear,8,12,0.3425658520621558,0.8335432360569636,0.005543423398887942,0.00932935843305257,0.009559907268544433,0.00960859676767573
calibration,0,cond,29,ridge_nonnegative,16,12,0.3425658520621558,0.9055498540401459,0.0031844994165782193,0.005359384327934422,0.005897599950875536,0.006287011927277205
calibration,0,cond,29,ridge_nonnegative,32,12,0.3425658520621558,0.9741351554791132,0.0018749410723542942,0.0031554503501129297,0.0034669813508029215,0.003547828664420763
calibration,0,cond,29,ridge_nonnegative,64,12,0.3425658520621558,0.9999999205271403,0.0015773719597293894,0.002654653512036293,0.002740795709829084,0.0031089979521421694
calibration,0,cond,29,ridge_nonnegative,8,12,0.3425658520621558,0.8335432360569636,0.005561697704573311,0.00936011335389953,0.009559860697145428,0.009608493275677943
calibration,19,cond,0,oracle_linear,16,12,0.42589290886341286,0.8563641955455145,0.007179196903177836,0.008743588697388217,0.011305541013704852,0.01494970747360923
calibration,19,cond,0,oracle_linear,32,12,0.42589290886341286,0.9434309601783752,0.0022355477500738278,0.00272268755177406,0.0042338518635469235,0.004267631995948281
calibration,19,cond,0,oracle_linear,64,12,0.42589290886341286,0.9999999602635702,6.084898801896829e-06,7.410836212817313e-06,8.969190267270672e-06,1.316788826452723e-05
calibration,19,cond,0,oracle_linear,8,12,0.42589290886341286,0.7741309826572736,0.012637882200306465,0.015391755575976869,0.018517555957090065,0.02606358656466891
calibration,19,cond,0,oracle_nonnegative,16,12,0.42589290886341286,0.8563641955455145,0.0071836240123636114,0.008748980501285072,0.01131055137964877,0.014960931980520604
calibration,19,cond,0,oracle_nonnegative,32,12,0.42589290886341286,0.9434309601783752,0.0022332534306255974,0.0027198932858044406,0.004230568539814624,0.004267631995948281
calibration,19,cond,0,oracle_nonnegative,64,12,0.42589290886341286,0.9999999602635702,5.928447176067732e-06,7.2202928016619806e-06,8.781582772923509e-06,1.2787149782639996e-05
calibration,19,cond,0,oracle_nonnegative,8,12,0.42589290886341286,0.7741309826572736,0.01265575462658532,0.01541352251544297,0.018533699775395623,0.026099461716459035
calibration,19,cond,0,ridge_linear,16,12,0.42589290886341286,0.8563641955455145,0.008406790326930902,0.010238682386790194,0.013824543982522215,0.016852528431383528
calibration,19,cond,0,ridge_linear,32,12,0.42589290886341286,0.9434309601783752,0.005137059174138211,0.00625645641686291,0.009075389638086122,0.009390478171598686
calibration,19,cond,0,ridge_linear,64,12,0.42589290886341286,0.9999999602635702,0.004409738918044316,0.005370648539417854,0.007672563188049122,0.007871120871444263
