split,head_role,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,diffuse,oracle_linear,16,59,0.09902135316692924,0.8143175365561146,0.03779400713411339,0.19632944718962517,0.08861894629639418,0.1076170891677079
calibration,diffuse,oracle_linear,32,59,0.09902135316692924,0.9595792162216316,0.014911849196248567,0.07746294535230729,0.03236962203915831,0.0589634650714292
calibration,diffuse,oracle_linear,64,59,0.09902135316692924,0.9999999656515607,7.6481473202966e-06,3.9730016721707156e-05,1.6700115580957836e-05,2.0352624888191286e-05
calibration,diffuse,oracle_linear,8,59,0.09902135316692924,0.6609210240638862,0.06013322193794528,0.31237550913598805,0.14077378761342704,0.15270674634138842
calibration,diffuse,oracle_nonnegative,16,59,0.09902135316692924,0.8143175365561146,0.039157905377047726,0.203414522532602,0.09411927121855637,0.10919190089252308
calibration,diffuse,oracle_nonnegative,32,59,0.09902135316692924,0.9595792162216316,0.016110976559643386,0.0836920814036883,0.03443309545850582,0.06092242349641356
calibration,diffuse,oracle_nonnegative,64,59,0.09902135316692924,0.9999999656515607,7.575860695904424e-06,3.9354507637535174e-05,1.6698614465522333e-05,2.0345840323844965e-05
calibration,diffuse,oracle_nonnegative,8,59,0.09902135316692924,0.6609210240638862,0.06024876495927216,0.3129757232763735,0.14164848142921715,0.15362133533955394
calibration,diffuse,ridge_linear,16,59,0.09902135316692924,0.8143175365561146,0.038194358661707284,0.1984091629978778,0.08952883644196183,0.10871530765726715
calibration,diffuse,ridge_linear,32,59,0.09902135316692924,0.9595792162216316,0.015418322310742087,0.08009393354660141,0.0333186691151187,0.06003740772043509
calibration,diffuse,ridge_linear,64,59,0.09902135316692924,0.9999999656515607,0.003164284676108166,0.01643758649371097,0.007126832469909864,0.008694794694298912
calibration,diffuse,ridge_linear,8,59,0.09902135316692924,0.6609210240638862,0.06029531410282494,0.31321753324345214,0.14124319935596566,0.15324617118487532
calibration,diffuse,ridge_nonnegative,16,59,0.09902135316692924,0.8143175365561146,0.039506103495899676,0.20522331576122388,0.09485392521991023,0.11017817700590211
calibration,diffuse,ridge_nonnegative,32,59,0.09902135316692924,0.9595792162216316,0.016645929383760787,0.08647101383757409,0.035403636728007955,0.06206160967101338
calibration,diffuse,ridge_nonnegative,64,59,0.09902135316692924,0.9999999656515607,0.003308864583437307,0.017188639251359324,0.007451547322248477,0.008756129998126519
calibration,diffuse,ridge_nonnegative,8,59,0.09902135316692924,0.6609210240638862,0.0604194324380058,0.3138622937750805,0.1419464043407213,0.1541380915824519
calibration,localized,oracle_linear,16,30,0.8986631413300832,0.9761658608913422,0.02125306203655709,0.022205057686549432,0.10975621502233684,0.1436169419394353
calibration,localized,oracle_linear,32,30,0.8986631413300832,0.9961591998736063,0.00800500457059837,0.008363575468112814,0.03756788964603723,0.06776148252426684
