head,baseline_model,selected_model,baseline_output_relative_l2,selected_output_relative_l2,relative_improvement,selected_attention_relative_l2
0,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.5181155204772949,0.5176692605018616,0.0008613136603633278,0.3735681474208832
1,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.28211942315101624,0.16134338080883026,0.428102542509225,0.5004013776779175
2,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.5136131048202515,0.514100968837738,-0.0009498667633438002,0.3609010875225067
3,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.4496218264102936,0.44942206144332886,0.00044429552844356374,0.2733697295188904
4,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.6744467616081238,0.3187914192676544,0.5273290088790092,0.408226877450943
5,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.3459588587284088,0.22769564390182495,0.3418418457653229,0.3870183229446411
6,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.32093387842178345,0.31364133954048157,0.02272287025964192,0.41900432109832764
7,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.29720619320869446,0.268505334854126,0.09656884348441251,0.35812824964523315
8,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.679652750492096,0.6793830990791321,0.0003967487996901781,0.2530648112297058
9,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,1.2583775520324707,1.2550172805786133,0.0026703205635145617,0.4308660924434662
10,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.7987093329429626,0.8121628165245056,-0.016844029519439342,0.6310381293296814
11,global_bccb_s1x4x4,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,0.7246745824813843,0.5317407846450806,0.2662350833054916,0.6783848404884338
