method,model,sample_id,prompt_index,seed,layer,sampling_step,branch,head,tokens,query_samples,grid_t,grid_h,grid_w,coarse_scale,query_grid,fine_scale,local_radius,periodic_delta,parameters_per_head,parameters_all_evaluated_heads,attention_relative_l2,attention_output_relative_l2,strict_2pct_pass,relaxed_5pct_pass,modulo_alias_pair_fraction,exact_modulo_alias_region_mass,predicted_modulo_alias_region_mass,wrap_leakage_applicable,wrap_leakage_mass_delta,calibration_sample_ids,heldout_only
global_coarse_bccb,global_bccb_s1x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,1x1x1,1x1x1,0x0x0,True,2184,26208,0.4529667794704437,0.5181155204772949,False,False,0.5563644766807556,0.389804482460022,0.4816209673881531,True,0.0918164849281311,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s1x4x4_g1x2x2,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,1x2x2,1x1x1,0x0x0,False,63960,767520,0.37537631392478943,0.5179875493049622,False,False,0.5563644766807556,0.389804482460022,0.4013814330101013,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,1x2x2,1x2x2,1x4x4,False,80250,963000,0.3735681474208832,0.5176692605018616,False,False,0.5563644766807556,0.389804482460022,0.3938327431678772,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s1x4x4_g2x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,2x4x4,1x1x1,0x0x0,False,511680,6140160,0.3776475489139557,0.5174375176429749,False,False,0.5563644766807556,0.389804482460022,0.39539986848831177,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s1x4x4_g2x4x4_f1x2x2_r1x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,2x4x4,1x2x2,1x4x4,False,530070,6360840,0.37718236446380615,0.5171127319335938,False,False,0.5563644766807556,0.389804482460022,0.39236024022102356,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
global_coarse_bccb,global_bccb_s1x8x8,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,1x1x1,1x1x1,0x0x0,True,588,7056,0.454569011926651,0.518108069896698,False,False,0.5563644766807556,0.389804482460022,0.4833930730819702,True,0.09358859062194824,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s1x8x8_g1x2x2,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,1x2x2,1x1x1,0x0x0,False,17056,204672,0.3754933178424835,0.5177009105682373,False,False,0.5563644766807556,0.389804482460022,0.40403294563293457,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s1x8x8_g1x2x2_f1x2x2_r1x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,1x2x2,1x2x2,1x4x4,False,21620,259440,0.3738853931427002,0.5174079537391663,False,False,0.5563644766807556,0.389804482460022,0.39662548899650574,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s1x8x8_g2x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,2x4x4,1x1x1,0x0x0,False,136448,1637376,0.37580761313438416,0.5174352526664734,False,False,0.5563644766807556,0.389804482460022,0.3979625403881073,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s1x8x8_g2x4x4_f1x2x2_r1x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,2x4x4,1x2x2,1x4x4,False,143112,1717344,0.37550345063209534,0.5170842409133911,False,False,0.5563644766807556,0.389804482460022,0.39496034383773804,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
global_coarse_bccb,global_bccb_s2x8x8,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,2x8x8,1x1x1,1x1x1,0x0x0,True,308,3696,0.46790167689323425,0.5185856223106384,False,False,0.5563644766807556,0.389804482460022,0.4849920868873596,True,0.09518760442733765,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s2x8x8_g1x2x2,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,2x8x8,1x2x2,1x1x1,0x0x0,False,8736,104832,0.39630746841430664,0.518787682056427,False,False,0.5563644766807556,0.389804482460022,0.4043578505516052,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s2x8x8_g1x2x2_f1x2x2_r1x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,2x8x8,1x2x2,1x2x2,1x4x4,False,11220,134640,0.3944677710533142,0.5184308290481567,False,False,0.5563644766807556,0.389804482460022,0.3964505195617676,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s2x8x8_g2x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,2x8x8,2x4x4,1x1x1,0x0x0,False,69888,838656,0.3959129750728607,0.5185432434082031,False,False,0.5563644766807556,0.389804482460022,0.3983544707298279,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s2x8x8_g2x4x4_f1x2x2_r1x4x4,s02_p00_seed20260741,0,20260741,0,0,cond,0,32760,32,21,30,52,2x8x8,2x4x4,1x2x2,1x4x4,False,74472,893664,0.3952619433403015,0.5181105136871338,False,False,0.5563644766807556,0.389804482460022,0.394812673330307,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
global_coarse_bccb,global_bccb_s1x4x4,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,1x1x1,1x1x1,0x0x0,True,2184,26208,0.4529667794704437,0.5181155204772949,False,False,0.5563644766807556,0.389804482460022,0.4816209673881531,True,0.0918164849281311,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s1x4x4_g1x2x2,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,1x2x2,1x1x1,0x0x0,False,63960,767520,0.37537631392478943,0.5179875493049622,False,False,0.5563644766807556,0.389804482460022,0.4013814330101013,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s1x4x4_g1x2x2_f1x2x2_r1x4x4,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,1x2x2,1x2x2,1x4x4,False,80250,963000,0.3735681474208832,0.5176692605018616,False,False,0.5563644766807556,0.389804482460022,0.3938327431678772,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s1x4x4_g2x4x4,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,2x4x4,1x1x1,0x0x0,False,511680,6140160,0.3776475489139557,0.5174375176429749,False,False,0.5563644766807556,0.389804482460022,0.39539986848831177,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s1x4x4_g2x4x4_f1x2x2_r1x4x4,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x4x4,2x4x4,1x2x2,1x4x4,False,530070,6360840,0.37718236446380615,0.5171127319335938,False,False,0.5563644766807556,0.389804482460022,0.39236024022102356,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
global_coarse_bccb,global_bccb_s1x8x8,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,1x1x1,1x1x1,0x0x0,True,588,7056,0.454569011926651,0.518108069896698,False,False,0.5563644766807556,0.389804482460022,0.4833930730819702,True,0.09358859062194824,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s1x8x8_g1x2x2,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,1x2x2,1x1x1,0x0x0,False,17056,204672,0.3754933178424835,0.5177009105682373,False,False,0.5563644766807556,0.389804482460022,0.40403294563293457,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
coarse_tile_local_residual,hier_bcm_s1x8x8_g1x2x2_f1x2x2_r1x4x4,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,1x2x2,1x2x2,1x4x4,False,21620,259440,0.3738853931427002,0.5174079537391663,False,False,0.5563644766807556,0.389804482460022,0.39662548899650574,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
query_block_multi_bcm,multi_bcm_s1x8x8_g2x4x4,s03_p02_seed20260741,2,20260741,0,0,cond,0,32760,32,21,30,52,1x8x8,2x4x4,1x1x1,0x0x0,False,136448,1637376,0.37580761313438416,0.5174352526664734,False,False,0.5563644766807556,0.389804482460022,0.3979625403881073,False,,"s00_p00_seed20260740,s01_p01_seed20260740",True
