method,landmark_mode,landmarks,pinv_rtol,density,deployable,records,aggregate_error,worst_error,work_ratio,speedup_upper_bound,mass_absolute_error_mean
proxy_mass_nystrom_mixture,segment,32,0.0001,0.125,True,48,0.4464268629073672,2.2591007400450045,0.1347711969089668,7.419983074539768,0.08296677144244313
proxy_mass_landmark_partition,segment,32,0.0001,0.125,True,48,0.35940670215875714,1.0280013159977501,0.16651087113620852,6.005613886807332,0.08296677144244313
proxy_mass_nystrom_mixture,segment,32,0.0001,0.25,True,48,0.3075852058203802,1.580421340316352,0.2597712043595474,3.849541378019356,0.06001981305113683
proxy_mass_landmark_partition,segment,32,0.0001,0.25,True,48,0.2465788730910394,0.5735839021574483,0.32276088044943424,3.0982689060939848,0.06001981305113683
proxy_mass_nystrom_mixture,segment,64,0.0001,0.125,True,48,0.32177146683409885,0.8202833769347461,0.13672479886256875,7.313962121861792,0.08296677144244313
proxy_mass_landmark_partition,segment,64,0.0001,0.125,True,48,0.34552946726572403,0.8839156655571713,0.20020414731705216,4.994901521277457,0.08296677144244313
proxy_mass_nystrom_mixture,segment,64,0.0001,0.25,True,48,0.22683915919366082,0.5706188547978598,0.26172480631314937,3.820807106849156,0.06001981305113683
proxy_mass_landmark_partition,segment,64,0.0001,0.25,True,48,0.24132002179518727,0.4958240447186482,0.38770415849292306,2.5792862369265857,0.06001981305113683
proxy_mass_nystrom_mixture,segment,128,0.0001,0.125,True,48,0.3313088486119257,0.953714959332094,0.14063200276977267,7.110757013374052,0.08296677144244313
proxy_mass_landmark_partition,segment,128,0.0001,0.125,True,48,0.3366839114382145,0.7999199098861148,0.26759069967873944,3.737050656844827,0.08296677144244313
proxy_mass_nystrom_mixture,segment,128,0.0001,0.25,True,48,0.23472533093293368,0.7337387315545492,0.26563201022035327,3.7646065290491784,0.06001981305113683
proxy_mass_landmark_partition,segment,128,0.0001,0.25,True,48,0.23813446111284134,0.45175175821379837,0.5175907145799007,1.9320284770016476,0.06001981305113683
