sample_id,sampling_step,branch,layer,method,landmark_mode,landmarks,pinv_rtol,density,records,aggregate_output_relative_l2,record_error_p95,record_error_max,projected_attention_work_ratio_mean,arithmetic_speedup_upper_bound,selected_attention_mass_mean,mass_absolute_error_mean,negative_absolute_mass_ratio_mean
s00_p00_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.125,12,0.27886223774852037,0.43709226183479244,0.4386097202833363,0.2676415747265821,3.7363402939979795,0.7212365468343099,0.07241348332415025,0.18308340196381323
s00_p00_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.25,12,0.18362503154588822,0.3391221294186329,0.3424583989023835,0.5177026396851545,1.9316107806754839,0.8161415259043375,0.05678765817234913,0.18308340196381323
s00_p00_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.125,12,0.2970617194222516,0.5061591281808863,0.5767142577676496,0.16654266804111018,6.00446727413515,0.7212365468343099,0.07241348332415025,0.11541872461384628
s00_p00_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.25,12,0.19286158930385228,0.34775650214469855,0.35274882773015825,0.3228308336402179,3.097597552018405,0.8161415259043375,0.05678765817234913,0.11541872461384628
s00_p00_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.125,12,0.285315934943855,0.46539901639424136,0.4928473329741283,0.20024230360293416,4.9939497399257196,0.7212365468343099,0.07241348332415025,0.1182753435811416
s00_p00_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.25,12,0.18688860333198445,0.34081092359110904,0.3423230355618054,0.38778810232186345,2.5787279032351584,0.8161415259043375,0.05678765817234913,0.1182753435811416
s00_p00_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.125,12,0.33550917017614673,0.6411094357018406,0.8510693029261046,0.140657440293694,7.109471051883149,0.7212365468343099,0.07241348332415025,0.18308340196381323
s00_p00_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.25,12,0.23525072611946382,0.49006176646503696,0.6543262415185775,0.2656879727729802,3.763813580129426,0.8161415259043375,0.05678765817234913,0.18308340196381323
s00_p00_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.125,12,0.5696460826253096,1.2161461907483042,1.9356361331932257,0.13479663443288814,7.418582846724373,0.7212365468343099,0.07241348332415025,0.11541872461384628
s00_p00_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.25,12,0.3875336214793675,0.8041053405067221,1.3817587762936696,0.25982716691217433,3.8487122493161605,0.8161415259043375,0.05678765817234913,0.11541872461384628
s00_p00_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.125,12,0.2944459254294383,0.5234575119061624,0.6352593401303283,0.1367502363864901,7.312601619011114,0.7212365468343099,0.07241348332415025,0.1182753435811416
s00_p00_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.25,12,0.2047144826022356,0.4013881953433027,0.4806846695282254,0.2617807688657763,3.8199903084276343,0.8161415259043375,0.05678765817234913,0.1182753435811416
s00_p00_seed20260740,9,cond,14,landmark_linear,segment,128,0.0001,0.0,12,0.9347078933564488,1.4270099749331477,1.5386541534686975,0.007814407814407814,127.96875,0.0,0.0,0.18308340196381323
s00_p00_seed20260740,9,cond,14,landmark_linear,segment,32,0.0001,0.0,12,1.0847836366563743,1.7955467912873049,1.8071511859299212,0.0019536019536019536,511.875,0.0,0.0,0.11541872461384628
s00_p00_seed20260740,9,cond,14,landmark_linear,segment,64,0.0001,0.0,12,1.010577717909216,1.5962842810118554,1.6853505323928542,0.003907203907203907,255.9375,0.0,0.0,0.1182753435811416
s00_p00_seed20260740,9,cond,14,nystrom_nonnegative_clamped,segment,128,0.0001,0.0,12,0.8554794512642085,1.28477402375279,1.3043647850942544,1.0078144078144078,0.9922461836685244,0.0,0.0,0.18308340196381323
s00_p00_seed20260740,9,cond,14,nystrom_nonnegative_clamped,segment,32,0.0001,0.0,12,1.0183191457369123,1.7296415380643306,1.807151387260819,0.626953601953602,1.5950143629193243,0.0,0.0,0.11541872461384628
s00_p00_seed20260740,9,cond,14,nystrom_nonnegative_clamped,segment,64,0.0001,0.0,12,0.9352312937413384,1.5903818283838107,1.679634972697001,0.7539072039072039,1.3264231921613086,0.0,0.0,0.1182753435811416
s00_p00_seed20260740,9,cond,14,nystrom_signed,segment,128,0.0001,0.0,12,1.0550547579428686,1.7807438420070714,2.0011605407412354,0.007814407814407814,127.96875,0.0,0.0,0.18308340196381323
s00_p00_seed20260740,9,cond,14,nystrom_signed,segment,32,0.0001,0.0,12,1.65408795342088,3.1996535384932088,4.882356481994298,0.0019536019536019536,511.875,0.0,0.0,0.11541872461384628
s00_p00_seed20260740,9,cond,14,nystrom_signed,segment,64,0.0001,0.0,12,0.9832614611250257,1.5920472928346137,1.6810041164590586,0.003907203907203907,255.9375,0.0,0.0,0.1182753435811416
s00_p00_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,128,0.0001,0.125,12,0.35045800734999244,0.532590652913521,0.5530742014114031,0.2676415747265821,3.7363402939979795,0.7212365468343099,0.07241348332415025,0.18308340196381323
s00_p00_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,128,0.0001,0.25,12,0.26297863067712823,0.3962925240670536,0.4181413750802773,0.5177026396851545,1.9316107806754839,0.8161415259043375,0.05678765817234913,0.18308340196381323
s00_p00_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,32,0.0001,0.125,12,0.3690556235966095,0.607091885529671,0.7213543061418629,0.16654266804111018,6.00446727413515,0.7212365468343099,0.07241348332415025,0.11541872461384628
s00_p00_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,32,0.0001,0.25,12,0.27130272161490193,0.4324891516092745,0.4481290775401772,0.3228308336402179,3.097597552018405,0.8161415259043375,0.05678765817234913,0.11541872461384628
s00_p00_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,64,0.0001,0.125,12,0.35698857700643927,0.563450035920789,0.6235501219766983,0.20024230360293416,4.9939497399257196,0.7212365468343099,0.07241348332415025,0.1182753435811416
s00_p00_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,64,0.0001,0.25,12,0.265666322640734,0.40624740259534353,0.41820872079367577,0.38778810232186345,2.5787279032351584,0.8161415259043375,0.05678765817234913,0.1182753435811416
s00_p00_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,128,0.0001,0.125,12,0.39556288491230274,0.6717446889477909,0.953714959332094,0.140657440293694,7.109471051883149,0.7212365468343099,0.07241348332415025,0.18308340196381323
s00_p00_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,128,0.0001,0.25,12,0.29798570003850416,0.5183882091414438,0.7337387315545492,0.2656879727729802,3.763813580129426,0.8161415259043375,0.05678765817234913,0.18308340196381323
s00_p00_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,32,0.0001,0.125,12,0.6672963915209132,1.4000354275940783,2.2591007400450045,0.13479663443288814,7.418582846724373,0.7212365468343099,0.07241348332415025,0.11541872461384628
s00_p00_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,32,0.0001,0.25,12,0.47333728173942324,0.9751536561050469,1.580421340316352,0.25982716691217433,3.8487122493161605,0.8161415259043375,0.05678765817234913,0.11541872461384628
s00_p00_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,64,0.0001,0.125,12,0.3500330428187727,0.5766141154571299,0.7256233386496606,0.1367502363864901,7.312601619011114,0.7212365468343099,0.07241348332415025,0.1182753435811416
s00_p00_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,64,0.0001,0.25,12,0.2632012910622646,0.43951034910512843,0.5464884745563447,0.2617807688657763,3.8199903084276343,0.8161415259043375,0.05678765817234913,0.1182753435811416
s01_p01_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.125,12,0.31568654533419943,0.5889329441464566,0.683242535498702,0.2676415747265821,3.7363402939979795,0.6905069251855215,0.09832295309752226,0.17463165735049793
s01_p01_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.25,12,0.18814882096326085,0.3489565622123856,0.37999594595589054,0.5176212396086063,1.9319145419073978,0.8285728593667349,0.05958053205783168,0.17463165735049793
s01_p01_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.125,12,0.3372043293205502,0.6270864057231615,0.7537731900552733,0.16654266804111018,6.00446727413515,0.6905069251855215,0.09832295309752226,0.11192502495274918
s01_p01_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.25,12,0.1935425624326386,0.3572964998670016,0.3873953841209584,0.32277995859237524,3.0980857806691042,0.8285728593667349,0.05958053205783168,0.11192502495274918
s01_p01_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.125,12,0.32340140366504444,0.6020958872027726,0.7053810911026964,0.20024230360293416,4.9939497399257196,0.6905069251855215,0.09832295309752226,0.13916265648731496
s01_p01_seed20260740,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.25,12,0.19038700074919468,0.35081945934642855,0.3837771601768061,0.38772705226445225,2.579133940125339,0.8285728593667349,0.05958053205783168,0.13916265648731496
s01_p01_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.125,12,0.2899838437701,0.46632605234016905,0.5806645119947718,0.140657440293694,7.109471051883149,0.6905069251855215,0.09832295309752226,0.17463165735049793
s01_p01_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.25,12,0.17105376863550215,0.2632797734292206,0.2718731397789564,0.26564727273470606,3.7643902371196933,0.8285728593667349,0.05958053205783168,0.17463165735049793
s01_p01_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.125,12,0.3645393920369,0.6819140224055441,1.0060232181163222,0.13479663443288814,7.418582846724373,0.6905069251855215,0.09832295309752226,0.11192502495274918
s01_p01_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.25,12,0.20894642866786858,0.42030829888140897,0.5235441094563825,0.2597864668739002,3.8493152165828475,0.8285728593667349,0.05958053205783168,0.11192502495274918
s01_p01_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.125,12,0.30548340192772666,0.48708407172875917,0.5471142832412673,0.1367502363864901,7.312601619011114,0.6905069251855215,0.09832295309752226,0.13916265648731496
s01_p01_seed20260740,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.25,12,0.16934067019096286,0.2557754195686174,0.2803410175215169,0.26174006882750217,3.8205843090040696,0.8285728593667349,0.05958053205783168,0.13916265648731496
s01_p01_seed20260740,9,cond,14,landmark_linear,segment,128,0.0001,0.0,12,1.114425328790037,1.8687083256821604,2.192792487709606,0.007814407814407814,127.96875,0.0,0.0,0.17463165735049793
s01_p01_seed20260740,9,cond,14,landmark_linear,segment,32,0.0001,0.0,12,1.2628389348741975,2.144487503005408,2.7037638250089158,0.0019536019536019536,511.875,0.0,0.0,0.11192502495274918
s01_p01_seed20260740,9,cond,14,landmark_linear,segment,64,0.0001,0.0,12,1.186750435180089,2.0095584736923726,2.4366617015929757,0.003907203907203907,255.9375,0.0,0.0,0.13916265648731496
s01_p01_seed20260740,9,cond,14,nystrom_nonnegative_clamped,segment,128,0.0001,0.0,12,0.9995683297830328,1.5185073314499287,1.5827549057703303,1.0078144078144078,0.9922461836685244,0.0,0.0,0.17463165735049793
s01_p01_seed20260740,9,cond,14,nystrom_nonnegative_clamped,segment,32,0.0001,0.0,12,1.1648988469699708,1.7722534008932302,1.8622461560929284,0.626953601953602,1.5950143629193243,0.0,0.0,0.11192502495274918
s01_p01_seed20260740,9,cond,14,nystrom_nonnegative_clamped,segment,64,0.0001,0.0,12,1.075347066902354,1.60397244745184,1.6537432854962615,0.7539072039072039,1.3264231921613086,0.0,0.0,0.13916265648731496
s01_p01_seed20260740,9,cond,14,nystrom_signed,segment,128,0.0001,0.0,12,1.1007559281169335,1.756584373495535,1.9583833825384296,0.007814407814407814,127.96875,0.0,0.0,0.17463165735049793
s01_p01_seed20260740,9,cond,14,nystrom_signed,segment,32,0.0001,0.0,12,1.3098915955767594,2.2893663909578637,3.0081914639057246,0.0019536019536019536,511.875,0.0,0.0,0.11192502495274918
s01_p01_seed20260740,9,cond,14,nystrom_signed,segment,64,0.0001,0.0,12,1.2105848654236748,1.7921728256079588,1.9564774596138899,0.003907203907203907,255.9375,0.0,0.0,0.13916265648731496
s01_p01_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,128,0.0001,0.125,12,0.2851237274023246,0.4827747026437317,0.5156655864420127,0.2676415747265821,3.7363402939979795,0.6905069251855215,0.09832295309752226,0.17463165735049793
s01_p01_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,128,0.0001,0.25,12,0.19770319735643982,0.3277820864940594,0.33829792320414037,0.5176212396086063,1.9319145419073978,0.8285728593667349,0.05958053205783168,0.17463165735049793
s01_p01_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,32,0.0001,0.125,12,0.2945230308997911,0.5181619150250476,0.5865230285055584,0.16654266804111018,6.00446727413515,0.6905069251855215,0.09832295309752226,0.11192502495274918
s01_p01_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,32,0.0001,0.25,12,0.19790838888187154,0.3239022371814707,0.3415893765047475,0.32277995859237524,3.0980857806691042,0.8285728593667349,0.05958053205783168,0.11192502495274918
s01_p01_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,64,0.0001,0.125,12,0.28846504786737537,0.49597001551447084,0.5411940975955026,0.20024230360293416,4.9939497399257196,0.6905069251855215,0.09832295309752226,0.13916265648731496
s01_p01_seed20260740,9,cond,14,proxy_mass_landmark_partition,segment,64,0.0001,0.25,12,0.19774355219738401,0.3267350778694756,0.3400230369010278,0.38772705226445225,2.579133940125339,0.8285728593667349,0.05958053205783168,0.13916265648731496
s01_p01_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,128,0.0001,0.125,12,0.26577661011256365,0.3967864733674932,0.463573700439418,0.140657440293694,7.109471051883149,0.6905069251855215,0.09832295309752226,0.17463165735049793
s01_p01_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,128,0.0001,0.25,12,0.18273123383997783,0.2595706770726156,0.26032831883782803,0.26564727273470606,3.7643902371196933,0.8285728593667349,0.05958053205783168,0.17463165735049793
s01_p01_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,32,0.0001,0.125,12,0.31209788681912415,0.5785789359551556,0.8131088319352067,0.13479663443288814,7.418582846724373,0.6905069251855215,0.09832295309752226,0.11192502495274918
s01_p01_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,32,0.0001,0.25,12,0.2026489553918377,0.36278155450581695,0.4217945423357369,0.2597864668739002,3.8493152165828475,0.8285728593667349,0.05958053205783168,0.11192502495274918
s01_p01_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,64,0.0001,0.125,12,0.2658248300001549,0.38722225882047134,0.43579511218794925,0.1367502363864901,7.312601619011114,0.6905069251855215,0.09832295309752226,0.13916265648731496
s01_p01_seed20260740,9,cond,14,proxy_mass_nystrom_mixture,segment,64,0.0001,0.25,12,0.17894965979498612,0.26806559322074025,0.2753449493486895,0.26174006882750217,3.8205843090040696,0.8285728593667349,0.05958053205783168,0.13916265648731496
s02_p00_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.125,12,0.28631456443250575,0.4964622367927203,0.5090918604830841,0.26743807453521146,3.7391833669829158,0.6670798460642496,0.07858156505972147,0.18660090491175652
s02_p00_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.25,12,0.19062117914432705,0.3724188828934751,0.377249458470731,0.5173770393789615,1.9328263991002763,0.782372718056043,0.06360962459196647,0.18660090491175652
s02_p00_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.125,12,0.3105591998388444,0.5577953743339114,0.6185593731610403,0.16641548042150353,6.00905635381493,0.6670798460642496,0.07858156505972147,0.10076777896028943
s02_p00_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.25,12,0.1977633537895675,0.3823771898214917,0.38955302651235924,0.32262733344884725,3.0995513904854888,0.782372718056043,0.06360962459196647,0.10076777896028943
s02_p00_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.125,12,0.29819320621722856,0.5271050154479641,0.5607464907282022,0.20008967845940617,4.9977590433425485,0.6670798460642496,0.07858156505972147,0.1432117431734999
s02_p00_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.25,12,0.19439092568799837,0.3786740128856907,0.386092083555127,0.3875439020922187,2.580352818355127,0.782372718056043,0.06360962459196647,0.1432117431734999
s02_p00_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.125,12,0.27603022748158607,0.49868814712165793,0.5318017043015177,0.14055569019800868,7.114617690619597,0.6670798460642496,0.07858156505972147,0.18660090491175652
s02_p00_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.25,12,0.17833495786457865,0.30007877923359916,0.3361457228963738,0.2655251726198837,3.766121268779153,0.782372718056043,0.06360962459196647,0.18660090491175652
s02_p00_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.125,12,0.2996019627465287,0.5496158754742229,0.6553280491640853,0.1346948843372028,7.424186931231503,0.6670798460642496,0.07858156505972147,0.10076777896028943
s02_p00_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.25,12,0.18869106048829262,0.36185836256370574,0.3740101156394292,0.25966436675907784,3.8511252524988207,0.782372718056043,0.06360962459196647,0.10076777896028943
s02_p00_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.125,12,0.27841685796738297,0.5039218987436693,0.5777413466683984,0.13664848629080475,7.31804666955386,0.6670798460642496,0.07858156505972147,0.1432117431734999
s02_p00_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.25,12,0.17984686550530085,0.32120633960686906,0.33528857151858277,0.2616179687126798,3.8223674196409783,0.782372718056043,0.06360962459196647,0.1432117431734999
s02_p00_seed20260741,9,cond,14,landmark_linear,segment,128,0.0001,0.0,12,1.07537970855131,1.6810933755325745,1.7048563215247559,0.007814407814407814,127.96875,0.0,0.0,0.18660090491175652
s02_p00_seed20260741,9,cond,14,landmark_linear,segment,32,0.0001,0.0,12,1.2020465425441995,1.9844915544152726,2.1165589725779577,0.0019536019536019536,511.875,0.0,0.0,0.10076777896028943
s02_p00_seed20260741,9,cond,14,landmark_linear,segment,64,0.0001,0.0,12,1.147232163872075,1.861085622240246,1.900478788649812,0.003907203907203907,255.9375,0.0,0.0,0.1432117431734999
s02_p00_seed20260741,9,cond,14,nystrom_nonnegative_clamped,segment,128,0.0001,0.0,12,0.8785220989922796,1.3239488372504509,1.4557041489819735,1.0078144078144078,0.9922461836685244,0.0,0.0,0.18660090491175652
s02_p00_seed20260741,9,cond,14,nystrom_nonnegative_clamped,segment,32,0.0001,0.0,12,1.1007802802637052,1.8276943633958065,1.919348522727703,0.626953601953602,1.5950143629193243,0.0,0.0,0.10076777896028943
s02_p00_seed20260741,9,cond,14,nystrom_nonnegative_clamped,segment,64,0.0001,0.0,12,1.0310092301672686,1.7391854641437738,1.8520726015150104,0.7539072039072039,1.3264231921613086,0.0,0.0,0.1432117431734999
s02_p00_seed20260741,9,cond,14,nystrom_signed,segment,128,0.0001,0.0,12,1.1295733472287708,2.164328333259573,2.941331240460754,0.007814407814407814,127.96875,0.0,0.0,0.18660090491175652
