cell,density_target,chosen_family,records,fraction
layer00_step00_capacity_control,0.125,fixed64,30,0.20833333333333334
layer00_step00_capacity_control,0.125,hierarchical32,16,0.1111111111111111
layer00_step00_capacity_control,0.125,motion_warp8x8,8,0.05555555555555555
layer00_step00_capacity_control,0.125,shifted32,42,0.2916666666666667
layer00_step00_capacity_control,0.125,shifted64,42,0.2916666666666667
layer00_step00_capacity_control,0.125,thw8x8,6,0.041666666666666664
layer00_step00_capacity_control,0.25,fixed64,44,0.3055555555555556
layer00_step00_capacity_control,0.25,hierarchical32,28,0.19444444444444445
layer00_step00_capacity_control,0.25,motion_warp8x8,6,0.041666666666666664
layer00_step00_capacity_control,0.25,shifted32,26,0.18055555555555555
layer00_step00_capacity_control,0.25,shifted64,38,0.2638888888888889
layer00_step00_capacity_control,0.25,thw8x8,2,0.013888888888888888
layer14_step00_early,0.125,fixed64,45,0.3125
layer14_step00_early,0.125,hierarchical32,16,0.1111111111111111
layer14_step00_early,0.125,motion_warp8x8,1,0.006944444444444444
layer14_step00_early,0.125,shifted32,23,0.1597222222222222
layer14_step00_early,0.125,shifted64,46,0.3194444444444444
layer14_step00_early,0.125,thw8x8,13,0.09027777777777778
layer14_step00_early,0.25,fixed64,42,0.2916666666666667
layer14_step00_early,0.25,hierarchical32,30,0.20833333333333334
layer14_step00_early,0.25,shifted32,35,0.24305555555555555
layer14_step00_early,0.25,shifted64,34,0.2361111111111111
layer14_step00_early,0.25,thw8x8,3,0.020833333333333332
layer14_step09_middle,0.125,fixed64,18,0.125
layer14_step09_middle,0.125,hierarchical32,61,0.4236111111111111
layer14_step09_middle,0.125,shifted32,47,0.3263888888888889
layer14_step09_middle,0.125,shifted64,16,0.1111111111111111
layer14_step09_middle,0.125,thw8x8,2,0.013888888888888888
layer14_step09_middle,0.25,fixed64,10,0.06944444444444445
layer14_step09_middle,0.25,hierarchical32,70,0.4861111111111111
layer14_step09_middle,0.25,shifted32,53,0.3680555555555556
layer14_step09_middle,0.25,shifted64,9,0.0625
layer14_step09_middle,0.25,thw8x8,2,0.013888888888888888
layer14_step19_late,0.125,fixed64,7,0.04861111111111111
layer14_step19_late,0.125,hierarchical32,79,0.5486111111111112
layer14_step19_late,0.125,shifted32,52,0.3611111111111111
layer14_step19_late,0.125,shifted64,5,0.034722222222222224
layer14_step19_late,0.125,thw8x8,1,0.006944444444444444
layer14_step19_late,0.25,fixed64,1,0.006944444444444444
layer14_step19_late,0.25,hierarchical32,74,0.5138888888888888
layer14_step19_late,0.25,shifted32,67,0.4652777777777778
layer14_step19_late,0.25,shifted64,1,0.006944444444444444
layer14_step19_late,0.25,thw8x8,1,0.006944444444444444
