head,density,rank,calibration_initial_method,test_initial_method,calibration_accepted_iterations,test_accepted_iterations,mask_jaccard,basis_overlap,test_tail_energy,test_dynamic_initial_residual_sq,test_dynamic_final_residual_sq,test_dynamic_calibration_basis_residual_sq,test_frozen_self_residual_sq,test_frozen_calibration_basis_residual_sq,reference_sq
0,0.0625,16,contribution_norm,mass_topk,0,0,0.5514548420906067,0.7203468680381775,0.9991927742958069,0.16072475910186768,0.16072475910186768,17.33708953857422,0.14866793155670166,12.47254467010498,1667.9243774414062
0,0.125,16,mass_topk,contribution_norm,0,0,0.7684128880500793,0.7104047536849976,0.9995717406272888,0.0589822381734848,0.0589822381734848,6.130898475646973,0.058151066303253174,7.50319766998291,1667.9243774414062
1,0.0625,16,mass_topk,mass_topk,0,0,0.9419913291931152,0.7669243812561035,0.9433615207672119,7.020010948181152,7.020010948181152,18.463436126708984,7.103066444396973,18.76642608642578,8894.955322265625
1,0.125,16,contribution_norm,contribution_norm,0,0,0.9692307710647583,0.7421002388000488,0.9490008354187012,1.2367501258850098,1.2367501258850098,3.5763394832611084,1.2429795265197754,3.638695478439331,8894.955322265625
2,0.0625,16,contribution_norm,contribution_norm,2,2,0.04509077966213226,0.6596673727035522,0.9986592531204224,0.09236918389797213,0.0744251161813736,8.276602745056152,0.07790227234363556,15.63882827758789,3004.297607421875
2,0.125,16,contribution_norm,contribution_norm,2,2,0.10398819297552109,0.6367651224136353,0.998820960521698,0.04088738933205604,0.03428119421005249,2.2085492610931396,0.03517136722803116,8.893379211425781,3004.297607421875
3,0.0625,16,contribution_norm,contribution_norm,0,2,0.003968254197388887,0.5998860597610474,0.999272882938385,0.037916868925094604,0.035914063453674316,6.206684112548828,0.039869315922260284,16.833683013916016,1940.1504516601562
3,0.125,16,contribution_norm,contribution_norm,0,0,0.118996262550354,0.58589768409729,0.9999525547027588,0.017308559268712997,0.017308559268712997,12.655924797058105,0.01952623575925827,6.418855667114258,1940.1504516601562
4,0.0625,16,mass_topk,renorm_output_greedy,1,1,0.9402852058410645,0.8204266428947449,0.884235143661499,0.25430309772491455,0.2525535225868225,0.38442036509513855,0.25666525959968567,0.38922351598739624,11881.31640625
4,0.125,16,mass_topk,mass_topk,1,2,0.962460458278656,0.7954539060592651,0.9009504914283752,0.02044563554227352,0.02031371369957924,0.03949589654803276,0.020959049463272095,0.04018251597881317,11881.31640625
5,0.0625,16,mass_topk,mass_topk,0,0,0.970588207244873,0.7775216698646545,0.9348255395889282,0.13834622502326965,0.13834622502326965,0.31126725673675537,0.13852527737617493,0.3132551312446594,8236.7578125
5,0.125,16,contribution_norm,mass_topk,0,0,0.9323800802230835,0.7575617432594299,0.9444358944892883,0.0076292892917990685,0.0076292892917990685,0.023585017770528793,0.007824888452887535,0.02401294931769371,8236.7578125
6,0.0625,16,contribution_norm,mass_topk,0,0,0.9419913291931152,0.8087341785430908,0.9836411476135254,0.6051945090293883,0.6051945090293884,2.879826545715332,0.6199723482131958,2.8992958068847656,6264.6632080078125
6,0.125,16,contribution_norm,mass_topk,0,0,0.9692307710647583,0.8158004879951477,0.982072651386261,0.03721413016319274,0.03721413016319275,0.18191656470298767,0.03781433403491974,0.1721818596124649,6264.6632080078125
7,0.0625,16,mass_topk,contribution_norm,0,0,0.9116883277893066,0.6833556294441223,0.9459522366523743,3.426464557647705,3.426464557647705,14.647875785827637,3.3605926036834717,14.853271484375,2321.0457153320312
7,0.125,16,mass_topk,mass_topk,0,0,0.9543123245239258,0.6663442850112915,0.9575391411781311,0.7586721181869508,0.7586721181869507,3.905959367752075,0.7874349355697632,3.872714042663574,2321.0457153320312
8,0.0625,16,contribution_norm,contribution_norm,0,0,0.04595935344696045,0.5818117260932922,0.999606728553772,0.041635207831859596,0.04163520783185959,16.136314392089844,0.05219869315624237,12.05408000946045,693.05810546875
8,0.125,16,contribution_norm,contribution_norm,0,0,0.08992229402065277,0.596190869808197,0.9996094703674316,0.023028038442134857,0.023028038442134857,8.72542953491211,0.024944480508565903,7.483689308166504,693.05810546875
9,0.0625,16,contribution_norm,contribution_norm,0,0,0.2674509882926941,0.6073955297470093,0.9999469518661499,0.11452382802963258,0.11452382802963257,19.974878311157227,0.12369965016841888,20.157806396484375,691.3981399536133
9,0.125,16,contribution_norm,contribution_norm,0,0,0.3407219350337982,0.6547234058380127,0.9999436140060425,0.05941565334796905,0.059415653347969055,7.693781852722168,0.05649290233850479,9.797975540161133,691.3981399536133
10,0.0625,16,mass_topk,mass_topk,0,0,0.7798975706100464,0.7372239828109741,0.9998982548713684,0.059385418891906745,0.05938541889190674,8.895966529846191,0.05733652040362358,8.503608703613281,4586.78662109375
10,0.125,16,contribution_norm,mass_topk,0,0,0.8005755543708801,0.7298154234886169,0.9998727440834045,0.017446031793951988,0.017446031793951988,2.38580322265625,0.019318601116538048,2.436516284942627,4586.78662109375
11,0.0625,16,mass_topk,mass_topk,2,1,0.9554367065429688,0.8141469955444336,0.8751991987228394,3.8083095550537114,3.807384490966797,6.346519470214844,3.817115545272827,6.347329616546631,15622.010986328125
11,0.125,16,mass_topk,mass_topk,2,2,0.925356388092041,0.78859943151474,0.8838164210319519,0.28310692310333246,0.2723568379878998,0.48404204845428467,0.2929309606552124,0.509907603263855,15622.010986328125
