method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean
all_c,global_cost_anchor,C,60,2,3.6276398189988837,3.628038370813335,3.574263249171218,3.6818134924554515,0.20266811695779158,0.20266811695779158,0.20266811695779158,9.899736052799229,0.0,1200.0,1140.0,60.0,60.0
c_s08-08_b00-02,single_cell,C,1,1,0.9996048388380357,0.9996048388380357,0.9996048388380357,0.9996048388380357,0.9426428978430771,0.9426428978430771,0.9426428978430771,29.093034892859343,0.0,6.0,6.0,0.0,6.0
c_s08-08_b03-05,single_cell,C,1,1,0.9999729555533037,0.9999729555533037,0.9999729555533037,0.9999729555533037,0.9620104818574989,0.9620104818574989,0.9620104818574989,32.56392284088659,0.0,6.0,6.0,0.0,6.0
c_s08-08_b06-08,single_cell,C,1,1,1.001701813699421,1.001701813699421,1.001701813699421,1.001701813699421,0.9361922777098867,0.9361922777098867,0.9361922777098867,27.913111691992274,0.0,6.0,6.0,0.0,6.0
c_s08-08_b09-11,single_cell,C,1,1,0.9930140918991975,0.9930140918991975,0.9930140918991975,0.9930140918991975,0.9372916474732655,0.9372916474732655,0.9372916474732655,28.057083676852727,0.0,6.0,6.0,0.0,6.0
c_s08-08_b12-14,single_cell,C,1,1,0.9996888618622808,0.9996888618622808,0.9996888618622808,0.9996888618622808,0.9397058261205934,0.9397058261205934,0.9397058261205934,29.138087019298553,0.0,6.0,6.0,0.0,6.0
c_s08-08_b15-17,single_cell,C,1,1,0.9904857337371894,0.9904857337371894,0.9904857337371894,0.9904857337371894,0.9489161915920794,0.9489161915920794,0.9489161915920794,30.289705948031145,0.0,6.0,6.0,0.0,6.0
c_s08-08_b18-20,single_cell,C,1,1,0.9964589279839097,0.9964589279839097,0.9964589279839097,0.9964589279839097,0.9471757048184064,0.9471757048184064,0.9471757048184064,29.74368857503213,0.0,6.0,6.0,0.0,6.0
c_s08-08_b21-23,single_cell,C,1,1,0.9984376025074838,0.9984376025074838,0.9984376025074838,0.9984376025074838,0.9473727118406423,0.9473727118406423,0.9473727118406423,29.582864254256908,0.0,6.0,6.0,0.0,6.0
c_s08-08_b24-26,single_cell,C,1,1,0.992392620031597,0.992392620031597,0.992392620031597,0.992392620031597,0.9567654685137759,0.9567654685137759,0.9567654685137759,31.103670669178044,0.0,6.0,6.0,0.0,6.0
c_s08-08_b27-29,single_cell,C,1,1,0.9964556254281222,0.9964556254281222,0.9964556254281222,0.9964556254281222,0.9629672692222191,0.9629672692222191,0.9629672692222191,32.40438197827905,0.0,6.0,6.0,0.0,6.0
c_s09-09_b00-02,single_cell,C,1,1,1.0014945467558478,1.0014945467558478,1.0014945467558478,1.0014945467558478,0.9627260443807479,0.9627260443807479,0.9627260443807479,32.4632205225577,0.0,6.0,6.0,0.0,6.0
